"","1: upregulation, -1: downregulation","Symbol","Atha_Col0_Root_ZoneII-Atha_Col0_Root_ZoneI","Atha_Col0_Root_ZoneI_Rep1","Atha_Col0_Root_ZoneI_Rep2","Atha_Col0_Root_ZoneI_Rep3","Atha_Col0_Root_ZoneII_Rep1","Atha_Col0_Root_ZoneII_Rep2","Atha_Col0_Root_ZoneII_Rep3"
"4441","AT3G23710",NA,1,5.45900690458655,5.97206511555313,5.69378157889238,7.04774405525583,6.67810578606236,6.95368240818482
"4442","AT3G23750",NA,-1,8.67506418039301,9.20400325743486,9.43695464592792,8.00391674169433,7.44490025674246,7.53838486843547
"4443","AT3G23760",NA,1,2.57303217180018,2.79465176711409,2.57274684425617,4.49885028493522,4.78746261585293,4.62340664399498
"4444","AT3G23800",NA,-1,9.37139194111471,9.52876394473586,8.94632778981507,4.6187246760845,3.98260928360014,3.56875650367095
"4445","AT3G23820",NA,-1,11.0990418423842,11.9606715970068,11.9599014527587,9.6283928801475,9.76314120738723,9.61055696511004
"4446","AT3G23830",NA,1,7.42417087587765,7.01549018118908,7.06216306916869,10.9623212221492,11.4418547876507,11.1543294973359
"4447","AT3G23840",NA,1,3.30038195637635,2,2,3.88497475691208,2.98842951276594,3.15643267744203
"4448","AT3G23870",NA,-1,6.19467541030733,6.12162682443114,6.03136092363369,3.78601255756177,3.98260928360014,2.31708538173783
"4449","AT3G23890",NA,1,5.17730781752554,2.57509195118905,2,7.40535971272716,8.07513945745943,7.75085825167045
"4450","AT3G23940",NA,1,7.58670258399208,7.82868374604795,7.82786701858875,9.06828459666262,9.78904699698585,9.57007403905864
"4451","AT3G23990",NA,1,8.14432198715681,8.26977394689077,8.15830616305306,10.2750489141755,10.7630881579354,10.3998600814292
"4452","AT3G24000",NA,1,4.29312780444975,3.30411219270529,2.31461111994093,5.83009938885015,5.02399591438359,4.97869206705159
"4453","AT3G24080",NA,1,8.27725148220597,8.62153484578541,8.28543429271437,9.67061679163648,10.052331456621,10.0431482296807
"4454","AT3G24100",NA,-1,8.7715900895769,8.97884601418309,8.74801267367227,7.47054644054129,7.56970787750166,7.48395708919036
"4455","AT3G24110",NA,-1,6.35796557313277,5.5576543043621,5.39278156293304,2.98509356132758,4.06972902610483,2
"4456","AT3G24120",NA,-1,8.31308540366624,8.22796502002046,8.42698683477371,7.17052760242455,6.3872582353425,7.39404970835777
"4457","AT3G24150",NA,1,4.92281317311002,4.6752506022516,4.77573178164843,5.55751528538384,5.90903790928135,5.62144386518758
"4458","AT3G24160",NA,-1,10.1023104041698,10.2417439387268,10.2252550751267,9.22525829588501,9.08545965484505,9.0392011045539
"4459","AT3G24170",NA,-1,10.9576266507777,10.7768003216365,10.7632132597088,9.37535160117236,9.24136041334387,9.05261991856576
"4460","AT3G24180",NA,-1,8.90084514344863,8.76161830475758,9.05606967808562,7.74537154290456,7.5992928062611,7.48395708919036
"4461","AT3G24190",NA,-1,7.02029005256821,7.04789138414029,7.01944627215022,5.9027531674538,5.50236274857361,5.59233760294241
"4462","AT3G24300",NA,-1,5.84902753908441,5.39924794844664,5.09659374042764,2,2.79744305380934,2.31708538173783
"4463","AT3G24320",NA,1,2.98206730491179,2.31601387266272,2.57274684425617,5.36523003230674,6.0005739646468,4.83699025978834
