Sample.Name,Atha_Col.0_Root_Zone.I_Rep1,Atha_Col.0_Root_Zone.I_Rep2,Atha_Col.0_Root_Zone.I_Rep3,Atha_Col.0_Root_Zone.II_Rep1,Atha_Col.0_Root_Zone.II_Rep2,Atha_Col.0_Root_Zone.II_Rep3
AT1G03310,19.93309038,57.88340301,33.85981466,29.03560258,23.46558244,34.12730403
AT1G03330,228.795679,235.5680679,230.2068562,463.9082564,427.3626482,395.1957964
AT1G03350,185.1778516,168.1460667,256.7821596,193.6817064,193.0662247,151.9610586
AT1G03360,28.20529625,35.04897385,48.62346977,228.1350312,347.2064642,219.7050014
AT1G03370,132.2025382,112.9605872,106.621913,42.7034351,57.5693448,33.62340009
AT1G03380,134.1831525,153.8472537,172.8080184,47.96332332,16.28633644,39.5118477
AT1G03410,120.449965,167.2026158,153.7973096,184.0907441,250.7893002,190.6476536
AT1G03430,103.1999751,61.73974335,32.44501018,91.26534787,86.62692799,82.58730739
AT1G03440,18.84202002,36.11422747,32.57716484,15.43792529,24.49252687,3.434607641
AT1G03445,9.237009631,1.01132899,5.709090394,0,0,0
AT1G03457,114.919452,99.06468749,73.18178174,23.08847626,16.72230671,15.87001126
AT1G03470,22.5191916,0,1.157842094,3.730179895,20.51718205,29.67617548
AT1G03475,92.04859192,108.3055141,106.8470576,120.9912629,124.6659195,138.2181599
AT1G03510,1.0452138,1.031116462,0,7.290806325,7.162531557,12.01673991
AT1G03520,95.33889632,59.01148607,92.00157072,29.77816124,28.76497104,44.67294347
AT1G03530,30.38113696,31.9988789,22.14959879,122.3596976,191.5843271,118.5170887
AT1G03550,128.4955804,162.4976524,206.5884867,38.81679588,16.97780385,7.206527674
AT1G03560,31.41131665,30.95868915,74.50807773,39.93292612,45.90296416,40.35911207
AT1G03590,85.84453543,110.4115278,155.943391,108.9474174,87.74924312,98.74738407
AT1G03600,31.33787198,10.30831459,5.787905871,1.825266613,1.024285313,3.432854252
AT1G03610,77.55021797,54.76198627,59.10694623,38.05028182,46.02890932,37.83580228
AT1G03630,11.14292292,2.445524486,0,3.245244708,1.813774796,1.524124203
AT1G03660,33.58086272,6.871249229,8.930213764,0.751192779,0,0
AT1G03680,124.0266776,71.0520143,66.77480604,72.48569036,77.12673872,91.77719724
AT1G03687,85.63738238,51.64650494,53.27764901,111.1643276,93.19837924,119.2159964
AT1G03710,0,4.863444707,2.176481415,7.792607058,1.941255803,4.842345909
AT1G03730,315.4053724,161.8255229,200.1653928,71.21895447,63.52785614,52.34846287
AT1G03740,108.0269582,86.09067839,100.3689555,23.30092089,18.15038834,11.98462762
AT1G03750,33.52019002,30.9650215,26.8052005,23.57196855,19.36614939,30.05785699
AT1G03760,31.34646751,24.74312793,30.11712474,41.04173198,53.23712156,65.2286415
AT1G03770,52.95871176,61.79427718,31.38803946,58.78659314,102.2967559,80.22774923
AT1G03780,3.114843099,1.023133776,3.640621635,72.81422379,126.3226291,118.6890951
AT1G03820,147.1445234,63.88236617,55.43303251,3.65899889,0,1.716012436
AT1G03830,15.72120909,18.58372863,22.1731439,49.79873072,45.82273942,60.1236325
AT1G03840,58.90216025,34.74925295,67.9183265,118.8064971,166.7871166,112.4639299
AT1G03850,73.03108289,26.67861512,29.75762864,2.044635171,8.007841066,0.552157864
AT1G03860,477.2304689,541.4854622,500.1852278,984.1070718,1146.978799,922.8869801
AT1G03870,2099.099455,4718.511058,7276.005088,1471.059715,1180.516825,1167.810644
AT1G03900,673.526651,905.9512561,847.7825668,662.2141031,622.1272691,555.2157544
AT1G03905,233.732396,180.1630041,158.2535448,83.07144803,66.08911966,60.06480391
AT1G03910,143.4806385,102.1754397,107.1703038,214.0591691,274.2773681,223.2765606
AT1G03920,546.7102608,290.9627786,365.9321269,2.756429063,12.39001189,4.210647041
AT1G03940,1.046384952,8.253236897,5.812017528,15.4517555,52.08121227,20.60576331
AT1G03950,57.35527712,27.81027814,40.34938578,2.748971912,0,0.857851137
AT1G03960,41.94956883,87.1879878,38.12431274,41.01608532,34.77858595,53.27763427
AT1G03970,78.29706308,53.58797497,102.8732078,33.81626463,56.39599687,33.46529231
AT1G03990,11.51810975,10.31982364,5.821716856,1.814897913,8.159742336,0
AT1G04000,128.4573874,94.82685975,124.9530501,47.48142616,51.23383835,35.18486871
AT1G04010,27.23258998,7.224856507,27.96421056,24.48406869,48.93315135,46.37392757
AT1G04020,0,7.422661055,3.46262891,99.80091622,100.0548728,109.7855101
AT1G04030,162.1696384,217.6666202,313.7545812,93.64696667,99.07801245,134.7919855
AT1G04040,1172.670278,3084.51515,4711.093769,958.3477765,746.2817379,803.8985834
AT1G04050,14.8722561,4.654975811,6.713576013,20.14119804,17.74903432,11.72085872
AT1G04070,50.8810493,63.73184829,25.10473875,129.5910816,153.1849251,145.6765677
AT1G04080,220.1231491,200.5842374,174.8961556,396.6096908,536.250853,454.9739559
AT1G04090,3.140164592,13.41351456,1.16331475,6.357621557,5.103103465,0
AT1G04100,54.31732052,76.28043886,21.99241622,3.650798052,4.097361365,12.01489936
AT1G04120,350.4333321,456.4138306,407.8335823,274.8396162,318.3604731,302.3493814
AT1G04130,37.69314584,40.01535286,31.49094359,96.37831495,130.0484738,99.93082148
AT1G04140,368.7062704,463.5500681,490.9417574,334.2649352,298.6152822,267.1255807
AT1G04150,0,0,0,3.62279383,10.18506193,7.729951835
AT1G04160,93.3866597,65.10050472,120.2391911,27.1483804,45.81215037,37.73239562
AT1G04170,246.0393354,389.4334634,296.5328323,557.6968932,793.1434246,619.8688097
AT1G04180,24.05263374,48.47442876,27.85759232,0.910205447,2.044530958,1.71689956
AT1G04190,174.5189283,275.2846883,282.7303265,501.4599601,692.9413451,551.8870015
AT1G04200,83.65746188,118.9797047,154.879345,96.54242237,92.2082563,112.0702226
AT1G04220,12.55936319,1.031759387,2.326044795,0,0,0
AT1G04230,132.4267098,172.6810962,131.5298424,52.72279542,83.96781744,48.07007241
AT1G04240,205.5165626,338.1244931,239.3986342,29.98770931,19.97593553,6.814800053
AT1G04250,1497.963238,1742.112216,2318.683691,329.4538488,248.8975405,270.3378497
AT1G04260,101.3131861,119.5694909,118.0377141,136.0225673,175.1911362,162.1973811
AT1G04270,1647.246062,2188.88921,2123.615263,5998.932959,7187.179022,6795.242876
AT1G04290,213.6883896,180.4170237,201.0375305,202.3955441,155.3159352,182.1855929
AT1G04300,177.4510283,120.7017851,195.77844,97.6027205,128.9793071,133.1817352
AT1G04310,15.17677854,33.40353493,27.09292564,8.258941857,9.283515761,28.02226359
AT1G04330,3.115425997,11.30771341,2.282702162,0,3.104648082,0.856939517
AT1G04340,279.5213453,434.6970729,335.6057866,662.2504375,796.9985541,718.9080549
AT1G04360,30.33447291,16.50376777,11.61406941,25.47128991,27.58955285,21.46249514
AT1G04390,18.86369663,37.16585927,15.1676466,22.6407978,17.31366006,27.48447663
AT1G04400,199.5247504,183.1592252,189.540396,85.65688187,65.78949233,107.8111998
AT1G04410,4967.961483,4481.10612,4770.662176,4361.7881,3739.056473,3809.710863
AT1G04420,34.49965241,18.56200396,18.55780677,51.00892539,42.95851413,48.06955677
AT1G04430,125.4762768,257.603991,412.8951623,723.4958232,624.4940023,709.308442
AT1G04440,309.9500384,201.2390232,265.4873795,106.1648641,93.83266449,90.16573454
AT1G04480,594.2308508,861.2830341,776.6307077,2912.497685,3750.976388,3295.011545
AT1G04490,42.57912783,22.8027147,18.20085922,7.034255301,0,0
AT1G04510,158.0547171,156.8246158,174.5271046,388.564807,547.8904409,491.4554023
AT1G04520,62.73222216,61.87591433,147.3344324,366.0937468,450.9936635,336.4942325
AT1G04530,179.8081048,108.2760344,149.6056144,121.1594404,114.5653186,119.3141625
AT1G04540,12.56608884,26.83241119,40.75896991,53.53058557,22.43652125,58.39366073
AT1G04550,173.3297982,199.8345993,143.4100903,41.03488875,52.30503918,44.69892924
AT1G04590,74.19421705,83.51204245,47.50415458,323.6950543,375.6636404,326.1514071
AT1G04600,4.194902804,9.294504697,0,13.56159152,17.29197455,18.89877622
AT1G04610,37.65887031,33.00846722,69.69469703,62.75948457,117.4984914,91.86083723
AT1G04620,18.84399878,4.127541514,11.63768153,6.355204731,9.182994603,7.728063726
AT1G04640,45.87346894,29.86700266,6.913131722,57.76056019,62.69406872,57.47264764
AT1G04660,14.62968282,3.093022528,1.158606643,0,0,0.858290827
AT1G04680,95.24638626,186.7525927,283.8104977,457.8090449,432.7854708,521.1877917
AT1G04690,247.8202459,374.3689815,501.3065564,1037.897689,1027.570207,961.4386535
AT1G04700,51.36511095,42.33309343,59.54338039,8.145423861,1.017961842,12.02523988
AT1G04710,37.64981482,46.4129589,19.73528295,56.42484508,89.95003351,72.11081779
AT1G04730,43.72676798,22.7856357,32.37816076,59.86446647,51.34921497,54.39095598
AT1G04760,18.67249984,12.78464759,7.848193835,13.74340737,33.90335498,26.11891245
AT1G04770,64.75599498,64.93818655,26.61546446,26.47505281,23.5642881,35.18555617
AT1G04780,154.0264524,164.1358686,138.7826356,122.3114582,117.1582198,149.4405401
AT1G04790,68.08639156,21.67529468,85.07281335,74.34624565,96.8345032,82.44397204
AT1G04810,201.2094717,134.2090318,194.8381217,200.1524478,163.9752903,168.3417589
AT1G04820,2788.882581,4192.830748,4964.619238,4852.565063,5605.443209,4924.89188
AT1G04830,102.506767,110.3675277,92.90631274,85.51637636,106.2760473,105.5947647
AT1G04840,4.189757054,3.096410845,0,14.50802433,22.42648517,19.75200323
