"","leaf_FLT_Rep1","leaf_FLT_Rep2","leaf_FLT_Rep3","leaf_GC_Rep1","leaf_GC_Rep2","leaf_GC_Rep3","root_FLT_Rep1","root_FLT_Rep2","root_FLT_Rep3","root_GC_Rep1","root_GC_Rep2","root_GC_Rep3"
"AT3G16460",9.77437939025506,9.61549544569997,9.48303870274592,12.9431295376081,13.0998713567735,12.9472322258709,9.37553758014457,9.36581903655015,9.01672524525186,13.2176293765484,13.2618783477125,13.1326867617833
"AT2G38380",5.65418037864284,5.52597297053083,6.02735176940356,12.7878768327864,13.1731620757512,13.0345459716673,4.46522186773944,4.53043646059963,5.49433685234008,12.7404073469365,12.9428200305499,12.8986056793875
"AT4G24780",10.5989669339096,10.4702385229542,10.3954633300078,13.2063442932012,13.4201666391974,12.8924517450392,10.6634811962058,10.3973863869171,10.5620957166528,12.6097584986427,12.3726563150474,13.0375336474814
"AT1G75500",12.087021485649,11.667973093297,11.5761076405058,13.5285131965979,13.5426898109667,13.1634255536693,11.6585652678842,11.8160657538062,11.6252318447359,12.9791220189427,13.0761125696686,13.1051176252273
"AT3G16470",11.9787938288448,11.2493766809796,11.4549671307567,13.2761571400481,13.3369592217377,13.0280795674497,11.3815593356598,11.3459266872716,10.870770870326,13.0554051416851,13.1692732181392,13.0302228614641
"AT2G37170",10.6915507464697,11.0900984168553,10.9308537116815,13.057530834171,12.8823641689963,12.9182627558986,10.9041481482432,10.962497193171,11.0306266244542,13.0889825110309,13.2084201151028,13.0225321586383
"AT1G19570",11.8329800964965,10.9318934222205,11.1827205559746,13.34425967631,13.3488106029859,13.0232962334956,11.5364948266705,11.4129147647136,11.4518705943056,12.8085143038078,13.0472194296832,13.0400752308221
"AT1G11840",12.3764388395295,12.0521461866735,12.199446886829,13.6451154859295,13.4854151536069,13.3949052012658,12.5479236166805,12.4078564305602,12.3788491850503,13.2681778327426,13.4301865119282,13.4135496254738
"AT3G54580",5.13922377588574,4.5871631902563,5.46425985497456,12.4734095104924,12.1552295056619,12.7150374774695,4.25351498882033,3.8133009569687,4.32410918266214,12.6077058303833,12.5604789654939,12.8468991422134
"AT2G01140",11.4442660613257,11.4341342087148,11.4585732452146,13.1332988005778,13.000988248568,13.1049591441726,11.431229838581,11.4377123169276,11.4089268366375,13.0862004020543,13.1341260490734,13.1146339612182
"AT1G01620",12.5486720383168,12.4442859183233,12.3079448995364,13.5892682880175,13.4616246534926,13.2765711125444,11.9433364765096,12.3603546841977,12.1109211001324,13.233542898998,13.4591309255284,13.2805871699183
"AT4G02290",9.42689478309186,8.80027823810489,8.70222660946242,12.749370113839,12.93815957477,12.0669568229947,8.84621597917531,8.97114712545163,9.01951310329936,12.636404530554,12.3023079318165,12.6956280479156
"AT3G30390",11.7631679157716,12.1118157398296,12.1187219990721,13.261531002051,13.3129603302303,12.9285323303135,12.1631507130621,11.8709460531783,12.0808741334062,13.2769593746495,13.342586547029,13.3899664967954
"AT4G34870",12.4995529608146,12.0660330407528,12.0473064510481,13.4109987578709,13.2756190217991,13.4676351948513,12.247561212116,12.3644881070731,12.3553189932136,13.3709919528348,13.3453332196598,13.3484629233949
"AT4G23670",11.9430525617766,11.8648874914609,11.817080330216,13.3104695306354,13.4458001955797,13.0783583180827,11.7636219859694,11.9574063695411,11.9005684463093,13.0208562398505,13.1363480119677,13.0560687751721
"AT4G30170",4.59431726709539,4.95649630671985,6.23384614660822,12.5869513301514,12.2464536799116,12.3316476263818,3.32617654841408,3.17455181148672,4.39452445603338,12.551150154838,12.6753916226521,12.4601021311242
"AT1G49240",11.9959818937772,12.288040529967,12.1629682593144,13.3728368122395,13.2406917093622,13.0850956336519,11.748111152275,12.0254659868125,11.9670639866812,13.2681778327426,13.3233513270246,13.2219504753808
"AT3G29410",4.2567914330327,3.90882737957716,5.17464611900148,12.5399633695917,12.3059126584677,12.4908447548921,3.1738591833911,3.91299485646943,3.80930247951414,12.4483564253077,12.5734221551842,12.4231936791813
"AT1G48600",11.7706776908013,11.9455187418294,11.8841218272898,13.2943404393246,12.9999399091351,13.2693749297663,12.3340595025877,12.0652861544946,11.9695890240433,13.139427876683,13.3362492841748,13.1740031272396
"AT5G23020",11.7484527124703,12.1507968730824,12.3213046370604,13.0732051385204,13.1495634092571,13.3830858081982,12.0835488871567,11.2692236189762,11.8975407476147,13.0683994041003,13.1647708771098,13.0402445106179
"AT4G28250",9.16088688307071,8.50643709361739,8.57510998588289,12.6396424418184,12.7426978440569,12.3043053410549,9.01264345497458,8.8693331648025,8.3336088931485,12.3263445551903,12.2679771455678,12.5195924361039
"AT5G15650",11.5662719984777,11.475327551242,11.4141628108526,12.8825260592453,12.8561483906583,13.0602923870209,11.501419641061,11.5590533311063,11.6082018670908,13.0443178364939,12.9848213367377,12.961631060454
"AT3G28550",4.46861683863853,4.25001246086657,4.95882239656588,12.0381266399544,11.7769718483022,12.1676198400101,3.91208145331886,3.91299485646943,3.46116684299636,12.506800917617,12.3817821601983,12.5760260792283
"AT1G66280",3.46658072647395,4.52574352362264,4.0915253186105,11.8817758299134,11.8869138331494,12.1784172341747,3.58968223328991,3.00416479619983,3.58678030277605,12.6102142508,12.4942092360875,12.2736993790106
"AT5G13420",10.5961518615734,10.847340451374,10.809429335829,12.5402033572924,12.5155635491841,12.6969144048702,10.5549134721524,10.6385637984658,10.6091240703435,12.7399909276977,12.7396449444143,12.7154803553424
"AT1G20440",12.1923610941452,12.0864497013617,12.0352824492809,13.1740775980683,12.6823326399616,12.8343389150565,11.4903759173465,11.9275448243672,11.9620006150252,13.132940323502,13.2643475870384,13.1244073271091
"AT4G15390",6.33258770136794,5.75733250566853,5.83782817992576,12.2696642687022,12.3545674574586,12.2321129553271,5.67894560550455,6.09529249961236,5.75741160914143,12.2264333898231,12.3225209901,12.1870650346153
