"","1: upregulation, -1: downregulation","Symbol","Microgravity-Terrestrial","leaf_FLT_Rep1","leaf_FLT_Rep2","leaf_FLT_Rep3","leaf_GC_Rep1","leaf_GC_Rep2","leaf_GC_Rep3","root_FLT_Rep1","root_FLT_Rep2","root_FLT_Rep3","root_GC_Rep1","root_GC_Rep2","root_GC_Rep3"
"4258","AT4G08160",NA,-1,6.56533170576947,7.057843519566,7.09261711080224,8.16167757224926,8.51665293975837,8.3351703543657,7.11539372711153,6.91493171734129,6.51040077588425,8.21082056589005,8.10432191015121,8.47913438646669
"4259","AT4G08180",NA,-1,9.50701157703359,9.48644146459877,9.44614883376021,10.2106118991117,10.0497939352509,10.0864647943135,9.75523384953184,9.68951560754356,9.58014041488867,10.2660617511402,10.2283895093028,10.1303558299416
"4260","AT4G08210",NA,-1,5.13922377588574,4.46159232558349,4.39661763955145,5.4796174732732,5.41634309255379,5.62712020927067,4.91302324230253,4.86515419042664,5.17234822888521,5.68360834955312,5.23466247351022,5.41093699144837
"4261","AT4G08250",NA,-1,3.00562013568149,2.58584317940842,3.00265752938261,5.60237635686749,4.69118555271091,5.34113730513138,2.58732429706221,3.32692440950797,3.58678030277605,5.84100367144926,5.74115785720337,5.65684964225697
"4262","AT4G08280",NA,1,9.6092132844055,9.53400762582817,9.65094213563214,8.21556373108793,7.89010750415962,7.92461179222838,9.64366298155204,9.50612355544222,9.59703635678417,7.87688339344151,7.87416119403229,8.00572037087998
"4263","AT4G08300",NA,-1,6.45364807577333,7.60991662460324,7.59016224368875,9.30632169383253,8.9975708007399,8.45773871158514,7.41629871239461,6.8783987513306,7.92749352028552,8.83053933963376,8.85873759090188,8.8931254315294
"4264","AT4G08410",NA,-1,2,2,2,3.9899355595386,3.69287254952142,4.79176859347703,2,2,2,3.98633950689003,3.89602749897694,4.68614496209096
"4265","AT4G08450",NA,-1,2,2,2.80963310396796,5.41408488850689,5.74475782040961,5.56828750961565,2,2.32359545640493,2.32247367604027,5.59796485015623,5.57137080099504,5.53912657499345
"4266","AT4G08590",NA,-1,6.48644956082693,6.28790735484564,6.04938301895157,7.72152815819939,7.97222409888636,7.98770909159566,6.80123537666213,6.66620058704776,6.49445790185717,7.95932841553956,7.91022423625448,7.87819450457974
"4267","AT4G08620",NA,-1,2.32417877708419,2.58584317940842,2,8.29507442057418,8.13895868871405,8.38289567481403,2.32334563661313,2,2,8.08005718179885,8.04608560630702,8.04404163049726
"4268","AT4G08690",NA,-1,8.45817360337685,8.30638778015403,8.60888201344679,9.74151507293035,9.64553617234475,9.64010165203397,8.28775382961834,8.15285861700294,8.14223856880746,9.63648424918972,9.81970269058409,9.5681419955917
"4269","AT4G08770",NA,-1,10.1545621536497,9.66083884813314,10.2256707283171,11.2869390509677,11.87056489318,12.0926255908412,8.37331049956744,8.8786114357427,8.38207149962053,11.5402021747816,11.7062831727939,11.8615431309349
"4270","AT4G08920",NA,1,11.2656383136431,11.942216952844,12.0524290747032,10.1146076521236,10.2082622443345,9.93752318516312,11.6603580035104,11.5824271584492,11.5848642736777,9.940383630713,9.92333643895167,9.85044249100199
"4271","AT4G08950",NA,1,11.9278328224686,12.5259555447772,12.704228646078,9.54696942617998,9.90199177814781,9.65431462236587,11.1017984199929,12.286469956398,11.1651124209827,9.65956641619894,10.327286933583,9.44671164717595
"4272","AT4G09010",NA,1,12.4960335585437,12.7998951599609,12.7960629305068,7.11623369596489,7.12891980551055,6.42558485535533,12.9891726396618,12.919330704504,12.8935586600332,6.32251343465023,5.81910228305465,6.6841846568737
"4273","AT4G09030",NA,-1,8.34199651468231,8.3863131240891,8.51304656517863,10.0687639303043,10.2298845076944,9.9037159640323,8.41213201938966,9.20793352818406,8.36463650856153,10.1517458588625,10.5897578516017,10.0330036425964
"4274","AT4G09040",NA,1,11.1823758759781,11.158718877146,11.0200178549705,7.71474018797395,7.97791452729887,7.71685303762795,11.0466649301317,10.9323707155266,10.8845987797773,7.69635227839447,7.71336806980658,7.80357087891668
"4275","AT4G09100",NA,-1,2,2.80848712451539,2,3.57601980490521,4.38346510221917,4.07356551474918,2,2.32359545640493,2,3.68783463669821,4.15840089900959,3.68875456583475
"4276","AT4G09650",NA,1,13.9510702698763,14.1767853218443,14.124736492268,8.83217250010958,8.93751303693095,8.51337895537205,14.4482011741568,14.2141854450483,14.2657743724553,8.47781554650326,8.47317247273531,8.66975656076165
"4277","AT4G09730",NA,1,10.5705659306664,10.691758438493,10.6319184144584,8.69059812458132,9.04983507485942,8.93904894471938,10.6953070236275,10.5542251824812,10.7143863228597,8.82740679640336,8.80866520954117,9.01388812633203
"4278","AT4G09840",NA,-1,4.00842201465186,4.25001246086657,4.58938900062389,5.07561501173213,5.4494867491765,5.65566065968183,4.17542985712976,4.39905441396349,4.25007992409249,5.53790756335121,5.41281740214444,5.41093699144837
