"","1: upregulation, -1: downregulation","Symbol","Microgravity-Terrestrial","FLT_Rep1","FLT_Rep2","FLT_Rep3","GC_Rep1","GC_Rep2","GC_Rep3","LN2_Rep1","LN2_Rep2","LN2_Rep3","RNAlat_Rep1","RNAlat_Rep2","RNAlat_Rep3"
"258","AT1G74970",NA,1,11.5936541997414,12.1971319572687,12.1341691958361,10.958340768366,11.4341008873915,11.4122454967031,10.7976658523386,10.3427840745683,10.5282720739464,10.6953889082349,10.1947407917286,10.4864397952286
"259","AT1G75300",NA,-1,5.14630512507542,4.25664014982843,4.92831041974384,5.13490018886392,5.06056383644681,5.67261452582684,5.48300811331903,5.41884743397214,5.63919118578484,5.74675703522007,5.82699173418466,6.10236201956825
"260","AT1G75350",NA,1,10.3222107652362,10.5365181454819,10.4254941534614,9.56663969394383,9.75300971456988,9.80433538621766,9.38909061187614,9.13398490154559,9.30102242174663,9.14433981292621,8.72137427470554,8.86431165940175
"261","AT1G75580",NA,1,6.95153220292987,7.1806469742182,7.26244332966749,7.06143253112512,6.81214323407198,6.7144429813424,5.07889787030306,5.27806312265997,5.97253107551878,6.51131758869146,4.97262270321665,5.5062787001406
"262","AT1G75620",NA,-1,4.78458530540336,5.2953022476209,5.75075907787148,6.05035102404862,6.55675869247335,6.19001859469099,6.77200316319972,7.45961069503488,7.47077622007472,6.80098769578345,6.01982433624788,7.19530013840927
"263","AT1G76220",NA,-1,3.9800963159353,5.13905417609899,5.10926743935808,5.8132433386759,6.26535152342859,5.72811024595419,5.57606341820686,6.10081970951429,6.103747566241,5.54216604414336,4.92522656970662,5.33617864268412
"264","AT1G76250",NA,-1,4.93105648093531,5.53363355962935,6.13179193180423,6.81346933697552,6.75916973146778,6.61490674923364,6.78505612480735,6.73359339326011,6.91395980082064,7.09657980673925,7.82811651346288,6.83544701661705
"265","AT1G76410",NA,-1,6.18430405896914,6.79198734664875,7.50795583540484,8.09900482029243,8.93112358440121,8.60382951771442,7.52965751651312,8.19160372008807,8.25708966632055,9.32857490849518,10.1058674261024,9.20059245611353
"266","AT1G76970",NA,-1,7.34037315319703,7.41164655724829,7.5159961943676,7.96624067633578,7.93097194881236,7.90709245792035,8.51787180498792,8.03633817673271,8.39586818656486,8.09687946181308,9.56791857404099,8.11888414988932
"267","AT1G77000",NA,-1,7.09311368841699,6.48626678062813,6.84399939206801,7.59117107114955,7.3125410840818,7.59265806644847,7.81064058614103,7.72668343549502,7.58749095420809,7.5590873554795,7.74866083183265,8.11888414988932
"268","AT1G77200",NA,1,9.4892467950647,9.59028564498299,9.37547637386467,9.32822893175459,8.651196980597,9.01143094765445,8.14017352780981,7.92269158213516,8.30333176308444,7.61985932371713,7.37817647475939,7.72977098745221
"269","AT1G77530",NA,-1,5.73027502237585,4.86749215814539,4.60556433927171,6.1557310326814,6.2268513705539,6.22901302624539,5.38353426528829,6.74701107007049,6.73658552115247,7.4875119767189,6.60522429848362,7.29154347305642
"270","AT1G77700",NA,-1,3.30602717585139,3.59232328914373,4.01855484322515,4.59024808207024,5.01610040749405,4.39248360688216,5.07889787030306,5.72035921914184,5.90215787185028,4.54040452644591,5.60434924276485,5.01385659408439
"271","AT1G77870",NA,1,6.22274005622,6.86862929547792,6.36332788629964,4.52880165919135,5.54035832178359,4.58513357230252,5.27669039521835,5.87501887724165,5.58031442617669,5.47795568438,5.41145405138558,5.53801800222396
"272","AT1G78000",NA,-1,8.27294914787795,8.6511619526255,9.16406488188916,9.19858993375675,9.84961289333381,9.66554018947171,11.1552130828392,11.3771552107569,11.7027252003168,10.1585634887644,10.0224626331754,9.14499588026976
"273","AT1G78090",NA,-1,5.49929480709766,5.3675070351907,5.72324276989666,6.98341944715481,6.5411532917383,6.72811799201126,5.87359266085474,6.77347775836372,6.65334129820411,6.7338384679352,5.69191505929908,6.68763328949862
"274","AT1G78110",NA,-1,6.80723195035249,7.42862267736349,7.86975143566573,9.08844272863417,8.56122175833422,8.60011600947531,7.61253882635338,8.25871284306637,7.99500800712367,8.6890497017244,8.34280211600488,8.68455558257475
"275","AT1G78120",NA,-1,5.14630512507542,5.71062160903393,6.49932005275678,6.56065999306587,7.46917933731065,6.94271311337728,6.09937837249504,7.05815381707071,6.94928881124828,7.25823245727306,7.36934948360999,6.91011391847269
"276","AT1G78290",NA,-1,5.33356905987502,5.00965335421022,4.60556433927171,6.32795211473371,6.58747204119294,6.4431393416327,5.57606341820686,7.17195514258582,5.7501924008912,8.41244014104621,7.0204804787863,7.94630458900052
"277","AT1G78340",NA,-1,6.14481596372759,6.31425157978893,7.17374459498272,7.08296851185342,7.94882367908041,7.67262660054983,9.29413159644456,8.04722555840706,8.81515254978097,7.38619539661708,8.52870037067663,6.89793471952261
"278","AT1G78830",NA,-1,9.98473156997544,10.378408634884,10.3644615907521,10.7761637277555,11.1572651790251,11.0121309521551,11.8858746932143,12.2358929962965,13.1576368642411,10.8845062101568,13.9762360187163,10.736887180236
"279","AT1G79180",NA,-1,4.14927884431641,4.53267738285672,4.92831041974384,4.95972013900246,5.50861411988907,5.0445745215336,5.74589824930136,5.60719912732278,5.85325994741825,5.01783368872912,6.41245424507212,5.68701568498249
"280","AT1G79320",NA,-1,5.40216020384487,5.5950739312429,6.13179193180423,7.34603416321516,7.06222626856718,7.3130830747422,5.87359266085474,7.39289335589503,6.54973364792454,6.83982647541396,6.08597229790577,6.62989258846955
"281","AT1G79450",NA,-1,5.53027211241632,5.91718521593781,6.17305460412239,6.51385690480502,6.58747204119294,6.58515923129021,6.29456319075591,6.94628068187027,7.14481884899684,6.51131758869146,7.32438577728689,6.68763328949862
"282","AT1G79620",NA,-1,6.26017856658146,6.46995935599387,6.86932555820948,6.60599231122832,7.48557849535928,7.055481545452,7.77182603993441,8.10568039057659,8.02291248309449,7.64200465177966,7.73498212350099,7.53904505523439
"283","AT1G79700",NA,-1,6.10421654803576,6.85613505653936,6.80515649842274,6.1144980363328,7.87605184221353,7.24812739508493,8.13508513601461,8.40976822644991,8.38300657400967,7.69239226631466,8.07066812456886,7.71596230475953
"284","AT1G79850",NA,1,12.2930933896453,12.3583632541968,12.4851256607258,11.5445208008151,11.6756816928215,11.4560459002882,11.5333340626831,10.9284744484417,11.0569842721597,11.2976182700748,10.5387484597104,10.9524311063933
"285","AT1G79900",NA,-1,5.06401805932246,4.91645231710035,4.87928802123465,6.07205181937687,6.1671033688456,5.7550775804462,5.48300811331903,6.03671098132472,5.20493111181871,7.04210896974839,6.6927385970747,7.02656443555871
"286","AT1G80050",NA,-1,6.40091314982395,6.01034041414688,6.54718447744075,7.72731962854103,7.41883283199899,7.67968137771739,6.45016362179098,6.65035610374377,6.88991714910437,7.7204142691519,7.17029227224236,7.15493008003899
"287","AT1G80180",NA,-1,8.71174398909525,9.04711706107578,9.09864693946283,10.0034950974269,10.19574229836,9.98034404815649,8.94456406685221,9.87602501012847,9.6814538183053,10.9211879628408,11.0729854452068,10.5684524704007
"288","AT1G80440",NA,-1,8.41250155099451,9.87825884053516,9.72153669590774,10.5637872871087,10.8739935962736,10.5325606543462,9.34569977933532,10.0646527698343,9.64421011357726,10.9354540200531,11.0448503640677,10.7257330822942
"289","AT1G80760",NA,-1,3.4425613516422,3.70808286518243,3.47519041565917,5.00554935277503,4.53876706650632,4.95437510730287,4.9915066143228,5.5774657288637,4.63959743765478,4.82482685284133,4.47674793484331,4.09958011888815
"290","AT2G01430",NA,-1,3.68207687365075,4.33075654503492,4.60556433927171,5.04996744896282,4.97022293304078,4.90706850963122,4.9915066143228,5.35017188876558,6.18503153402249,5.57323039550619,6.51205657355381,5.22357615644076
"291","AT2G01530",NA,-1,8.00723307530067,8.27297885681874,8.47561848274573,10.0561650536176,10.232643474828,10.3062663243329,9.56398751535238,11.0273218520701,10.2617316647728,11.5041509937903,10.5099222626226,11.3667403668006
"292","AT2G01590",NA,1,7.20293468098209,7.95921647111045,7.96680358505355,6.54522705720781,7.06222626856718,7.3221282466203,6.60539666760181,6.14202898044278,6.43810568339768,5.97325463475991,6.06425823031676,6.37260934127428
"293","AT2G01660",NA,-1,5.78267151588623,7.01068382145376,7.16354393548636,7.56844890237155,8.00678282183999,7.80110150142651,7.32144811557453,7.94031984291062,7.70238498902612,8.09687946181308,8.0976410385035,8.11362758880088
"294","AT2G01880",NA,-1,5.90589695076634,6.48626678062813,6.49932005275678,6.6925951960884,7.41883283199899,7.27632439146717,6.81081300786175,7.83745248065669,7.4544757049596,7.31446894462342,7.1079819073649,7.92845337530628
"295","AT2G01950",NA,-1,8.53592674809332,9.18087586096665,9.50433026731324,10.3715500413013,10.5051699638663,10.290223474585,9.4060880119481,9.58991460778368,9.50868402454261,10.3149198088292,10.0558552748363,10.0601597891935
"296","AT2G02500",NA,1,7.2125159910568,6.68302163599157,6.51545195067443,4.46462127114611,5.9714030378862,5.55477666534526,6.70490583508951,6.24017897806304,5.72323245176317,5.74675703522007,5.41145405138558,5.68701568498249
"297","AT2G02610",NA,-1,5.59029999192686,5.5950739312429,6.5782340326285,7.08296851185342,7.13680111212473,7.25758775964009,6.84860612271462,6.88691325153227,7.16499474353471,6.89003671518762,6.06425823031676,6.61508896089204
"298","AT2G02710",NA,-1,8.34876310874707,8.3507415248869,8.4506672455018,9.41993120099608,9.44663997446316,9.3130869477482,9.02928226440488,9.15426836217517,9.08772298842285,9.29868266571447,9.34293327292967,9.75046101497953
"299","AT2G02820",NA,-1,8.50896505960921,9.24217521367342,9.16150433319142,9.99500015703186,10.2519448482633,10.2035525900263,8.90923294182778,9.91220648642653,9.84513748363122,10.175110616083,9.77926261882687,10.0297848716566
"300","AT2G03200",NA,-1,3.88743221203759,5.05408912288039,4.77594383440621,5.64969036153279,5.77191946021481,5.42645094326167,5.7983399052038,7.12133715045964,6.76329937525721,6.5893674286209,7.55984383246093,6.31880891407496
