"","FLT_Rep1","FLT_Rep2","FLT_Rep3","GC_Rep1","GC_Rep2","GC_Rep3","LN2_Rep1","LN2_Rep2","LN2_Rep3","RNAlat_Rep1","RNAlat_Rep2","RNAlat_Rep3"
"AT5G06860",9.62637862766148,10.5158158931661,10.7414484216925,9.68578961618695,11.4319870089043,10.7425142402273,12.553968578985,11.1339413444069,13.0159110134126,10.7405597710157,13.8366138698064,10.7996063374924
"AT5G49360",11.4220712501501,12.5624877798987,12.3904442214087,13.2026324267176,13.5987562548152,13.2506516693527,13.4624757272097,14.002961635417,13.355503343228,13.729118008665,12.5778679188597,13.368138622784
"AT5G11670",11.0549332545548,11.0103010681246,11.0483944628724,11.9177257961102,11.840139662683,11.9412526809853,12.1542617657655,12.3630580897557,13.1506977948887,11.9272329901289,13.9293358170092,11.8980695398858
"AT4G17340",10.9881700934588,11.9339718227946,12.0498032080711,11.9248244328044,12.8182643086833,12.3892986522965,12.0381039404511,13.8079057003814,12.5688157933428,13.5027862330475,11.740928043255,13.3329490456837
"AT1G70850",10.0583075286612,10.354179035726,10.5164722392381,12.0957850521639,11.6252302754367,11.9108478006668,11.8208150896773,13.1307351238054,12.4183109056921,13.4965962665419,12.6344519830051,13.5538876464888
"AT4G11320",8.69133173608067,9.93875999502071,10.1318154437542,10.9699463232692,12.1117867097277,11.5832877833408,11.1073004069207,12.8036003869059,11.863756617945,13.3921324715806,12.3263264984791,13.4544815386656
"AT1G21100",7.02948988446276,8.22033205757583,8.74896950896517,9.83920264406125,10.4234734384843,10.2821346509205,10.0817602907381,10.9967584140665,12.3707864294874,11.172612762716,13.6546926158967,10.885385482707
"AT5G57220",6.90501754346568,6.99936580455064,7.26244332966749,7.25410139571462,7.57258596057127,7.45963223689195,10.6305585373964,10.2574614702755,12.7822219309563,6.634247742396,13.351624953006,6.86076779800397
"AT5G07440",10.9291042401771,11.2666279252132,11.2908482967391,11.2678373790984,12.1864152565968,11.8039325803452,12.9278518812856,12.7169778179076,12.9876924737415,12.0347131489092,13.7180975293112,12.0457875804187
"AT5G56870",11.2692119111579,11.5646418233003,11.3505165753685,12.767680189114,12.8759683075121,12.8535147279111,12.5632326029682,13.8358411630156,13.0934565679479,12.9972754929681,12.6249809622562,12.864635274069
"AT1G21130",6.14481596372759,7.98239562882806,8.00729366931487,6.60599231122832,8.71864990980664,7.9368398711339,10.0975415913649,10.9394733202398,12.3936760848247,9.38656311866444,13.4359459826121,9.19811128041593
"AT5G64100",10.9152360972042,10.9321015735713,11.6375243727663,12.479026764934,12.4282936807068,12.3817480807734,12.6013202085964,12.9269890070813,13.6440740951761,11.6519697727027,11.8607109057512,11.7475500675537
"AT1G09970",11.1706626896501,11.7796124351833,11.7944969419218,12.7235846257187,12.3075256207077,12.32607270411,11.9786284230873,12.2308283136558,12.6356286494219,12.4392554185813,13.7329045725751,12.6453996533767
"AT5G20250",11.3759191035931,11.6449167298742,11.4696668641261,13.2214156313869,13.060891592467,13.0537917305283,12.8263448666268,12.9815730773839,13.2703277363641,12.3008280102137,12.8581613961067,11.7690237995077
"AT1G65970",10.749894516788,10.7575158914388,10.7786828101151,13.0634830256018,12.1173882011604,12.4267319827644,10.9888986600359,12.5008580834781,11.9907007563821,13.1851044800693,13.0000151031112,12.2625529324487
