Analysis.Id,FLT_Rep1,FLT_Rep2,FLT_Rep3,GC_Rep1,GC_Rep2,GC_Rep3,LN2_Rep1,LN2_Rep2,LN2_Rep3,RNAlat_Rep1,RNAlat_Rep2,RNAlat_Rep3
AT3G21200,876.5965983,1046.834443,977.2138752,448.0128241,650.5051858,584.4593725,732.4630538,581.3367496,587.5253023,515.7459751,404.1444956,451.8647764
AT3G21210,2.759919529,8.595610413,10.48363751,11.35147935,11.18424656,4.538479265,12.30880063,19.85957844,17.2439474,13.44341933,29.95613041,13.03175953
AT3G21220,337.4274217,279.0031094,265.3859839,261.0418618,265.8078124,257.6956871,222.0901243,251.8285182,208.4239148,309.8764477,354.8635565,340.7938128
AT3G21230,128.912854,102.1511266,127.0263296,171.2397417,202.510377,188.2463342,250.825325,313.8474023,298.6944738,240.6643913,417.9118899,327.0396569
AT3G21240,337.9673925,532.8656318,608.7634065,519.7046118,846.2804534,638.2526525,785.9872872,875.1914142,1145.34899,924.6887186,1771.652934,1001.322253
AT3G21250,606.6128917,568.2670123,552.3095944,480.9671622,429.2084842,443.6933239,1204.531694,565.8841782,475.0632826,507.3090933,506.6188839,513.5309723
AT3G21260,21.59699714,39.66466471,38.70594419,88.12390129,68.86704536,101.1653875,37.46590259,122.7270754,72.9378674,125.4739201,98.94194808,128.0035901
AT3G21270,109.6682948,165.6073231,153.64476,229.1373371,185.3365777,174.6330167,169.988497,185.0804865,198.597312,179.7679852,223.2094837,166.1826211
AT3G21280,167.1988477,126.7997625,138.958266,153.1508596,119.3018566,163.3116299,146.8890856,141.6191803,97.79691853,105.701674,102.671316,106.7506209
AT3G21290,500.5492109,456.7340126,396.9066072,568.949207,438.6515846,522.1034025,498.4187905,418.0444822,462.231775,411.6632932,555.3739141,497.5933355
AT3G21300,363.7022043,307.7837929,296.0153976,267.5836416,181.4512225,259.8246523,236.9190828,147.5146847,233.7334082,112.5881243,250.4111759,154.2097813
AT3G21340,45.83019965,24.05706631,42.72348996,63.23705963,45.9695527,61.83852439,61.55870428,90.80536112,36.41010972,68.89822185,32.35899246,98.82327476
AT3G21350,339.2696819,316.9484294,306.0088187,258.0115027,243.5853522,311.1322081,230.3816772,204.1980267,217.1083771,225.0884722,236.7992571,236.8108174
AT3G21360,169.7829882,178.1352974,133.802395,169.7109276,201.2942227,174.6637431,124.2243088,128.7273496,89.84342132,327.636527,135.0409936,178.1216789
AT3G21390,104.2843485,100.3413897,92.764849,109.3199807,66.03340037,90.34118016,84.58463657,116.5450905,79.48073372,56.52874491,62.96276048,64.48866991
AT3G21400,115.7303643,88.96291378,86.64249282,74.86071196,55.70046687,82.18122564,114.4946251,66.2216753,51.44194887,82.31091149,53.57336417,73.86631936
AT3G21420,24.18145445,20.74772622,30.80699261,36.5380945,39.87930277,44.23384729,26.07575572,32.53978259,28.67657647,38.64457886,68.12662334,46.70238672
AT3G21430,509.7712774,537.7576343,531.8453906,543.7872053,557.7690292,562.4483136,616.9078214,545.2162283,524.4247032,493.1565346,568.3056146,542.1972828
AT3G21465,130.672148,83.96293645,80.35552715,71.47460874,84.17383295,100.3683902,133.3546011,132.9095321,131.8470869,109.2094744,107.5071777,132.5075989
AT3G21470,11.54339302,12.09975145,23.50504907,31.66437504,14.32981115,17.58041154,4.602235753,8.489645787,9.559799757,23.5229345,14.3440726,19.54974246
AT3G21480,164.1447174,117.5676909,152.1857196,164.5301158,127.2725231,158.8632824,144.7560696,134.8640749,128.4526433,215.102694,187.0622648,188.954089
AT3G21510,68.04484044,111.7407172,116.1447221,101.5438412,177.1385473,161.6026447,111.8529124,147.0007748,131.8113037,198.2537034,195.8407688,260.6740376
AT3G21540,325.9481849,249.8544024,269.8774877,307.2165114,279.451385,286.5117863,297.1281374,201.5372581,262.6039427,305.8455413,285.3235421,266.0589589
AT3G21550,4.906932705,15.72543932,22.1032205,21.97875782,35.07612828,26.06835475,97.61540185,225.2624304,279.8940205,38.63398231,118.9645443,74.95455056
AT3G21560,2109.563296,2076.196627,2042.83179,965.7036394,906.8750561,877.9987685,737.1393941,536.7542856,614.2059808,712.4428986,515.6425926,853.6398601
AT3G21580,149.9400707,158.3328914,163.8893751,71.46675543,113.4534585,96.40186747,96.59052982,101.8243652,93.64681649,129.3726748,105.1391659,136.8509727
AT3G21600,98.04611015,28.30728271,46.05604004,113.3552082,64.53581851,73.49045708,108.7703785,94.09504552,76.76273526,160.2779528,97.23284899,147.6094455
AT3G21610,197.789728,190.3880049,189.7903997,267.6933214,208.4615445,267.8143485,227.839945,240.8819266,290.5033127,205.9875502,243.9109821,207.0914097
AT3G21630,349.9402052,331.6348392,351.4890582,448.6178743,437.890937,474.7737288,611.6612976,725.5748174,1043.360454,453.692978,1076.204581,485.4539014
AT3G21640,259.5200482,219.1927268,202.2741375,248.5910019,217.0778371,233.6120831,231.342987,241.6815328,244.5013225,189.8522,228.0633094,191.1616297
AT3G21650,211.0768294,252.3041551,225.4843389,248.1394749,232.5280502,224.8182232,288.8683934,278.8320188,299.4903927,208.6330112,211.8708242,221.8239493
AT3G21680,21.27695571,27.93265826,28.62989647,28.48518954,36.93981574,31.73721081,13.73338012,28.16883346,34.2839022,26.87643789,35.70272868,43.45133789
AT3G21690,1347.01887,1676.860345,1708.714717,666.0054444,899.9694906,739.1116432,1249.555053,711.4556522,982.1587037,811.60934,2263.89942,882.9368736
AT3G21700,71.9465665,135.7194465,117.7005001,63.61895891,104.3297178,78.22466595,173.5651956,162.3384286,176.300627,125.4078669,250.3348693,121.8099241
AT3G21710,152.9457092,346.3477285,340.2235369,459.5881336,499.4111542,472.6266004,232.2773237,593.3293636,509.3612911,449.9658897,439.5746338,455.850374
AT3G21720,173790.6763,159173.9979,170217.7004,358122.7198,93237.13801,175049.6693,84482.10888,49275.88933,53191.46022,26783.10247,22234.25135,30353.26836
AT3G21740,67.02972732,65.72539777,47.84824986,49.53388042,62.9460426,50.47073668,46.00690317,38.19232279,57.34498763,63.84698435,60.9454083,59.73602356
AT3G21750,252.1731662,213.011216,286.3479704,157.426321,148.1227346,117.9755213,184.3047067,118.975081,91.85097464,162.9888959,120.8457828,185.7148179
AT3G21760,118.2126305,59.61444857,81.83696293,72.25379465,54.1950355,47.63828757,88.99264828,42.45486002,70.7516889,75.61005398,66.94899759,61.90712458
AT3G21770,192.197211,343.1223112,561.8883624,1076.292057,1344.141694,1267.634561,699.1664526,1393.262335,1005.634889,1611.114829,1482.467224,1686.86284
AT3G21810,111.4012213,93.1161421,92.27003051,100.3709612,95.94234488,116.7245376,129.9967322,136.724192,138.5763236,123.2907564,138.0282851,130.1256883
AT3G21865,513.1078011,477.2461531,448.3053642,406.9806684,433.4751923,412.7974592,514.8495225,490.4899406,498.6042579,455.3122856,525.4430398,495.2800314
AT3G22070,102.449021,176.9669424,223.4447687,119.0661384,221.3176574,173.3166997,161.0105726,129.0645686,127.1924914,172.9754453,115.0025734,120.5909503
AT3G22104,176.1141836,306.8567309,338.4348847,162.5040663,234.8069172,210.6007126,124.3905274,159.5702946,209.5043386,274.651444,145.2857241,195.1231844
AT3G22110,1153.552285,1118.199061,1009.961116,677.1870256,950.7388375,854.9047196,1488.4343,1052.963842,1114.316105,996.2315192,881.2905505,854.8394901
AT3G22120,39239.37438,56282.92932,70024.14275,32827.13034,31223.25545,33671.18514,12978.52682,9175.328767,10684.34824,20854.27119,13425.63619,14259.03109
AT3G22121,36619.87034,64175.66837,80077.1664,29055.32477,35491.12814,37875.69369,12448.98395,8842.587383,9843.834108,24085.25094,13851.24376,16025.39356
AT3G22150,401.3090502,492.9931302,422.981413,273.8759483,339.7573245,289.7141102,329.7287337,245.2592986,272.0901495,302.1299019,240.1999173,317.1745347
AT3G22160,93.59769003,116.4614825,128.726115,143.0900493,201.1731637,185.3766422,195.7732764,286.4885132,412.0942842,215.0364041,790.5467395,224.8446397
AT3G22170,800.3445868,661.1084566,661.3316417,858.5707321,723.9138578,806.7580709,791.6835898,794.8980832,638.0098182,730.3931602,835.1103967,688.2223659
AT3G22180,135.1929075,119.5287592,117.7847098,175.1550837,132.995841,132.1796913,136.9046207,133.3170076,164.7489901,154.5978399,147.3568388,142.2645892
AT3G22190,272.1061907,258.8862294,217.7746264,266.4749108,268.4835047,267.3788021,262.0277714,317.0730232,270.3052797,270.8369292,266.5327434,259.5871684
AT3G22200,1741.658846,1777.901106,1826.151361,1503.295799,2642.401507,2172.284759,4089.572563,4006.889895,4044.810545,2476.416257,4815.19524,3240.427773
AT3G22210,205.5198907,348.0702665,268.0114538,165.2584754,305.6994511,259.1549988,274.4689567,257.9173935,300.2788293,219.9092758,327.63329,254.2624936
AT3G22220,272.3988283,305.9741172,267.6353126,275.5138922,277.5626767,264.2951009,251.8210245,267.3528705,267.6901309,317.4834249,344.8362835,347.3780927
AT3G22230,2734.38186,1884.686488,1709.960115,1292.813249,1340.849564,1530.891418,1389.58701,1138.722563,1074.779657,1283.396271,1282.483479,1123.193181
AT3G22235,2.625479788,20.11585989,18.74812369,1.924086719,3.888997062,7.899156633,1.247987818,9.831361502,7.806691419,1.9692012,13.64588895,11.47608175
AT3G22250,2.198101578,3.458393227,5.675638539,22.7355186,6.8546863,5.10386317,0,2.829379482,1.911678215,5.040581508,14.34163896,7.602732202
AT3G22260,137.496982,152.0484057,149.8240269,151.214429,187.6845575,176.9094614,205.8261557,275.3798983,342.937268,174.0588158,485.1611124,221.5191775
AT3G22290,684.1892205,627.1131868,578.3860369,573.7087647,586.7751275,673.8488652,716.1844104,638.0879379,657.4294228,596.9488042,734.1070995,589.3260352
AT3G22300,357.3276928,314.4966721,248.2198739,198.4886137,249.571832,259.5994395,248.9882344,176.2153035,179.1735105,265.4189142,196.5357086,250.9235552
AT3G22320,500.2295911,638.1740649,520.3119727,484.2641488,548.4992914,566.1639229,497.4171457,484.4732593,512.3268939,522.4088075,491.4778131,522.5034646
