Sample.Name,Atha_Col.0_HypocotylCC_WT_FLT_Rep1,Atha_Col.0_HypocotylCC_WT_FLT_Rep2,Atha_Col.0_HypocotylCC_WT_FLT_Rep3,Atha_Col.0_HypocotylCC_WT_FLT_Rep4,Atha_Col.0_HypocotylCC_WT_FLT_Rep5,Atha_Col.0_HypocotylCC_WT_GC_Rep1,Atha_Col.0_HypocotylCC_WT_GC_Rep2,Atha_Col.0_HypocotylCC_WT_GC_Rep3,Atha_Col.0_HypocotylCC_WT_GC_Rep4,Atha_Col.0_HypocotylCC_WT_GC_Rep5,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep1,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep2,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep3,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep1,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep2,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep3
AT4G01350,1.914684256,1.893714599,1.910408802,2.07796561,1.747833487,2.041710639,2.064044133,1.927573413,2.105172405,1.900739362,2.041745358,1.813558712,1.671001861,1.789744527,1.915519488,1.906889907
AT4G01370,7.823521982,7.68175552,8.176429865,7.818438481,7.475547202,8.158078015,7.538238445,7.863607684,8.002288753,7.929729611,7.749538548,7.729246612,7.616590621,7.553267627,7.583389335,7.425710143
AT4G01395,4.336912899,4.131774552,4.434651412,4.037864724,3.713849872,4.182964679,3.91200014,3.937206263,4.329827233,4.068504397,4.659736436,3.56861133,4.196952748,3.79110104,4.51049088,4.108214358
AT4G01410,6.153320782,6.109975357,5.789416113,5.981818632,6.915607648,6.150126406,6.529872727,6.437950244,5.671623677,5.780837959,5.073954903,4.219600834,4.935722805,4.556507497,5.099646585,5.697274386
AT4G01430,1.889910517,2.072555518,2.00069441,2.018566101,2.095151701,2.16322884,1.932326385,1.707769824,2.33852341,2.008157739,1.763535494,2.35459969,1.919053898,1.970579728,1.911649334,1.917571758
AT4G01440,1.985256075,1.875751378,2.025837165,1.932262755,1.876614166,2.253686857,2.105172405,1.919383123,2.212154702,2.248364908,1.883119685,2.033047169,2.057779451,2.212532173,1.888771022,2.123270213
AT4G01450,1.970477605,1.839405783,2.023061032,1.973363878,2.312791631,1.965076945,2.074374754,1.945994735,1.988100474,2.165025685,1.801228592,1.907527323,1.933907419,2.002286041,1.884019597,2.13564795
AT4G01480,2.196198534,2.125444652,2.079088627,1.975779185,1.975779185,2.038242244,2.027166388,2.091028825,2.674605852,2.489801494,2.223510873,1.886790367,2.039309131,2.166962808,2.166516026,2.275244773
AT4G01510,2.12515159,1.864465517,2.158826406,2.158944423,2.109634562,2.217239327,2.072514386,1.972808014,2.078169232,2.17748819,1.862556859,1.62928778,1.908334017,2.015945615,1.74761527,2.001144775
AT4G01550,1.595806748,1.65397733,1.625975265,1.563232311,1.649258586,1.723395035,2.036044738,1.666129184,1.744076392,1.625493174,1.808645988,1.708552315,1.629328862,1.618002321,1.834463656,1.567484545
AT4G01560,7.352396866,7.295604813,7.864003002,7.466125551,7.275354558,7.351803538,7.028220284,7.324424933,7.385426858,7.212252666,6.986634694,6.74985952,7.151246195,7.576961921,7.187336511,7.040546337
AT4G01570,2.275712743,2.132408248,2.536738626,2.18541113,2.415149215,2.095023926,1.946731866,2.113894882,1.922530794,2.165025685,1.774128074,2.009201252,1.865644383,2.121720406,1.86246812,2.002519371
AT4G01575,1.960243402,1.773859004,1.878406254,2.105887115,2.250762824,2.03772125,1.971409423,2.081535309,2.043085481,2.019290224,2.340812857,2.657335115,2.07380287,2.387194296,2.067546795,2.098154676
AT4G01610,10.446782,10.20042979,10.60452603,10.54824048,10.86266852,10.47856426,9.990302972,10.71546285,10.79338525,10.658085,9.943712761,9.953531546,9.973662188,9.789241849,9.661321484,9.635930682
