"","Col0_GC_Alight_Rep1","Col0_GC_Alight_Rep2","Col0_GC_Alight_Rep3","Col0_GC_dark_Rep1","Col0_GC_dark_Rep2","Col0_GC_dark_Rep3","Ws_GC_Alight_Rep1","Ws_GC_Alight_Rep2","Ws_GC_Alight_Rep3","Ws_GC_dark_Rep1","Ws_GC_dark_Rep2","Ws_GC_dark_Rep3","Col0PhyD_GC_Alight_Rep1","Col0PhyD_GC_Alight_Rep2","Col0PhyD_GC_Alight_Rep3","Col0PhyD_GC_dark_Rep1","Col0PhyD_GC_dark_Rep2","Col0PhyD_GC_dark_Rep3","Col0_FLT_Alight_Rep1","Col0_FLT_Alight_Rep2","Col0_FLT_Alight_Rep3","Col0_FLT_dark_Rep1","Col0_FLT_dark_Rep2","Col0_FLT_dark_Rep3","Ws_FLT_Alight_Rep1","Ws_FLT_Alight_Rep2","Ws_FLT_Alight_Rep3","Ws_FLT_dark_Rep1","Ws_FLT_dark_Rep2","Ws_FLT_dark_Rep3","Col0PhyD_FLT_Alight_Rep1","Col0PhyD_FLT_Alight_Rep2","Col0PhyD_FLT_Alight_Rep3","Col0PhyD_FLT_dark_Rep1","Col0PhyD_FLT_dark_Rep2","Col0PhyD_FLT_dark_Rep3"
"AT5G66170",6.87275074817746,7.34183173486569,6.59143451753832,6.39545548287772,6.67847515612134,7.15471218515695,7.37515453852202,7.24284537118943,7.38791719394441,8.02187089870159,6.37478721658366,7.23504393200914,7.7368262804997,8.29575550938362,6.66760783323388,7.24183703652,6.90084523027001,5.82395743217912,8.36957737386806,7.35531676138141,9.0485933800113,7.2499997964304,7.32968408189753,8.49996998292294,8.64179805749851,9.1843263649606,8.89776877628401,7.72501328303905,6.83639255640329,6.99753482054187,8.36005239028177,9.74233013887744,9.75029359019778,6.9378344399351,9.85187042014413,10.2750899245111
"AT1G56300",8.0632225310174,7.45927730188583,6.79677108921071,5.94702512021701,6.48595654472398,6.82048124280068,6.19563936951391,6.67680801444008,6.2563304714133,5.05756831274545,5.32480312378737,5.83662688334536,6.40225299749247,8.35770961340745,6.83900218916414,6.74351185624933,6.54025446410058,5.82395743217912,8.6105037911479,8.266351887661,8.99446253601221,8.54339187146675,7.04909878230461,9.0355484916676,7.97166747614151,7.81474094755637,7.52314394979142,5.05466036380611,6.20765484720946,5.26242343788022,8.84845403215788,9.21975100323764,9.039439060642,6.72708450635276,7.30835497918056,8.68453497535324
"AT1G51420",7.65884634209193,7.76325657587005,7.62007155255747,7.14848158809637,6.00093433601574,8.21760101859352,6.01147262778901,7.80240027945968,7.73146232177908,4.55674513063179,6.19444555037952,6.83582988800842,6.83366374688264,8.55572602560236,7.45651695299204,8.20834238574519,7.8276033542523,7.80955810753061,8.79816329271101,8.45436481796722,8.78401874658057,9.17850672506698,7.55699198490296,8.50389509322362,8.37530124280873,7.25199666499305,8.19522302697558,6.45629542509271,7.4938269644759,7.40123757900676,9.01630448499922,9.23393987034308,8.94795527033503,8.97134478873854,7.831810509731,9.12177596306296
"AT5G01210",6.15645149334554,5.70472616869227,6.22494118930394,5.18065441207926,4.83830419913394,7.55205824841616,5.80030770163607,6.6057730495381,6.62877820611348,4.29485007985443,6.32301155748094,6.35320525462105,6.95289316296978,7.01216349162349,7.86941605745875,6.66188328011486,6.61418931457607,6.96458111257073,6.95683265754596,8.35056085267275,8.8915942493983,7.749447974643,6.08162475544811,8.13014461555104,7.55118932492147,8.75606616896954,7.18584078075324,6.71905073817201,7.75940400723477,7.23243530944944,9.47964551951558,9.31848278039781,7.6363626316251,7.43938158643179,7.01992729181805,7.20639161381575
"AT3G21510",6.03289138778539,7.85796794224955,8.40646219981567,4.2224649841461,5.62284744005034,6.80788918033985,5.6955258294936,7.58325378366584,6.90109297669594,6.19672076889554,4.7762676487592,7.07575876974632,6.53047657122566,8.21197914217361,7.88153682131082,5.93024229788297,7.27365533697039,6.62310177508203,7.45626457664599,7.72434414043313,8.1734654453076,7.40646829026409,5.90405675337918,8.84137465079491,8.52429071564162,9.35863213738046,8.99828206519354,8.66703228990743,8.13782108198921,7.64021694746021,7.94369285452221,8.07769458059119,9.12799447309194,7.97157265801505,7.09500708463222,7.5623999586862
"AT5G66780",5.63989632082972,3.44350680134479,2.98791398048471,3.30261768275283,2.57738592933968,4.3012309429508,4.49465143228564,3.78983701144163,4.61814578138029,3.43793378745513,3.43641594580392,3.30820281945934,3.306864940277,4.62545393517696,2.99020286314461,4.73309123487921,3.30345791020203,2,5.60289228137979,5.39191899583306,4.29281253855925,4.66177596074937,4.14775175227843,6.5045477430615,5.72297116063866,3.31860893367216,5.30009992179548,2.79151542039395,2.57754580501597,4.56363725433724,4.88239081875413,5.49986484835922,4.72974374459896,3.97839205393161,6.21564181406787,9.81152637665992
"AT3G22121",7.3230925112347,4.83636546984739,6.80947454435183,6.58371455374224,6.62192703950507,5.83386531162626,7.60226655769824,6.84662711727842,7.51689714794486,5.89905903363532,6.25095370106116,6.88471291439391,5.18700492975865,7.13855522026679,7.64606467052396,4.88471233429891,5.77866900509224,6.11525653982695,7.57105200752716,8.38879632443366,6.975885422668,7.93221225542774,7.18166149177033,8.86902772382837,8.74060547998213,9.19417389247526,8.59068557366502,6.65073150911371,7.78539189973598,6.27946100388888,7.87906076876013,8.86906358698024,8.2282165328368,6.43187399207123,6.79393165752943,4.68096292656912
"AT5G07010",8.05265712730808,7.04174066857326,6.82206711659899,5.80285338720999,5.53369755764151,5.99805812381415,6.90859707636069,6.41949800877014,7.1698553054561,5.66915037378368,5.25283696269051,5.40546642554922,7.08406757611494,8.23102104668649,7.31174735668063,5.43615890548441,5.80416499679679,5.69413745806984,8.62120036010954,8.13254340337473,9.15605826695128,8.56937844814162,6.4484581987148,7.93463473362831,7.01095138530661,6.43766231422766,7.28922461922083,5.94243967152554,5.62329278035005,5.3691495456843,8.27583637061917,8.96007429576191,8.23761269637137,6.46426602765758,6.78099710161661,8.25802308605937
"AT5G41280",6.07526484886006,6.54581722341209,6.14701018917236,6.61283423477772,5.53369755764151,7.03015058942385,6.09623875521143,7.82133614574809,7.99772082493884,6.19672076889554,6.85971982082886,7.1871298772881,5.73157549045778,7.4863460960063,6.95824696632387,7.04123984793036,7.91210621258913,6.84732218277725,8.37801111527329,7.69073005615204,7.95277930655676,8.58037384136272,6.74067132058174,8.47619238342192,9.12813463739474,8.42915616596701,9.221439972617,8.1181143443149,8.03866810469349,7.26043669146168,8.22945528709426,7.50597363558451,7.99880197957216,8.09565640247711,5.3449934305955,2.98852279382104
"AT5G13330",6.68027584243626,6.08488750283394,6.20584952952824,5.05897495915512,5.59373864929028,7.9688454424427,5.09826312816022,7.02056023884942,7.69784501042686,3.43793378745513,5.3933493103621,5.76009252005865,7.12526949843067,7.79863587539159,6.63933400379539,5.186624449243,6.36288841689276,6.91881473490288,7.76358165084596,7.79564877288881,8.38179745110668,8.24019254944917,5.78084305496138,8.85373038854718,8.28786406772896,7.85874518056487,8.21922306905654,5.7204456623461,7.58542713172648,7.40123757900676,8.38565702970894,8.48210822088431,9.0313579639832,8.21942821662791,8.45791001314507,8.31709033245341
