"","1: upregulation, -1: downregulation","Symbol","Microgravity-Terrestrial","Col0_GC_Alight_Rep1","Col0_GC_Alight_Rep2","Col0_GC_Alight_Rep3","Col0_GC_dark_Rep1","Col0_GC_dark_Rep2","Col0_GC_dark_Rep3","Ws_GC_Alight_Rep1","Ws_GC_Alight_Rep2","Ws_GC_Alight_Rep3","Ws_GC_dark_Rep1","Ws_GC_dark_Rep2","Ws_GC_dark_Rep3","Col0PhyD_GC_Alight_Rep1","Col0PhyD_GC_Alight_Rep2","Col0PhyD_GC_Alight_Rep3","Col0PhyD_GC_dark_Rep1","Col0PhyD_GC_dark_Rep2","Col0PhyD_GC_dark_Rep3","Col0_FLT_Alight_Rep1","Col0_FLT_Alight_Rep2","Col0_FLT_Alight_Rep3","Col0_FLT_dark_Rep1","Col0_FLT_dark_Rep2","Col0_FLT_dark_Rep3","Ws_FLT_Alight_Rep1","Ws_FLT_Alight_Rep2","Ws_FLT_Alight_Rep3","Ws_FLT_dark_Rep1","Ws_FLT_dark_Rep2","Ws_FLT_dark_Rep3","Col0PhyD_FLT_Alight_Rep1","Col0PhyD_FLT_Alight_Rep2","Col0PhyD_FLT_Alight_Rep3","Col0PhyD_FLT_dark_Rep1","Col0PhyD_FLT_dark_Rep2","Col0PhyD_FLT_dark_Rep3"
"11","AT1G73370",NA,-1,5.05633307814916,4.67922619715954,4.30254156349458,5.72497812949813,4.93431499312854,6.68932328548236,5.7748170199276,5.10752896568434,6.21889753870038,5.13980670443037,5.89681391030629,6.77230066939311,5.85917169749677,5.50354835672915,5.70975244762433,5.06488000540517,5.18191145880498,5.09693433831083,5.28186718681187,5.28784967933525,3.14976836855014,5.41785021426333,3.68071982347946,4.15448304109844,4.77783393927111,4.75017283416345,3.68367820863587,3.14935872121469,4.30406354968586,6.97517943203739,5.10424008321029,2.57635622072656,5.29534999908138,3.68050546035124,2.80140444036365,3.98274976850685
"12","AT1G78580",NA,-1,6.62429571927986,6.9182335507628,6.4845961171205,6.76326442477503,6.04461344518269,5.80880593313307,6.9202695782427,6.54631419098484,6.4464654764255,6.15777673504171,7.1643389985875,7.2995577368405,5.59158966761941,4.44151032593552,6.72254556838289,6.9524795463583,6.57028459276567,7.24050401666378,6.22455513331539,5.82271298261526,3.88022390460466,4.86727654943824,5.95053934626326,3.89233549964142,4.14316296119249,5.97209587429995,2.79700173292972,6.33962296719862,5.50315514046359,6.53006036137849,5.43372180366929,4.88440658014374,4.61906528147899,4.97475905456436,5.3449934305955,5.95570773598114
"13","AT2G26400",NA,1,5.5822950990045,3.78946799160195,5.02308414089189,6.9345009902657,6.56307171219993,9.0214034786035,6.03313563306244,5.9542683269985,7.80908495658867,6.2532339647759,7.36541583534709,8.81960337268451,7.48315974696688,7.00111349194149,5.59666366716381,6.84562743000806,7.73121082091656,7.31306087741953,8.8506166244058,9.21736497642464,8.78082413234124,9.51668242506319,8.71316508202177,9.50574499494224,10.3319276029887,9.71900389364133,10.1681024636759,9.68745913794878,9.28611576836342,9.10383931598082,10.4576028670655,9.92687262538693,9.02051226993613,8.9020933338287,10.4699320265832,12.1434507144391
"14","AT2G44080",NA,1,5.45969734338245,5.50065809731122,5.86002757881536,5.18065441207926,7.0863417597393,6.85761112896041,5.01361941620149,7.18553829418129,5.92553415273805,5.32696968669285,4.72399419500562,6.40439171922058,6.60518975968088,7.37090934388963,5.33982075508198,5.80908211634123,6.72512811163939,6.47284597673069,7.02285855391806,6.84602967805981,7.313147487207,6.71080399251357,6.34785786475199,8.17514568995767,7.48982039100258,8.2706597900402,7.64863121175339,5.79830140372147,6.83639255640329,6.7032674900041,7.43994523342103,7.7624024554569,7.16108092007236,7.51863525503989,7.5409636563847,8.47705611531997
"15","AT2G46830",NA,-1,7.06374440542801,7.21397115379522,7.12616237404041,5.52503952076473,5.02433304735358,7.35841239133265,7.77934070716807,7.10540622179481,7.64942461187711,4.49559234840299,4.66975526843593,5.83662688334536,4.88508188844317,7.36229936353098,8.04672336073572,5.67680601463646,4.83136857718848,4.61319499208535,3.29534480324376,2.79122745930683,4.29281253855925,2.56985478010725,4.22541821733431,2,5.13929896264376,3.99584985393733,3.30741273686443,4.61264538921537,5.67980704063832,5.02189656212488,4.14795725636031,4.50213856019686,2.57517576059662,5.49721349681564,4.15910776682864,5.40537775803302
"16","AT3G07070",NA,1,2.79231862684161,4.83636546984739,4.30254156349458,2,2,2.31678157699654,2,4.06870029758315,2.79429462254448,2,2,2.31736749629105,2.31692449792987,4.44151032593552,2.57843847404845,4.7854222399463,2.98462464740555,2,4.05349566578838,5.01112823134853,3.56074052532139,5.41785021426333,2.98578494642315,4.30604249782881,4.2943940824062,5.31694648505841,4.43960152860403,5.176292159979,5.37209700625398,5.06487329776829,2.9859163328273,4.1497632321542,3.44068986135669,4.97475905456436,3.57569555993947,3.1571668956597
"17","AT3G10710",NA,1,2,4.50285515045054,3.44403176363516,2,2,2.57637474299612,2,2.79686972153975,2,2.31520608834356,2.7918950175761,3.44487029667066,2.31692449792987,4.30440748131853,2.31801722023288,4.9776068225949,3.88428361371896,2.57287322942405,2.78841697022203,6.2494559343712,5.42629984016704,5.35093689219798,2.31625886987925,3.89233549964142,3.67664295815346,4.38783738812366,3.30741273686443,5.01172568915708,4.50511113057181,5.62029491335688,3.88618720189966,4.1497632321542,4.56037003222147,5.43319826535115,4.23694699305412,2.31734816326183
"18","AT3G19200",NA,1,8.24125423632462,7.04174066857326,6.2807455404666,8.30346605242737,8.15239429165439,8.31425466613259,7.48140413387598,8.45142693684258,8.31844831927283,4.8775329699564,8.15399427976597,8.31718701228486,8.05199871271037,8.08691052085138,7.64606467052396,8.33663725393526,8.51631231255553,7.98636156584098,9.16029650569639,9.22677737129901,9.38368875066587,9.09663028696897,8.38961841192176,9.43966089792054,9.01288749073753,8.02245481747429,8.69363494906929,7.80262942313773,8.66785079607947,9.08569430688739,9.12924099511906,9.353561365144,8.80990293799903,8.95434106565095,9.03057727303671,8.01622582630141
"19","AT3G21510",NA,1,6.03289138778539,7.85796794224955,8.40646219981567,4.2224649841461,5.62284744005034,6.80788918033985,5.6955258294936,7.58325378366584,6.90109297669594,6.19672076889554,4.7762676487592,7.07575876974632,6.53047657122566,8.21197914217361,7.88153682131082,5.93024229788297,7.27365533697039,6.62310177508203,7.45626457664599,7.72434414043313,8.1734654453076,7.40646829026409,5.90405675337918,8.84137465079491,8.52429071564162,9.35863213738046,8.99828206519354,8.66703228990743,8.13782108198921,7.64021694746021,7.94369285452221,8.07769458059119,9.12799447309194,7.97157265801505,7.09500708463222,7.5623999586862
"20","AT3G23150",NA,1,5.25373444018659,4.37202872440212,3.88912959578442,4.9717518563816,4.30367702889024,6.02006007260528,2.7924285620237,4.22855317757705,5.29436357634847,3.97462933221034,4.92260209920855,4.22984067118715,6.105541201782,6.18871334699969,4.37642188095074,4.56364358377926,5.82921822464121,6.01006140607202,6.81495987321916,6.96328497511126,6.975885422668,6.33147440982148,6.75383708954881,5.98136636310761,5.94499471199339,6.69511685630053,6.18650193137384,6.13478586812978,5.4059944896227,6.33318440415683,6.72763966676817,6.70293475015194,7.1108367132876,6.44816091801732,5.54185618926178,4.37368924981005
"21","AT3G24500",NA,1,6.39259579986249,5.80956177728797,6.54661181210614,5.10068552684749,5.62284744005034,5.5909249848129,4.92369837964101,5.99930782750484,4.22377661488974,4.43173224875746,4.059760524213,5.83662688334536,5.53155682919183,6.08787093581939,6.17124759525421,5.88299210842642,4.9273066076372,4.82650539789321,5.63139058611326,6.65007662694428,6.44090607042917,6.00140581476343,5.49749746048437,6.73574439407951,5.64066086067767,7.58703580736774,6.18650193137384,5.63814752224461,6.22674786589096,6.94098309874322,6.54275253817053,6.97484441026997,6.77885952250293,6.83010353418883,6.64484261579083,6.10756347087953
"22","AT3G56400",NA,1,7.18479679537573,6.2980894744395,7.00989612953629,6.59834786278641,6.31813680175893,8.18388856337341,6.03313563306244,7.66938095167154,6.72537474681728,4.67178389486643,5.74769904058462,6.90854702259024,7.14543744214914,9.3981550173267,7.71542006544599,7.14502210112122,7.11971079906525,6.78491360910724,7.75064987507228,8.20576598012642,9.86453422058991,9.21424069843001,7.7663641423281,10.1920713428653,7.9716674761415,8.25663092950082,8.53057520870125,7.22114055007414,7.2728294338375,8.32783470430697,9.25496570071597,9.28480346371291,9.43821260782647,9.45307951809127,7.88113004502019,9.83658836022506
"23","AT4G03440",NA,1,4.55557990386512,5.02235616585067,4.93307735945582,4.9717518563816,4.68112862828241,3.68254607679838,4.06072050593375,5.02281146664164,4.29745243743941,4.55674513063179,3.43641594580392,4.78770717626444,4.679151020872,4.23063882115225,5.26776987464861,4.22773853347907,5.25768745640924,4.36278011682679,5.86532437284832,5.60901125745916,5.7989936525937,6.02305886774518,5.55879363086738,5.30404444267354,6.03367182347439,5.38730940942535,6.26238298822963,5.77281348951534,6.02339405554604,5.67679899230232,5.99581968444213,5.29857227249152,6.05965696191799,6.25801443886864,4.63217006238935,3.8900259520015
"24","AT4G24670",NA,-1,4.67060037440167,4.37202872440212,4.78657361864807,5.77735919949143,5.3013793253327,5.40277731596082,4.61445375661778,4.88560784135387,5.64419373057063,5.64118768151543,5.94328002435685,5.56394034042702,4.50278178281919,4.98082586728868,5.3745402506094,5.90681063286135,5.39825247127362,4.49341394799521,4.54790751823648,4.72265273609473,3.43631950959478,3.77478526322496,4.73058463249532,2,3.88167126170071,2.58311946509969,2.79700173292972,5.25203248061222,5.88602700048972,5.1471668012704,3.44148296961971,3.44295664526586,4.49918515203392,4.14751051243491,3.16220669036316,2
"25","AT4G26790",NA,-1,3.97358273839206,4.88515891489546,3.56882520298744,4.83015436394363,4.98002599949735,3.98060515552747,4.61445375661778,3.443835122281,3.97706629662188,4.67178389486643,4.14174448559677,3.98282290551948,4.43885172384414,4.50546642032115,4.07245192406703,3.88814664480989,4.55924511791428,5.66671038100042,3.66972286177469,2.57243453094037,3.30014669941153,2.56985478010725,4.29911628958721,2.31797306399672,2.79266993806511,2.99723456288942,3.79005809874502,3.97216569344083,3.68499293944291,4.56363725433724,3.30501112053648,4.06764226369726,3.97788572867755,2.98563072143004,2,4.37368924981005
