Analysis.Id,50kPa_notsuppO2_Rep1,50kPa_notsuppO2_Rep2,50kPa_notsuppO2_Rep3,50kPa_suppO2_Rep1,50kPa_suppO2_Rep2,50kPa_suppO2_Rep3,97kPa_CTRL_Rep1,97kPa_CTRL_Rep2,97kPa_CTRL_Rep3
AT5G44750,3.06681374,3.373814427,3.378403382,3.393325231,3.316946057,3.29008813,3.378403382,3.421444144,3.60003543
AT5G44770,3.611621127,3.373240561,3.209420986,4.187813983,3.715158253,4.606779047,3.812874354,3.742209651,3.657947993
AT5G44780,3.489103082,3.739623768,3.689020194,4.264156092,3.802660078,3.882320062,3.702890778,3.692069144,3.745891409
AT5G44785,5.341399178,5.641141542,5.290177672,5.358796562,5.459362933,5.135936631,5.341399178,5.341399178,5.102435466
AT5G44790,6.373994485,6.237097594,6.56777613,6.046808633,6.340001654,6.605324963,6.540733048,6.535843763,6.483255458
AT5G44800,3.466020498,3.760037293,3.980513331,3.368603287,3.654017431,3.582463803,4.065705665,3.765482821,3.585879254
AT5G44820,2.411022597,2.207986074,2.115842248,2.22487963,2.442953713,2.642147735,2.31668017,2.300145593,2.261768114
AT5G44860,3.629282665,3.81719727,3.81719727,3.892378167,3.81719727,3.93481357,3.81719727,3.704734473,3.941584526
AT5G44900,3.681487554,3.375147113,3.369477741,3.412272305,3.45486966,3.45486966,3.45486966,3.45486966,3.485309601
AT5G44910,2.63118896,2.562000514,2.65292599,2.787659414,2.914457522,2.740853539,2.65292599,2.547320184,2.65292599
AT5G44920,4.449075774,4.327618346,4.896429492,4.494720839,5.013719454,4.61625579,4.994341422,4.891599901,4.946243827
AT5G44930,2.137793768,1.976215937,2.168833462,1.817636802,1.988938999,2.196559597,1.922420237,1.942321196,2.082331328
AT5G45000,2.213046417,2.192275249,2.425223851,2.22487963,2.216707464,2.026939289,2.032316681,2.216707464,2.285500511
AT5G45010,8.059406079,7.87345752,7.884474294,8.157189306,8.086387068,7.944867433,7.944867433,7.883670919,7.666171334
AT5G45020,3.383371894,3.400669706,3.539694031,3.489875739,3.529584374,3.419188719,3.52282984,3.489875739,3.489875739
AT5G45040,4.935246461,5.191305245,5.008599128,5.038849574,5.207098137,4.785433828,4.51756406,4.721509329,4.935246461
AT5G45050,4.326781231,4.440545106,4.52333107,4.440545106,4.434286838,4.480818968,4.671038693,4.59786729,4.395182378
AT5G45060,3.9386958,4.046664899,4.189085261,3.947290495,4.100525723,4.046664899,4.036817735,4.119987142,4.046664899
AT5G45110,5.076494107,4.931144543,4.946243827,4.946243827,5.017928241,4.853452078,5.014467956,4.953510463,4.946243827
AT5G45130,7.774949326,7.607040253,7.690008695,7.512684311,7.705668408,7.719457016,7.714040867,7.700912689,7.783887483
AT5G45140,4.751956351,5.019118013,4.940553432,4.976689108,4.849533537,5.033441389,5.038435891,4.912860151,4.82393666
AT5G45160,4.841819713,5.003970518,4.7127375,4.841819713,4.716534535,4.851610005,4.840033047,4.79598711,4.841819713
AT5G45170,6.909311508,7.029457566,7.199400357,6.57371292,6.945678717,6.769580234,7.007405685,6.967518144,7.05868164
AT5G45190,5.165658757,5.2641846,5.497447799,5.233521249,5.268553922,5.192257113,5.328493938,5.374831544,5.081804497
AT5G45200,2.749893768,2.581431806,2.791660252,3.105542289,2.749893768,2.824116067,2.828417963,2.749893768,2.604801325
AT5G45210,4.322299091,3.993592774,3.996024096,4.926745629,4.30016968,4.785433828,4.057186779,4.193754852,3.921207882
AT5G45250,4.26803285,4.353145273,4.399525696,4.353145273,4.017899875,4.483133429,4.31808081,4.486162796,4.364887177
AT5G45260,4.128694709,4.340085735,4.509850051,4.426106301,4.207903979,4.303388673,4.651272347,4.337040195,4.756989215
AT5G45280,6.82536165,6.74467931,6.45945935,6.988688403,6.514328123,6.926094754,6.648519473,6.695248179,6.694421876
AT5G45300,4.212981237,4.440545106,4.399920369,4.49454333,4.323179411,4.440545106,4.618243959,4.495743561,4.440545106
AT5G45320,2.467678061,2.899745465,2.918857663,2.59771404,2.835487762,2.547544107,2.588414728,2.556413457,2.59771404
AT5G45340,4.05835203,3.420304758,4.187031043,3.407890157,3.407890157,3.407890157,3.148076724,3.106776141,3.407890157
AT5G45350,6.492145116,6.794554467,6.53178142,6.081615216,6.348558629,6.106308609,7.091374017,6.920498623,7.044098728
AT5G45360,4.985542075,5.014517487,5.099459633,4.707434951,4.87303279,4.926385372,4.93449654,4.868145812,4.93449654
AT5G45370,4.545976068,4.532963066,4.514095924,4.316357995,4.470124375,4.767681952,4.704740542,4.563819667,4.545976068
AT5G45390,6.308709188,6.328111075,6.062768883,5.97286466,6.448375276,6.062768883,5.804816013,6.012958222,6.141996204
AT5G45400,3.430470933,3.443048518,3.44156689,3.6893618,3.832431038,3.304674054,3.395539248,3.538635436,3.532109343
