Sample.Name,Atha_Col-0_Root_Zone-I_Rep1_Array,Atha_Col-0_Root_Zone-I_Rep2_Array,Atha_Col-0_Root_Zone-I_Rep3_Array,Atha_Col-0_Root_Zone-II_Rep1_Array,Atha_Col-0_Root_Zone-II_Rep2_Array,Atha_Col-0_Root_Zone-II_Rep3_Array
AT1G64300,1.605609032,1.778391672,1.860374619,1.611327919,2.485094784,2.099525416
AT1G64320,2.587442634,2.163282144,2.94039826,1.962976742,2.265005211,2.339774
AT1G64330,6.761725014,6.267500026,6.111325102,6.776250363,7.386550038,7.368177302
AT1G64350,5.054765098,5.44813322,5.173906148,3.744052923,3.691238377,3.762719584
AT1G64355,3.520462799,2.823976791,2.43258024,3.410511118,3.972183796,2.825976576
AT1G64370,2.44471923,2.788264854,2.558009311,3.176205647,2.987116981,2.724985123
AT1G64380,2.740533635,2.144331091,2.033515157,4.95759839,3.631106146,3.285756591
AT1G64390,6.101469661,6.119897737,5.953336716,3.974696683,5.10833339,5.614537575
AT1G64400,2.380759821,2.722522527,2.306578232,4.662255173,3.318992658,3.647017319
AT1G64405,1.360974248,1.672880566,1.545752388,3.549249769,1.545752388,1.737366248
AT1G64430,3.198419973,3.394247053,3.411375155,3.856351272,4.214512264,3.806661868
AT1G64440,6.958953233,6.966979041,6.144563282,6.910431432,8.33444097,8.493428932
AT1G64450,3.79068071,4.131012795,3.956055546,2.633882764,2.7429126,3.241308793
AT1G64460,5.411087088,5.881965163,5.471611293,6.389775743,5.998531979,6.228498075
AT1G64480,2.001871421,2.217337604,2.163075256,3.948374201,2.932097366,2.561581756
AT1G64490,7.052541822,7.599122594,7.207041162,4.943179779,4.308942521,4.652280641
AT1G64500,3.636105255,4.092524024,4.238063089,5.560137067,4.544335939,4.606848129
AT1G64510,4.222587716,3.767207639,3.636395501,3.58554232,3.619362735,3.214887759
AT1G64520,9.023906048,8.043136948,8.765369891,8.709600563,8.560822332,8.68578741
AT1G64530,5.368404496,4.987581588,5.509563841,6.831789467,6.746764198,6.988615513
AT1G64550,7.120459817,7.319509048,7.004461958,5.676039092,6.000294602,6.04540809
AT1G64570,4.574011318,4.384598057,4.848612532,5.021118658,4.762690667,4.692814533
AT1G64580,4.184899934,3.881692008,3.710177419,3.204503053,3.084412705,2.674499186
AT1G64590,2.319838096,2.777562762,2.270633022,4.573003796,3.269009226,3.382323094
AT1G64600,7.607364035,7.656877413,7.674326714,4.172281036,4.968824727,5.492712028
AT1G64610,2.497384521,3.041522003,2.685594614,5.144851461,4.60250419,3.961177057
AT1G64620,2.501522158,2.590025756,2.213784119,3.375731444,3.108155461,3.090002285
AT1G64630,5.292643458,5.159117688,5.121923472,5.030325081,4.975637142,4.018745219
AT1G64640,8.423754778,8.674836186,8.514224631,6.767601566,8.399025891,8.935136573
AT1G64650,8.572761555,8.476629332,8.832600411,6.497345743,7.576309332,8.132627731
AT1G64660,4.536672814,3.769643863,4.695980867,3.930207861,3.00130408,2.939728156
AT1G64670,2.313367741,2.530241597,2.571286127,2.616666792,2.53046395,2.185928388
AT1G64690,6.340255637,5.655887329,5.167656143,7.081059691,7.385642963,7.660278122
AT1G64700,4.007772127,3.89588707,4.062568684,5.579159682,5.0172694,5.449730724
AT1G64720,6.086679114,5.163906166,5.328837435,7.184674392,6.461011426,6.135691583
AT1G64740,2.347179124,2.790260729,2.569725291,3.529025142,4.272016281,3.471164344
AT1G64750,9.623915845,9.215682132,9.178758235,8.107849126,8.031455854,8.389891654
AT1G64780,2.680228575,2.947907514,3.179616269,3.929128033,3.398368515,3.345022169
AT1G64790,5.977907816,6.115863083,6.322273734,3.995538421,4.621136547,4.119247465
AT1G64810,3.361505516,3.908144563,3.66679266,2.32070107,2.383222792,2.128676522
AT1G64850,5.862031498,5.485957829,5.705585414,5.587857117,5.272486981,5.934947547
AT1G64860,3.117567981,2.930283977,3.531945754,3.582439252,3.185820611,3.214488766
AT1G64880,9.137542037,9.583796854,9.242793642,7.238370369,7.286398974,7.022278605
AT1G64890,3.993700783,4.009557755,3.772217021,4.801718889,4.242201865,4.260762555
AT1G64900,4.805468024,4.808471124,3.656967106,1.762715388,2.262992921,2.273808239
AT1G64910,6.299738605,6.142932912,6.486091276,2.345246492,4.326243176,5.187099523
AT1G64920,6.19074133,5.868219288,6.302527622,3.289770221,4.590449029,5.288497313
AT1G64930,2.706801148,2.064072283,2.308162627,4.790832713,3.874182334,3.807620951
AT1G64940,2.095982733,2.248811834,2.316892064,1.800202387,2.008815825,1.833850875
AT1G64950,10.18367528,9.848431148,9.978471994,9.427748469,8.315597219,8.539576895
AT1G64960,4.658764926,5.225348572,4.292457983,3.910149932,3.532049482,3.454020416
AT1G64970,3.367459963,3.704926607,2.887540284,1.833850875,1.919973524,2.202190692
AT1G64980,7.127527384,6.700291901,6.855654277,4.868550247,6.219896528,6.520690301
AT1G65000,5.513531631,5.160232982,5.205397831,5.072981922,5.137334699,5.20931403
AT1G65010,7.928206509,7.769146148,7.732221209,7.089054336,7.689659943,8.120076213
AT1G65020,5.056475074,5.053239894,5.05150602,4.292257788,4.60639681,4.487687673
AT1G65040,5.003773659,4.910672727,4.785554957,4.370379375,4.401782867,4.506532658
AT1G65060,7.861891714,7.058180849,7.315321735,7.290556726,7.014296513,7.375910568
AT1G65070,5.192478145,5.608261878,5.80066152,5.210787222,5.991770909,4.731785149
AT1G65080,2.221593528,1.868599538,2.22989891,1.91954272,1.975413042,1.817041707
AT1G65110,1.896140464,1.833975151,1.804261976,1.724660749,1.405620756,1.533812091
AT1G65120,1.730291659,1.877655973,2.131274446,1.505714431,1.683787015,1.741924085
AT1G65130,2.657153852,2.53709709,2.7429126,1.98585892,2.205664163,1.947130671
AT1G65180,3.275114696,2.718438847,3.076870185,3.980438639,4.84100407,5.142811127
AT1G65220,9.268352742,8.40908496,8.80185751,7.771344363,6.848573537,6.907750058
AT1G65230,2.270258956,2.104461606,2.30511326,1.991962766,2.114207009,2.04323581
AT1G65260,5.506267916,5.311719599,5.746601261,4.930771857,5.196255688,4.675896366
AT1G65270,7.859899117,7.617704055,7.437171508,6.558799739,6.764973048,7.202976672
AT1G65280,7.101292719,7.172684621,6.866888366,6.583627371,6.010171575,5.861086631
AT1G65290,10.54932266,9.971179599,10.22279088,9.245463593,9.097548171,9.706889979
AT1G65295,6.004532751,6.026115052,5.836976745,5.521042181,5.710752691,6.015898748
AT1G65310,5.274779062,4.477830585,3.557441741,7.35884569,7.850164346,8.281764357
AT1G65370,6.103163997,4.463427428,3.794808599,4.26292645,3.594469045,3.562796637
AT1G65380,2.932189423,3.088325979,3.048220241,3.131239246,2.567558658,3.038343764
AT1G65410,6.079575518,5.778292928,5.672420302,5.080701274,4.828373393,4.157464886
AT1G65420,3.232243966,3.017019861,3.106698278,2.436036222,2.216210189,2.307592564
AT1G65430,7.012206712,6.891588367,7.047975575,7.534114211,7.241743976,7.244954126
AT1G65440,8.143326961,8.340865704,8.004962542,7.943575598,7.749037839,7.590426635
AT1G65470,5.066945959,4.909249016,4.544335939,3.281661995,3.5039856,3.616867361
AT1G65490,1.446546463,1.491660361,1.310474786,1.699127609,1.509425729,1.48864373
