"","1: upregulation, -1: downregulation","Symbol","ZoneII-ZoneI","ZoneI_Rep1","ZoneI_Rep2","ZoneI_Rep3","ZoneII_Rep1","ZoneII_Rep2","ZoneII_Rep3"
"23","AT1G10380",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.4594316186373,3.4594316186373,3.4594316186373
"24","AT1G11190",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.32192809488736,3.16992500144231,2.8073549220576
"25","AT1G11420",NA,-1,3.16992500144231,3.16992500144231,3.16992500144231,2.58496250072116,2.58496250072116,2.58496250072116
"26","AT1G12040",NA,1,2.8073549220576,2.8073549220576,2.8073549220576,3.8073549220576,3.8073549220576,3.8073549220576
"27","AT1G12150",NA,1,2.8073549220576,2.8073549220576,2.8073549220576,3.58496250072116,3.58496250072116,3.58496250072116
"28","AT1G12550",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3,3.16992500144231
"29","AT1G12560",NA,1,2.58496250072116,2.8073549220576,2.58496250072116,3.58496250072116,3.4594316186373,3.4594316186373
"30","AT1G13100",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3
"31","AT1G13420",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.32192809488736,3.16992500144231,3.32192809488736
"32","AT1G13830",NA,1,2.58496250072116,2.8073549220576,2.8073549220576,3.4594316186373,3.4594316186373,3.4594316186373
"33","AT1G14540",NA,1,2.58496250072116,2.58496250072116,2.8073549220576,3.32192809488736,3.16992500144231,3.32192809488736
"34","AT1G14730",NA,1,2.8073549220576,2.58496250072116,2.8073549220576,3.32192809488736,3.32192809488736,3.32192809488736
"35","AT1G14780",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3.16992500144231
"36","AT1G15570",NA,-1,3.4594316186373,3.32192809488736,3.4594316186373,2.58496250072116,2.58496250072116,2.8073549220576
"37","AT1G16310",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3.16992500144231
"38","AT1G17090",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3.16992500144231
"39","AT1G18140",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.58496250072116,3.58496250072116,3.4594316186373
"40","AT1G18250",NA,-1,3.4594316186373,3.4594316186373,3.58496250072116,2.58496250072116,2.58496250072116,2.58496250072116
"41","AT1G18290",NA,1,2.8073549220576,2.8073549220576,2.58496250072116,3.16992500144231,3.32192809488736,3.32192809488736
"42","AT1G18410",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3,3.16992500144231,3.16992500144231
"43","AT1G18860",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3,3,3.32192809488736
"44","AT1G19230",NA,1,3,2.58496250072116,2.8073549220576,3.58496250072116,3.4594316186373,3.4594316186373
"45","AT1G19570",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.4594316186373,3.4594316186373,3.32192809488736
"46","AT1G19700",NA,1,2.8073549220576,2.8073549220576,2.8073549220576,3.58496250072116,3.58496250072116,3.58496250072116
"47","AT1G20160",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.4594316186373,3.4594316186373,3
"48","AT1G21360",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.32192809488736,3.16992500144231,3.16992500144231
"49","AT1G22500",NA,1,2.8073549220576,2.58496250072116,2.8073549220576,3.32192809488736,3.32192809488736,3.32192809488736
"50","AT1G22885",NA,1,2.8073549220576,2.8073549220576,2.8073549220576,3.58496250072116,3.4594316186373,3.4594316186373
"51","AT1G23205",NA,1,2.58496250072116,2.8073549220576,2.58496250072116,3.32192809488736,3.32192809488736,3.16992500144231
"52","AT1G23760",NA,1,2.8073549220576,2.8073549220576,2.8073549220576,3.58496250072116,3.58496250072116,3.4594316186373
"53","AT1G23800",NA,1,2.58496250072116,2.58496250072116,2.8073549220576,3.4594316186373,3.4594316186373,3.32192809488736
"54","AT1G24440",NA,1,3,2.8073549220576,3,3.70043971814109,3.58496250072116,3.58496250072116
"55","AT1G25530",NA,1,2.58496250072116,2.58496250072116,2.8073549220576,3.16992500144231,3.32192809488736,3.16992500144231
"56","AT1G26970",NA,1,3,2.58496250072116,2.58496250072116,3.16992500144231,3.32192809488736,3.32192809488736
"57","AT1G27380",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.4594316186373,3.4594316186373,3.32192809488736
"58","AT1G27740",NA,1,3,2.8073549220576,2.58496250072116,3.4594316186373,3.32192809488736,3.32192809488736
"59","AT1G27950",NA,-1,3.4594316186373,3.4594316186373,3.4594316186373,2.8073549220576,2.8073549220576,2.8073549220576
"60","AT1G30640",NA,1,2.8073549220576,3,2.8073549220576,3.4594316186373,3.4594316186373,3.4594316186373
"61","AT1G30750",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.70043971814109,3.70043971814109,3.70043971814109
"62","AT1G30850",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.32192809488736,3.16992500144231,3.16992500144231
"63","AT1G30870",NA,1,2.8073549220576,2.8073549220576,2.58496250072116,3.70043971814109,3.70043971814109,3.70043971814109
"64","AT1G30990",NA,1,3,2.8073549220576,2.8073549220576,3.58496250072116,3.4594316186373,3.4594316186373
"65","AT1G31710",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.4594316186373,3.16992500144231,3
"66","AT1G31720",NA,1,2.58496250072116,2.8073549220576,2.8073549220576,3.32192809488736,3.32192809488736,3.32192809488736
"67","AT1G31950",NA,-1,3.58496250072116,3.58496250072116,3.58496250072116,2.8073549220576,2.8073549220576,2.8073549220576
"68","AT1G32100",NA,1,3,2.58496250072116,2.58496250072116,3.70043971814109,3.70043971814109,3.70043971814109
"69","AT1G32170",NA,1,3,2.8073549220576,2.58496250072116,3.58496250072116,3.58496250072116,3.58496250072116
"70","AT1G33700",NA,1,2.8073549220576,2.58496250072116,2.8073549220576,3.8073549220576,3.70043971814109,3.70043971814109
"71","AT1G33750",NA,-1,3.4594316186373,3.58496250072116,3.58496250072116,2.58496250072116,2.8073549220576,2.8073549220576
"72","AT1G34510",NA,1,2.8073549220576,2.8073549220576,2.8073549220576,3.4594316186373,3.32192809488736,3.32192809488736
"73","AT1G34760",NA,1,2.8073549220576,2.8073549220576,2.8073549220576,3.4594316186373,3.4594316186373,3.32192809488736
"74","AT1G35260",NA,1,3,2.8073549220576,2.58496250072116,3.4594316186373,3.4594316186373,3.4594316186373
"75","AT1G35330",NA,1,2.8073549220576,2.58496250072116,2.8073549220576,3.32192809488736,3.32192809488736,3.32192809488736
"76","AT1G43020",NA,1,2.32192809488736,2.58496250072116,2.32192809488736,3.4594316186373,3.4594316186373,3.32192809488736
"77","AT1G43160",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.58496250072116,3.4594316186373,3.4594316186373
"78","AT1G43790",NA,1,2.8073549220576,2.58496250072116,2.8073549220576,3.70043971814109,3.58496250072116,3.4594316186373
"79","AT1G44800",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.70043971814109,3.70043971814109,3.58496250072116
"80","AT1G44970",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.8073549220576,3.70043971814109,3.70043971814109
"81","AT1G45545",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.32192809488736,3.32192809488736,3.16992500144231
"82","AT1G47480",NA,1,2.8073549220576,2.8073549220576,2.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736
"83","AT1G47600",NA,-1,3.32192809488736,3,3.32192809488736,2.58496250072116,2.58496250072116,2.58496250072116
"84","AT1G48210",NA,1,2.8073549220576,3,2.8073549220576,3.4594316186373,3.4594316186373,3.4594316186373
"85","AT1G48750",NA,1,2.8073549220576,2.58496250072116,2.8073549220576,3.58496250072116,3.58496250072116,3.4594316186373
"86","AT1G48930",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.8073549220576,3.8073549220576,3.8073549220576
"87","AT1G49310",NA,1,2.8073549220576,2.58496250072116,2.8073549220576,3.32192809488736,3.32192809488736,3.16992500144231
"88","AT1G49470",NA,1,2.58496250072116,2.32192809488736,2.32192809488736,2.8073549220576,2.8073549220576,2.8073549220576
"89","AT1G50110",NA,-1,3.4594316186373,3.4594316186373,3.4594316186373,2.8073549220576,2.8073549220576,2.8073549220576
"90","AT1G50930",NA,1,2.58496250072116,2.32192809488736,2.58496250072116,3.4594316186373,3.4594316186373,3.32192809488736
"91","AT1G51680",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.70043971814109,3.70043971814109,3.58496250072116
