Sample.Name,Atha_Ler.0_sShoots_FLT_Rep1,Atha_Ler.0_sShoots_FLT_Rep2,Atha_Ler.0_sShoots_FLT_Rep3,Atha_Ler.0_sShoots_GC_Rep1,Atha_Ler.0_sShoots_GC_Rep2,Atha_Ler.0_sShoots_GC_Rep3
AT1G27400,8.179302702,8.309164226,8.187575119,7.396278795,7.00499103,6.838596391
AT1G27410,1.472154684,1.355836848,1.752258987,1.513291833,1.36655346,1.902306163
AT1G27430,2.747904581,2.821911706,3.052252655,3.25860885,3.495081966,3.229002305
AT1G27435,7.152642597,7.125818941,7.554415024,7.078004576,6.84447765,7.10766855
AT1G27440,2.193001706,2.140257486,3.235846494,1.542815786,2.094912632,2.285191351
AT1G27450,5.830842172,5.946801928,5.861837927,5.233743231,4.233845237,4.647216939
AT1G27460,2.04812785,2.034603244,1.909516675,1.97135499,1.986289535,1.84017151
AT1G27510,2.370764701,2.715921382,2.70772211,2.718832181,2.90866643,3.341265589
AT1G27520,2.929164892,2.254879068,3.101856899,2.99386486,2.84952258,2.939192357
AT1G27530,6.063883117,5.881301308,5.501211675,5.960262898,5.794243434,5.507792523
AT1G27595,2.98519285,2.673612602,2.613903545,3.031573248,2.469325133,3.492215577
AT1G27600,4.135314659,4.142032408,3.496205579,4.181214012,2.984412454,4.674278403
AT1G27620,2.298551702,1.987156919,2.41497162,1.749166893,1.432853039,1.861839876
AT1G27630,4.766962339,5.05130625,5.01617282,4.630001168,5.178407639,5.080346934
AT1G27640,6.070185302,6.355036545,6.328869022,6.687907276,7.05161017,6.277362637
AT1G27650,7.18139113,7.037695921,7.088763846,7.707493348,7.358250128,7.475310833
AT1G27670,4.456995495,4.348311746,4.070074534,4.90193361,3.928519952,3.688546634
AT1G27680,1.837022684,2.004518232,1.724241787,1.660617879,1.513556045,1.52022787
AT1G27690,5.025782385,4.589301749,4.869102252,3.552316546,3.238264014,3.869334269
AT1G27700,1.731068341,2.414790549,1.625374872,1.477072791,1.932172537,1.444389532
AT1G27720,1.379401804,1.371117824,1.770216432,1.504536012,1.687803424,1.723218333
AT1G27730,4.601180213,5.223720059,4.973871642,6.519140717,7.049044379,6.525185196
AT1G27740,1.327585601,1.243779557,1.173038217,1.186663888,1.571912898,1.207123903
AT1G27760,4.517448533,4.178158262,4.187596318,4.918182191,4.683469477,4.790976716
AT1G27770,4.12144253,3.889259059,4.451561648,4.115703344,4.130237554,4.30843937
AT1G27840,3.077033218,2.268856637,2.426672595,1.977749068,2.506788047,2.71745074
AT1G27850,3.621859507,3.43119852,3.311107068,3.378420045,3.275078437,4.141857581
AT1G27880,1.682708224,1.80548403,1.399898097,1.685822394,1.441636323,1.902721237
AT1G27900,5.400327675,5.748240624,5.451169752,5.845052593,6.422891131,6.193629792
AT1G27910,3.035408219,2.168706159,2.299943813,3.354373177,2.948034416,4.228227777
AT1G27920,3.707308392,3.309287694,3.452273062,3.070017181,3.489665669,3.083651405
AT1G27930,2.624438508,2.423720434,2.031315902,2.317240198,2.285266725,2.298551702
AT1G27950,7.072536619,7.003317318,7.125672866,7.205446077,7.480204368,7.290809707
AT1G27960,1.797369451,1.761395637,1.891267912,1.501896299,2.70114418,2.702734372
AT1G27970,6.029060707,6.150358352,5.619683444,5.721274698,5.721888014,5.052450209
AT1G27980,6.914691845,6.558810666,6.780280139,6.842331414,6.747746062,7.207943122
AT1G28050,3.904385864,3.616451694,3.70120951,3.353230029,3.110128659,4.264927223
AT1G28060,4.729915427,3.940351269,4.697081709,3.445099773,4.139351242,4.821147931
AT1G28070,3.556798233,3.53865492,3.669059308,3.353828468,3.381762134,2.833485861
AT1G28080,1.238243546,1.857566214,1.557652811,1.373833549,1.546011327,1.376086864
AT1G28090,2.962753976,4.211921145,2.977035418,2.614838033,2.425992845,2.17880002
AT1G28100,7.760824067,6.854422219,7.374166156,8.570763688,7.537584693,7.277669883
AT1G28110,6.372601998,6.403040832,6.581307566,7.573621147,6.028967123,6.388181361
AT1G28120,5.06791083,4.652044216,4.271446992,3.826962912,4.155828763,3.938286845
AT1G28130,6.065249804,6.290953706,5.430540784,6.199066628,6.077883808,5.978922221
AT1G28140,1.778869387,1.899858711,1.442430931,2.364502067,1.600664576,2.042772701
AT1G28150,3.32521982,3.309539591,3.011783512,3.402511074,3.388322436,2.884137816
AT1G28170,0.910265099,1.127779923,1.263567674,1.3552731,1.341036278,1.452929484
AT1G28190,5.280659298,4.849694894,4.99947038,6.341203485,5.948690862,5.476011889
AT1G28200,5.210283387,4.683271403,4.984091239,5.619140851,5.349552712,5.443156746
AT1G28210,2.620385622,2.906000341,2.549553494,3.144314139,3.132974114,2.615123066
AT1G28240,3.347295576,3.435565571,3.000593981,2.574716216,2.396274864,2.125003859
AT1G28250,1.724870901,1.387896533,1.306967237,1.376064751,1.684317605,1.616222264
AT1G28260,3.806317561,3.169653678,3.323867538,3.764947724,3.121198873,3.66197343
AT1G28280,4.202027004,4.258566884,3.854356221,3.65419435,3.759400571,2.920867424
AT1G28290,7.894536321,7.717891512,8.075226043,3.378954442,4.048301227,2.691499694
AT1G28320,4.42620252,3.644468726,3.683569552,2.994745681,4.224265987,4.025699686
AT1G28340,1.805841908,1.878069886,1.908742623,1.758505167,1.78503396,1.820568254
AT1G28360,1.67598484,2.198217225,2.028135522,1.718411223,2.260447659,3.245056606
AT1G28380,4.629840905,4.619386611,4.547642359,5.379648524,5.135764889,5.580797768
AT1G28390,3.772042756,3.805158364,3.495546181,2.986782887,3.104579053,2.64936244
AT1G28395,3.627837816,4.665664104,4.606043158,3.110200345,3.580765778,3.813046221
AT1G28400,7.166909284,7.242490596,6.970999527,4.704726484,3.818292611,2.948179074
AT1G28410,4.550950474,4.609239249,4.235634672,4.571462777,3.742889051,4.526618984
AT1G28420,7.745053834,7.573034745,7.414051011,7.097624644,7.223221225,7.548378275
AT1G28440,6.063084429,5.854610993,5.682977282,4.6162695,4.738984181,5.239283363
AT1G28470,2.405864924,2.061315261,2.383535944,2.576681496,1.79211584,2.577774173
AT1G28480,4.426693002,4.800301418,4.477289609,5.316202323,5.068173115,6.805740053
AT1G28490,5.882138598,5.428085309,5.679421646,5.257577405,5.415177284,5.397043701
AT1G28510,4.609031748,4.477395007,4.5926605,4.272645516,3.612628211,3.978249037
AT1G28520,4.832653547,4.880109207,5.167352826,4.971108199,5.613090659,4.96672689
AT1G28530,1.758311484,1.406651034,1.657677895,1.373852653,1.771563815,1.761896912
AT1G28540,3.666145206,3.716207851,3.624688188,4.255149877,4.047648948,4.545830288
AT1G28550,1.368918839,1.197573206,1.080843199,1.277666318,1.49587527,1.523143357
AT1G28560,1.437649772,1.683711059,1.711780856,1.602721696,1.678763246,2.176368285
AT1G28570,1.516628925,2.322170881,1.965610196,1.455696582,1.729724542,1.479611652
AT1G28580,5.763527986,5.835421567,5.806700001,5.924340754,5.262531739,5.062321876
AT1G28600,1.52214625,1.729426736,1.720572809,1.419525565,1.639999739,1.470673003
AT1G28610,1.232505595,1.010679611,1.215847963,1.01359041,1.141387883,1.438781332
AT1G28660,4.595699784,4.566346152,4.30554014,4.755961912,4.483837358,4.11308677
AT1G28680,4.345128694,4.442050677,4.528715598,4.078921724,3.588300717,4.427305661
AT1G28690,1.538373237,1.513564525,1.140725286,1.850703738,1.176662923,1.506527683
AT1G28710,1.669200829,2.25646255,1.408875148,1.477052021,1.831783375,1.383012882
AT1G28760,2.376982361,1.84636539,2.096039476,2.011271852,1.682045606,2.283875745
AT1G28960,4.90917733,4.293418898,4.772353202,5.114462835,4.484489272,4.819044039
AT1G29020,0.823137253,1.045633239,1.114335828,1.171051488,1.214963623,1.142434517
AT1G29040,2.895241515,3.520638909,3.088403976,3.190626553,2.883132536,3.02390191
AT1G29050,6.650129997,6.345019675,6.125021269,4.195830277,4.557205486,4.565054045
AT1G29060,1.714591322,2.696184941,2.016640148,2.503357022,1.907191405,2.296337444
AT1G29070,1.321958198,2.001279122,1.519303043,1.547259922,1.457411026,1.273975981
AT1G29120,2.907194058,2.942357039,3.097540531,2.728369264,3.122098078,4.277000107
AT1G29150,6.059845391,5.999224989,6.201763656,6.284303065,5.931940306,6.110918204
AT1G29160,3.842480893,4.195512438,3.69827365,4.235531083,4.966956181,3.988146677
AT1G29195,2.263683115,3.907273552,3.82833398,2.336485448,2.029142005,1.949291415
AT1G29200,1.493077302,1.366549001,1.068474036,1.488941289,1.357507023,1.27729901
