"User_ID sorted by SD","Ensembl_gene_id","symbol","sl_FLT_BA_Rep1","sl_FLT_BA_Rep2","sl_FLT_BA_Rep3","sl_FLT_BA_Rep4","sl_FLT_BA_Rep5","sl_FLT_BG_Rep1","sl_GC_BA_Rep1","sl_GC_BA_Rep2","sl_GC_BA_Rep3","sl_GC_BA_Rep4","sl_GC_BA_Rep5","sl_GC_BG_Rep1","UdCC_FLT_BB_Rep1","UdCC_FLT_BB_Rep2","UdCC_FLT_BB__Rep3","UdCC_FLT_BB_Rep4","UdCC_FLT_BG_Rep1","UdCC_FLT_BG_Rep2","UdCC_GC_BB_Rep1","UdCC_GC_BB_Rep2","UdCC_GC_BB_Rep3","UdCC_GC_BB_Rep4","UdCC_GC_BG_Rep1","UdCC_GC_BG_Rep2"
" AT2G26190","AT2G26190","",3,3,3,3,4,3,3,4,4,3,3,3,4,3,2,2,2,2,3,3,2,3,3,2
" AT3G17090","AT3G17090","",3,4,3,4,4,3,3,3,3,3,3,3,2,3,3,4,2,3,2,3,3,2,2,2
" AT3G56050","AT3G56050","",3,4,4,3,3,4,3,3,2,3,3,3,2,3,2,2,3,3,3,3,4,2,2,3
" AT3G62130","AT3G62130","",3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,4,2,3,4,4,2,4,2
" AT4G12240","AT4G12240","",5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,6,8,5,5,5,6,4,6,4
" AT1G01920","AT1G01920","",2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,2,1,2,3,2,2
" AT1G02660","AT1G02660","",2,1,1,2,1,1,2,1,2,2,1,1,1,2,3,1,1,2,1,1,2,1,2,2
" AT1G06890","AT1G06890","",2,2,2,2,3,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
" AT1G07960","AT1G07960","",2,2,2,2,2,3,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1
" AT1G08210","AT1G08210","",2,2,1,2,2,2,2,1,1,1,1,2,2,3,1,1,1,1,2,2,1,1,1,1
