Sample.Name,Atha_Col.0_wo_act2.3_FLT_Rep1,Atha_Col.0_wo_act2.3_FLT_Rep2,Atha_Col.0_wo_act2.3_FLT_Rep3,Atha_Col.0_wo_act2.3_GC_Rep1,Atha_Col.0_wo_act2.3_GC_Rep2,Atha_Col.0_wo_act2.3_GC_Rep3,Atha_Col.0_wo_WT_FLT_Rep1,Atha_Col.0_wo_WT_FLT_Rep2,Atha_Col.0_wo_WT_FLT_Rep3,Atha_Col.0_wo_WT_GC_Rep1,Atha_Col.0_wo_WT_GC_Rep2,Atha_Col.0_wo_WT_GC_Rep3
AT4G03940,2.981957855,3.139716571,2.950751086,3.141694958,2.890528279,2.965371535,3.14324432,3.018087326,3.462560356,2.99399287,2.805319997,2.896393758
AT4G03960,6.316635668,6.332675775,6.431721272,6.211136378,6.109030603,6.235920115,6.33697747,7.058317628,6.559845753,6.174824835,6.481378724,6.598199615
AT4G04040,6.957122124,7.177701112,6.817590491,7.362852868,7.275684711,7.115933531,6.943912375,6.765269994,6.997464957,7.089401804,7.078546296,7.138525436
AT4G04180,4.794001927,4.407292299,4.886671888,4.718708457,4.693549547,4.487687513,4.690104213,4.654210802,4.719603448,4.799987132,4.745154899,4.58360117
AT4G04190,3.698217569,3.891833126,3.76369961,3.699457136,3.895727292,3.620513636,4.236113057,3.640953762,3.80502882,3.719704272,3.806548387,3.729299369
AT4G04210,7.152715397,7.076538789,7.077357566,7.093101067,7.112187683,7.106577835,7.123229187,7.097712489,7.071368477,7.130322476,7.161299,7.048591679
AT4G04220,3.400625403,2.938858655,3.849678937,2.915587971,3.252484791,3.221674506,3.257723034,3.34179183,3.245199296,3.130714722,3.260749253,3.197125365
AT4G04320,7.111861572,7.083602091,7.046189703,7.281166832,7.250198486,7.394855626,7.158643967,7.0476349,7.173138442,7.261054127,7.231025422,7.10928315
AT4G04330,2.557539344,2.342885829,2.441437993,2.401095798,2.268997114,2.47995672,2.745234863,2.498966878,2.83580944,2.331970305,2.620655094,2.412969507
AT4G04340,5.419059611,5.325496452,5.204073731,5.715634873,5.568831732,5.639670235,5.35538994,5.383527835,5.373898373,5.380195081,5.765848375,5.630553617
AT4G04350,4.03489382,3.962455159,4.09605939,4.169267918,4.197913241,4.134434562,4.452447412,4.310393341,4.319368026,4.102279892,4.072549527,4.178382631
AT4G04370,3.392682591,3.342133332,3.158457437,3.309438042,3.148876235,3.288970665,3.153554783,3.392682591,3.277998299,2.933535766,3.245902038,3.21811033
AT4G04450,2.542822474,2.74377729,2.772743929,2.413628612,2.649263846,2.78713663,2.899442014,2.720005883,2.813871309,2.589730472,2.780054105,2.940485256
AT4G04460,4.194206724,3.735088116,3.909571935,3.798740177,4.31974068,3.787779535,4.410214439,4.119395876,3.752782669,3.776648151,4.253278261,4.051991329
AT4G04470,6.786001442,6.778521719,6.484645173,6.493082489,6.833427214,6.980128961,6.708689733,6.272814727,6.718639822,6.705179164,6.710216996,6.497526531
AT4G04610,5.106872105,5.208886653,4.928641133,6.077550439,5.54650566,5.85180975,5.036035988,4.806642349,5.092492156,5.663408342,6.018388994,6.15902865
AT4G04620,8.760483732,8.515187188,8.606001268,8.744873459,8.634252596,8.459124147,8.67785363,8.749422342,8.889950507,8.680527538,8.947855901,8.798119518
AT4G04630,4.532044859,4.56601932,4.322848845,4.912734704,4.999574743,4.462182115,4.468734445,4.180445808,4.777316411,4.737990293,5.260469919,4.666183141
AT4G04640,8.043498282,7.881777119,7.937418198,7.920893957,7.770838661,8.172195961,7.946479729,7.929135354,8.252054709,7.573505117,7.578147078,8.04925868
AT4G04670,4.765084399,5.075246792,4.617687442,4.757508329,4.697268343,4.724224666,5.074189991,5.083936543,4.793182171,4.919025159,4.702838219,4.629991044
AT4G04700,4.272903727,4.951596597,4.557224693,4.608756855,4.76802866,4.645344184,4.939273709,4.93837696,4.783870144,4.748818206,4.769107048,4.548415149
AT4G04720,7.039305906,7.194794771,6.996515035,6.86371609,6.753798249,6.849856085,7.06184639,6.789904506,6.997845261,6.770313864,6.891440874,6.915098903
AT4G04740,2.630369737,2.367537872,2.53513959,2.565558442,2.51488948,2.61075576,2.430045293,2.357264101,2.632098936,2.628116738,2.416698578,2.419087127
AT4G04750,2.822559843,2.774535952,2.6655745,2.83591277,2.766262961,2.701045097,2.881648719,2.735257843,3.074033879,2.765401894,2.432882616,2.659059929
AT4G04760,3.280440417,3.448491912,3.599954775,3.117993719,3.416664913,3.38075812,3.466266479,3.474365645,3.431457933,3.334619879,3.280999011,3.255884569
AT4G04770,8.21210389,8.233592698,8.296223697,8.216519281,8.418307108,8.306617288,8.248596859,8.21511341,8.070505711,8.309514845,8.303832825,8.29149514
AT4G04790,3.750010826,4.037433629,4.039583929,3.619294711,3.746259541,3.44804061,3.82345709,3.915439932,4.065378991,3.685271984,3.728090349,3.707925725
AT4G04800,7.048699037,7.116125543,7.084569563,6.843721199,6.952666589,6.904101114,7.261822145,7.063153687,7.29769763,7.290485281,7.104913521,6.871399928
AT4G04830,7.9062913,8.173091904,7.674959783,9.614344024,9.623511435,9.516371513,7.91058086,7.569691757,8.185367088,9.374715629,9.993849381,9.626199664
AT4G04840,3.390543223,3.722940962,3.394047857,3.296811851,3.333844857,3.513824694,3.486613125,3.469299402,3.266235118,3.165389901,3.264384998,3.267070732
AT4G04850,3.737976057,3.515852759,3.896636746,3.835960327,3.531076539,3.800128195,3.809205159,3.665333459,3.833339619,3.590217028,3.579140473,3.423359996
AT4G04860,8.035925395,7.892605592,7.772674067,7.893378734,7.763157582,7.875169265,8.006995442,7.887369124,7.815974422,7.833845588,7.964652199,7.848290145
AT4G04870,5.847263324,5.876984823,5.858251015,6.273943318,6.521292641,6.416890792,5.868215732,5.787303905,6.133689504,6.042130383,6.189098254,6.265606992
AT4G04880,4.693180208,4.886250456,4.786744541,4.669943909,4.816978598,4.850248555,4.708643338,4.607942909,5.291363152,4.706844118,4.640150183,4.864623607
AT4G04900,3.132773167,3.051511158,3.188887367,3.396192054,3.189509784,3.27064595,3.457034378,3.229957581,3.280604134,3.497467457,3.483124576,3.788851429
AT4G04910,8.305624762,8.503944772,8.461414953,8.615611397,8.627581598,8.464626131,8.447011972,8.665806972,8.176778056,8.520626127,8.539648141,8.529692511
AT4G04920,4.866346938,5.025203313,5.23076764,5.139611974,5.011726323,5.507006512,4.947085243,5.075146025,4.850197564,5.028653961,4.980838928,4.969558449
AT4G04930,2.81381406,2.731640551,2.85910168,2.648532781,2.936452586,2.705875896,2.717768145,2.629313244,2.820087078,2.577234651,2.530552998,2.878442741
AT4G04940,5.130451694,5.098200462,5.157764472,5.361937709,5.258937655,5.125304155,4.876140676,5.337701976,5.229522188,5.198202735,5.234728739,5.513501331
AT4G04950,7.223743784,7.415822602,7.272846692,7.059240584,7.298073888,7.118067699,7.350081699,7.527322916,7.45604752,7.283644075,7.339745394,7.380390896
AT4G04955,5.177020888,5.074141117,4.846742483,6.134208136,6.267227653,6.132329061,5.435217621,4.810875099,5.232396615,6.145103268,6.426612212,6.171804474
AT4G04960,5.667003049,5.598698158,5.730701205,5.741767688,5.988099346,5.978993391,5.748843195,5.842592662,5.255795533,5.968343232,6.160691793,5.998419778
AT4G04970,4.912125481,5.318148939,5.593560026,5.466341541,5.423579001,5.451851113,5.379519866,5.60504235,4.872621076,5.505539209,5.408778897,5.200461625
AT4G04980,2.08419759,2.234325017,2.531354206,2.221750486,2.255846978,2.225424059,2.281390529,2.332616418,2.347573816,2.168398838,2.04879814,2.154306394
AT4G05000,7.820046876,7.919299178,8.029137335,7.862747956,7.780044605,7.515799138,7.966897525,8.277052144,8.038989593,7.974051259,8.037966564,7.900815874
AT4G05020,4.59132758,4.407348878,4.216014244,5.313916416,5.473325089,5.569159923,4.106588701,3.493109997,3.701554209,5.313659768,5.35896516,5.347289197
AT4G05040,4.249205381,4.289286612,4.324857699,4.403728494,4.380796506,4.144928669,4.387069423,4.297406321,4.343296064,4.399054934,4.030144483,4.370544184
AT4G05050,12.64733211,12.64153256,12.49721536,12.69562709,12.6884403,12.52994661,12.59524403,12.50206674,12.45445355,12.67454368,12.63999964,12.66952286
AT4G05060,7.319178139,7.430464988,7.297875551,6.967686438,6.959831989,6.993947688,7.412542439,7.703428765,7.233871298,7.077777418,7.174741153,6.934900912
AT4G05090,4.671301077,4.720962108,4.872371605,4.811258995,4.973216217,4.900223709,4.547898204,4.816267066,4.805854904,4.901718518,4.839085344,4.835260118
AT4G05100,6.936314378,6.857763891,6.263958547,5.834367947,6.290969477,6.649556124,6.665641982,6.595524486,6.274977673,6.70106685,5.866457855,6.134958606
AT4G05120,4.236644627,3.889451176,3.312787659,3.290916386,3.422651802,3.499551366,3.75835428,3.104913499,3.442747011,3.274389924,3.287462144,3.379322397
AT4G05150,11.6155715,11.63441602,11.76967367,11.52759901,11.54964068,11.76516515,11.73395237,12.191769,11.71166041,11.61011198,11.6565509,11.55454526
AT4G05160,8.90696055,9.076767474,9.041225739,8.750560416,8.795478976,9.019375428,8.954213822,9.173839093,8.933872466,8.744612129,8.77327055,8.566247221
AT4G05170,4.415252591,3.907632316,3.975250573,4.639857813,4.643299278,4.132561168,4.125350936,3.889925387,4.262959106,4.252693124,4.575573458,4.519138774
AT4G05180,5.31160888,4.963538105,4.778219005,5.69506024,4.555810398,5.695872091,5.485335379,5.751129238,5.906659585,4.47856489,4.767214464,5.963738189
AT4G05190,3.07775357,2.689037354,2.814995564,3.511716322,3.387954618,3.17425914,2.786424326,2.683886703,2.79756488,3.234115578,3.369299884,3.416158867
AT4G05200,5.186246652,5.032584196,5.374316021,6.589187582,6.734639775,6.304738253,5.4235785,5.341753726,5.295296976,6.40385075,7.075231305,6.60296102
AT4G05210,3.177443853,3.264549642,3.232685409,3.148898293,3.281498836,3.060345391,3.349513627,3.064624477,3.472739477,3.298181794,3.383861788,3.127002055
AT4G05320,12.57933173,12.49088036,12.51118297,12.72165816,12.64061023,12.40010556,12.64931272,12.33275597,12.54947872,12.65673939,12.58887169,12.69126886
AT4G05330,4.681201209,4.826779852,4.478891564,4.518431222,4.599756733,4.685265718,4.497966401,4.504968205,4.959967873,4.427197981,4.574431119,4.652967373
AT4G05390,7.257677871,7.380459361,7.390325726,7.488923658,7.543904765,7.857387007,7.422268393,7.209283193,7.57719378,7.354826719,7.477756778,7.776624596
AT4G05410,5.97076578,6.026652194,6.0291115,6.350823634,6.271616133,6.045624423,5.52369361,5.822285482,6.128947268,6.159753157,6.256818418,6.344471926
AT4G05420,8.914303429,8.899997903,8.991148016,8.886670968,8.87077486,8.851811576,8.898136739,9.218006701,8.79621127,9.067183799,9.021359169,9.070316097
AT4G05440,6.56286636,6.657974673,6.297849919,6.328605615,6.385523824,6.502133658,6.711367265,6.467185089,6.661169192,6.545781529,6.374301292,6.37792366
AT4G05450,5.097562605,5.243627102,5.367631065,5.227394763,5.529525724,5.50974605,5.206180545,5.04378812,5.331645661,5.497980338,5.417575725,5.263630003
AT4G05460,7.962595651,8.042190482,8.009580977,7.965167737,8.067753578,7.736918869,8.032211426,7.97234976,8.10664604,8.0641062,8.339289776,8.090475005
AT4G05520,3.283448433,3.143162026,3.566976218,3.589564998,3.757592839,3.802430587,3.124269194,3.005260185,3.665289922,3.308355748,3.27879637,3.547348177
AT4G05530,8.126131101,8.078280033,7.927151301,7.828174075,7.956020327,7.97775532,8.058892271,7.74150861,7.983341845,8.008699316,8.060763102,7.884496425
AT4G05590,6.475313023,6.546183207,6.405903266,6.304853848,6.479235191,6.484113684,6.697816776,6.189347685,6.646247323,6.29196934,6.774537138,6.413191436
AT4G07390,7.841664203,7.726493058,7.814146232,7.958090486,7.749765701,7.609454814,7.7844428,7.845588424,7.776707631,7.868560484,7.840134323,7.827337679
AT4G07400,3.917928383,4.064005113,3.998183827,3.659950194,3.823703223,3.942122089,3.890545992,3.982846007,3.996746343,4.011922261,3.974933099,3.9749368
AT4G07410,6.513042544,6.770576623,6.507111447,6.717882392,6.540154012,6.645445486,6.665898554,7.071550202,6.812774303,6.866693904,6.626914283,6.864449282
AT4G07960,2.425023794,2.621613724,2.854404615,2.568107448,2.656336145,2.546087646,2.547795048,2.450269885,2.616843866,2.617300701,2.609482963,2.690099876
AT4G07990,6.239193153,5.944907498,6.315048069,5.91240364,5.910673846,6.087337344,6.047818416,6.243288039,6.181716374,6.092697423,5.93064542,6.026486386
AT4G08040,3.122326169,3.15066719,3.408664546,3.439404712,3.283926013,3.40596279,3.310441588,3.208881701,3.122650316,3.162644274,3.223126635,3.296196654
AT4G08150,9.447600602,9.306907996,9.416134997,8.846362287,8.780527893,9.014366575,9.538166311,9.780401035,9.541872607,9.301112772,9.114638386,9.205175532
AT4G08160,3.17630637,3.35719432,3.483818458,3.763214654,3.73128867,3.885965653,3.409024957,3.283180665,3.532553406,3.593429713,3.876944823,4.005898103
AT4G08170,4.798811295,4.508204246,4.502655359,5.025212264,4.819421114,5.089554872,4.82045012,4.646998197,4.737085574,4.614926641,4.823259845,5.137561641
AT4G08180,6.339807413,6.31305717,6.464737051,6.284588938,6.246438401,6.44293042,6.447049946,6.516963433,6.354614731,6.355878812,6.258037503,6.263958547
AT4G08210,2.888753113,2.980025244,2.890454976,2.768582711,2.968100717,3.098403911,2.899442014,2.776692723,2.970815713,2.873503054,3.026438515,2.748752943
AT4G08240,5.047976402,5.170408581,5.197152633,5.227697418,5.022459145,5.214087867,5.472232801,5.16755243,5.242953142,5.470993822,5.516200612,5.630397503
AT4G08250,2.929995684,2.819619554,3.060661082,2.723784254,2.855529778,2.981327932,2.6963445,3.058404798,2.778668613,2.692488194,2.547798038,2.619463506
AT4G08280,8.211675824,8.283792416,8.498122488,8.053431989,8.135883436,8.545612984,8.277362594,8.32521342,8.511003033,8.215027625,8.340183221,8.291155414
AT4G08290,5.710950045,5.927729224,5.791704727,7.370888114,7.385460546,7.001402756,5.994439777,6.008398958,5.987362818,7.212297612,7.431979154,7.438228421
AT4G08300,5.220885013,5.161860348,4.841680534,6.557383586,6.007108501,6.311204198,5.473865508,4.557859805,5.640892079,6.642682084,6.871334879,6.787164642
AT4G08310,6.899767553,6.480959768,7.08531688,6.690756463,6.894740209,6.610796293,7.023142199,6.913566914,6.88383309,7.013361148,6.506953166,6.888164767
AT4G08320,7.444801302,7.432039288,7.414273996,7.095390203,7.217950056,7.357791855,7.442704646,7.387419079,7.5502144,7.3008271,7.368428366,7.333260106
AT4G08330,7.611095436,7.584687053,7.602427157,7.143752802,7.329613323,7.232460322,7.545195918,7.724120483,7.635149483,7.386719566,7.580692297,7.474175755
AT4G08350,8.071146951,7.910905552,7.819616251,8.142196073,8.195313325,8.156889519,7.904429691,8.227462181,7.662227744,8.08397293,8.443283357,8.070229077
AT4G08390,7.660533842,7.523999475,7.696421474,7.75012424,7.85927997,7.944244643,7.603651593,7.68399464,7.839409092,7.91820884,7.952445463,7.936731426
AT4G08410,4.157025732,4.325196235,4.069261071,5.942690809,5.402923261,5.334401932,4.289936468,4.598809952,3.97982699,5.410296934,5.711236971,6.009622277
AT4G08450,2.113990232,2.042709357,2.214127423,2.354248615,2.114039377,2.30380834,2.248507878,2.326490849,2.343706253,2.3560228,2.425666208,2.273890332
AT4G08460,8.207206303,8.129931203,8.321936177,7.96370213,8.099329952,8.157036353,8.237720902,8.317469544,8.319648715,8.036194221,7.887630763,8.044936605
AT4G08470,5.771147909,5.697706722,5.743631867,5.685230858,5.675544088,5.943041702,5.682288216,6.039141006,5.569376031,5.864812212,5.754281597,5.765207369
AT4G08480,4.676999351,4.566575979,4.594767554,4.192259557,4.550009237,4.462875085,4.488893234,4.544100673,4.245817073,4.629674651,4.474666732,4.405374633
AT4G08500,6.647686906,6.751842088,6.736781276,6.885337381,7.028457665,6.836957897,6.670710961,6.751363614,6.597304461,6.97297073,6.921236504,6.833142811
AT4G08580,8.64890388,8.498735531,8.791651186,8.057098574,8.285093716,8.378006701,8.502328132,8.968578278,8.554610693,8.444347751,7.995263486,8.300455147
AT4G08590,3.552567521,3.892342911,3.891704792,4.314324314,4.237989965,3.848241218,3.94010692,3.85635912,4.149202157,4.126023887,4.265696321,4.274371833
AT4G08620,3.047089368,3.16388188,3.448491912,3.205459004,3.510800646,3.2116413,3.352026708,3.404154817,3.482705219,3.341888673,3.247631369,3.356836577
AT4G08685,8.761499497,8.699973516,8.275723786,8.684617229,8.341178046,8.532899169,8.483675869,8.080116225,8.603993209,7.895707141,8.37162608,8.388874921
AT4G08690,5.822060943,5.723013374,5.684489743,5.758745869,5.89003752,5.8988446,5.758071215,5.389060886,5.881026353,5.876454445,5.798350496,5.934661687
AT4G08700,3.824305299,3.943882104,4.41845349,3.525518826,3.870834311,4.01399703,3.89086701,3.924223751,4.167052654,3.861483204,3.826413665,3.781667246
AT4G08770,5.587322084,5.477096119,4.891729593,6.380618668,5.773925764,5.651073002,5.089688192,4.785563549,5.536545668,5.575094935,6.016619368,5.791625502
AT4G08790,5.682020804,5.784178587,5.574083666,5.418739403,5.419842282,5.771469521,5.70505044,5.614477672,5.806729238,5.561382791,5.659728318,5.438341015
AT4G08850,7.334662046,7.583703687,7.229379924,7.979195427,7.910626759,7.591801406,7.414142495,7.32808402,7.347266177,7.738875073,7.887202242,7.629178522
AT4G08920,7.538096347,7.384129356,7.391822367,7.350112284,7.2625808,7.347512248,7.457100757,7.366565733,7.192488733,7.364847922,7.267213868,7.303494833
AT4G08930,6.226557569,6.259272015,6.588733252,6.134067811,6.172270766,6.170766226,6.44800147,6.263958547,6.413391063,6.228647939,6.189430091,6.113085619
AT4G08940,3.305349012,3.17466528,3.38107013,3.49087398,3.246130082,3.229706845,3.264520304,3.259893343,3.133450619,3.360406763,3.590347602,3.450232811
AT4G08950,7.18926461,6.783586118,6.395812248,6.885315945,6.228011089,6.356351006,6.40100193,5.585474644,6.458397893,6.032668418,6.202789594,6.462565733
AT4G08960,7.882031183,7.700658967,7.793885721,7.644691828,7.704301071,7.72446018,7.566809142,7.730176048,7.687263587,7.831838676,7.596845228,7.724860759
AT4G09010,4.507951774,4.542245631,4.678759776,4.349160634,4.411570541,4.407441845,4.390154662,4.579828361,4.963914675,4.308315346,4.099502385,4.375191381
AT4G09020,4.102715738,4.006847801,3.970986091,4.388098572,4.300488155,4.456915518,4.079299612,3.643618067,4.021573963,4.031899855,3.981030396,4.149192537
