Analysis.Id,FLT_Cen_Rep1,FLT_Cen_Rep2,FLT_uG_Rep1,FLT_uG_Rep2,GC_1G_Rep1,GC_1G_Rep2
AT1G01620,9.274239968,9.446514441,9.266216787,9.228831616,8.662573818,8.923089467
AT1G01630,7.937607314,7.802176987,8.299576794,8.345688543,8.950721439,8.663896637
AT1G01640,9.702488184,9.768750376,9.653528845,9.656063159,9.492733267,9.654650182
AT1G01650,9.402102734,9.340236099,9.239189881,9.255438043,9.191581683,9.338023884
AT1G01660,4.268187902,4.307076119,4.385390912,4.557965105,5.294836621,5.076925086
AT1G01670,5.18838632,4.933194363,5.368505474,5.611088583,5.57416579,5.350061461
AT1G01700,2.992120538,2.806614213,3.106407692,3.103101693,3.161629349,2.958802663
AT1G01710,7.470985049,7.217233799,7.135360117,6.862204745,7.467903044,7.422400783
AT1G01720,7.051948359,7.065497716,7.162645456,6.840596754,7.938257393,8.109737606
AT1G01725,7.217874583,7.210602005,7.774698818,7.535089601,6.986122182,7.22836758
AT1G01730,8.385899277,8.198170648,8.454240197,8.419427034,8.438132326,8.385332619
AT1G01740,5.878988997,5.513398527,5.808563117,5.966676755,5.477677298,5.701884491
AT1G01750,3.273239903,2.958934398,3.031197896,3.21450501,3.129886224,3.073776852
AT1G01760,5.9716795,5.7883988,5.881043104,5.849725334,5.836483639,6.008422017
AT1G01770,7.486918558,6.906379037,6.964745853,6.675653621,7.523698607,7.328157399
AT1G01780,6.660899293,5.95506381,6.532617809,6.186039295,6.674514613,6.755743243
AT1G01790,5.670036988,5.626893422,5.85767263,5.79607651,5.741654265,5.589944162
AT1G01800,9.530163378,9.278759043,9.855562449,9.717958834,9.900482685,9.739261922
AT1G01820,9.78931767,9.654032388,9.569623214,9.499033888,9.394682877,9.770405003
AT1G01830,5.795061207,6.051799432,5.641831064,5.608327517,5.702195606,5.472308624
AT1G01840,5.56018421,5.761348368,5.394064623,5.580376828,5.700848537,5.79352837
AT1G01860,5.603562512,5.519335196,5.255920804,5.614863926,5.373535143,5.392042212
AT1G01900,5.116981606,5.290292608,4.876559171,4.917147223,4.6877524,4.505874346
AT1G01910,9.541890395,9.704898394,9.327414959,9.371029013,9.608113294,9.681506487
AT1G01920,6.609668278,6.621725752,6.79708918,6.989496608,7.171867037,7.235732193
AT1G01930,6.821355727,6.745894305,6.846806699,6.834077284,6.999945251,7.075422758
AT1G01940,9.45105164,9.627841836,9.256434379,9.353633512,9.444856372,9.715091556
