Analysis.Id,ARG1.KO_FLT_Rep1,ARG1.KO_FLT_Rep2,ARG1.KO_FLT_Rep3,ARG1.KO_FLT_Rep4,ARG1.KO_GC_Rep1,ARG1.KO_GC_Rep2,ARG1.KO_GC_Rep3,ARG1.KO_GC_Rep4,WT_FLT_Rep1,WT_FLT_Rep2,WT_FLT_Rep3,WT_FLT_Rep4,WT_FLT_Rep5,WT_GC_Rep1,WT_GC_Rep2,WT_GC_Rep3,WT_GC_Rep4,WT_GC_Rep5
AT5G44110,1.97635717,2.03731863,1.970484366,2.143359735,2.02408237,2.134725256,1.917918299,2.079931832,2.1425009,2.406736345,1.869172338,1.981668458,2.313842574,1.89044721,2.007369957,2.134474846,1.877747057,2.341495223
AT5G44130,2.237966893,2.142969681,2.030764613,2.335107984,2.24157024,2.481524147,2.26626494,2.266400814,2.412502549,2.188258397,2.087758693,2.169376604,2.277549612,2.355163123,2.397368323,2.144813338,2.252421817,2.325096852
AT5G44150,2.349396238,2.093353967,1.976777128,2.278037255,2.205380939,2.109476193,2.352438055,2.514003045,2.363993264,1.921222689,2.176144332,2.25732278,2.079305873,1.949334264,2.405122941,2.280410669,2.070099782,2.174459262
AT5G44160,2.270917428,2.194983579,2.414614441,2.348576983,2.511348541,2.253260446,2.418040657,2.185710744,2.433406935,2.414438097,2.563225949,2.629410664,2.315522103,2.345230758,2.418678331,2.475420726,2.276686332,2.331406839
AT5G44170,2.059458303,2.075122139,2.115930414,2.045114414,2.679216143,2.062072967,2.24347194,2.193554152,2.429888268,1.680266295,2.338342597,1.785378174,2.647725135,2.467244755,2.173505661,2.42015988,2.178210105,2.074344032
AT5G44180,3.948207028,3.68749032,3.764282994,3.792070477,3.843178455,3.974063832,3.632596461,4.083029606,3.715719838,4.056069919,3.692728997,3.515196194,3.303095691,3.798483687,4.048015674,3.540257348,3.537916472,3.575924325
AT5G44190,2.10603029,2.14004827,1.84155061,2.114282972,2.146421698,2.266210095,2.311651819,2.281553856,2.30825733,2.096813306,2.140716987,1.983103572,2.285992104,2.0027416,2.440123751,2.166035021,2.171476283,2.194593662
AT5G44200,6.915323733,6.840045125,7.051827202,6.881569461,6.993675419,6.709676066,7.079649732,7.317424313,6.767702365,6.125934401,6.893725113,6.702743999,6.603749275,6.592667339,6.535251571,6.747431872,6.538871824,6.258359194
AT5G44210,2.165188791,2.192513491,2.38138502,1.949607093,1.76494163,2.15977371,1.99452275,2.169030518,2.070831362,2.075296758,1.968178927,1.887862786,2.147831723,2.031467421,2.473639866,2.085366842,2.212070756,2.447733734
AT5G44230,1.887955073,1.980766866,1.842881971,1.961808202,1.88464295,1.923857741,1.885834978,1.996744801,2.197431168,1.915764843,2.001461133,1.957331607,1.902326089,1.986978371,1.916256943,2.079683127,2.299135568,1.783809425
AT5G44240,3.030487761,3.117598665,2.717628978,3.139531762,2.560309999,2.765887907,3.285018701,3.398935131,2.6720146,2.11487417,2.704377326,2.85562093,2.69800101,2.563459759,2.176130927,2.801751528,2.436098021,2.914151768
AT5G44250,7.984877419,8.285013902,8.369733089,8.434464308,8.577690395,8.504173165,8.472617117,8.202201654,8.47170694,8.545718995,8.419949959,8.458792586,8.499223647,8.196715496,8.520993394,8.462405296,8.475566388,8.501046616
AT5G44260,2.19451779,2.299940938,2.542656295,2.382647304,2.57157849,2.411687163,2.318773368,2.560616212,2.486889422,2.694650933,2.487947537,2.326775116,2.97105587,2.472506177,2.453981693,2.469785113,2.444144182,2.375416054
AT5G44280,2.149017479,2.199503859,2.1346515,2.342488868,1.954640464,2.182018356,2.025157103,2.29200163,2.573977269,1.959899685,2.229095683,2.279170294,2.134865539,2.284074968,2.376029504,2.237619152,2.485840948,2.171508494
AT5G44290,4.631546155,4.485033983,4.083157772,4.198950899,3.999319629,4.160823166,3.825592522,3.963343834,4.731310305,3.781070951,4.703841893,4.262656343,3.926802519,4.256907499,3.967505844,4.416247841,4.33579955,4.100618398
AT5G44320,8.054856812,7.86333391,7.826136828,7.702535723,7.742537508,7.238894708,7.885297401,7.792303958,8.073800309,7.528095154,8.238886453,8.017296387,8.058284084,8.035492563,7.709188848,8.039344339,8.17838423,7.983374374
AT5G44340,8.865462331,8.73384827,9.132258605,8.991363347,9.339801863,9.143754967,9.459105231,9.336375111,9.014344484,9.327328053,9.253065821,9.301981637,9.562195444,9.515207623,9.283331031,9.484901074,9.754920827,9.368965315
AT5G44350,2.104367676,2.043593239,2.107105576,1.99261048,2.120743897,2.085539129,2.096168063,1.902620811,2.031960202,1.845827059,1.936673846,2.1378026,2.133036695,2.093213806,2.262446859,2.296511078,2.283644855,2.149341979
AT5G44370,2.399318778,2.466643059,2.465813541,2.558953951,2.465567262,2.651284927,2.492076487,2.1471319,2.456403864,2.439585087,2.251064973,2.640922692,2.481982482,2.690902354,2.495605162,2.527497632,2.446291536,2.47504074
AT5G44380,2.362856866,2.206058614,2.305902234,1.85966851,2.343678118,2.046280151,2.146811621,2.150836113,2.304795813,2.080251433,2.402469938,1.877700493,1.881660589,2.016986337,2.325524451,2.225487412,1.965753126,1.923157059
AT5G44390,1.73346964,1.886041039,1.749760407,1.786660197,1.622428891,1.801327259,1.688279815,1.790541802,1.570777804,1.937710025,1.812354991,1.815999083,1.648836619,1.751393659,1.879455219,1.780678463,1.822028605,1.850777809
AT5G44410,1.7374249,2.034521353,1.853578138,1.62792645,2.058298505,1.761159907,1.838871151,1.679818722,1.800479993,1.973963229,1.630226961,1.640802027,1.951451104,1.84365232,1.723599233,1.851895532,2.272530676,1.862622542
AT5G44450,3.90697897,3.917577774,3.990594847,3.745597919,4.203574739,3.941585936,4.168985055,4.298523082,4.274668942,3.792297005,4.161207146,3.600286243,4.009906056,3.960771111,3.779000191,3.902975109,3.688749969,4.001543197
AT5G44460,3.219000865,2.801088956,4.058488323,3.417931537,3.016980325,3.241892406,3.038473032,3.427773721,2.789136537,2.809917659,2.735370209,3.118761626,2.808238269,3.129434137,2.954767907,2.722510706,3.108695593,3.070428758
AT5G44480,3.787083434,3.809931067,3.336353917,3.158788819,2.559303937,3.049832047,3.041522013,2.440153348,3.723178631,3.261151776,3.64373287,3.631245773,3.004387718,2.841490734,3.13406233,2.818681858,2.764547085,2.839861886
AT5G44500,2.293871277,2.63141843,2.595894554,2.257879571,2.613999436,2.780237432,2.41589837,2.390268444,2.439510268,2.48723997,2.501097948,2.805797122,3.271053574,2.965102121,2.954386278,2.580798998,2.483169931,2.605760016
AT5G44510,3.48339222,2.678749221,2.758120395,2.935504416,3.214987917,2.919261799,2.681928555,2.838240346,2.897670517,2.951186998,2.70373698,2.816140745,2.723363142,2.834300531,2.456705767,3.060932387,2.782280546,2.572733616
AT5G44520,2.068108006,1.953028077,2.340949806,2.203381752,2.317568349,2.079591342,1.906381898,2.102469856,1.765504585,2.315171396,2.021819577,1.937869609,1.904627521,1.97637551,2.491460395,2.145083389,2.078035551,2.251820913
AT5G44530,1.921936861,1.88499038,2.096301407,1.899044356,1.892183085,1.737093098,1.96382413,1.950908788,2.089029664,2.158493374,1.986242654,1.966178904,2.15051953,1.79795557,2.009971995,2.006594921,2.187676924,2.200196132
AT5G44560,3.668280665,3.768445826,4.821757452,4.629757057,4.723605066,4.804257746,4.537840808,4.722472745,4.421330804,5.350683391,4.581192053,4.710830891,4.751105829,4.566236636,5.077775255,4.159686057,4.292259665,4.256227337
AT5G44580,2.249479969,2.272018055,1.910991938,1.966065771,1.846742326,2.302762868,2.095904165,2.39338156,1.990442604,2.177153421,2.106353968,2.205846838,1.902873441,1.955175478,2.514872551,2.214347198,2.652582572,2.244777175
AT5G44610,3.846793556,4.346210577,3.628478417,4.560352679,3.299015562,4.419409832,4.093049415,3.426196053,2.79118196,2.887977236,3.087827062,3.669614186,3.225776309,3.392980663,3.436731018,3.191579885,3.621097088,4.278861049
AT5G44650,2.001450821,1.910246713,1.90325666,1.986910127,1.716176757,1.733707911,1.984563054,1.968817825,1.869248529,1.800454561,1.851405407,2.169901764,1.947567444,1.918966413,1.786878761,1.782010959,2.135530958,1.799511251
AT5G44660,1.972788572,1.978499588,2.184934388,2.242786034,1.85013725,1.850560909,2.117882737,2.108827533,1.9719498,1.871755277,1.848311459,2.208755832,2.249487867,1.997327196,2.150520088,2.014567802,1.809476297,2.299293948
AT5G44670,2.270917428,2.340397624,2.135986953,2.278425245,2.14004827,1.894715162,2.378283078,2.205303927,2.04847344,2.06104518,2.147843768,2.078433596,1.893947968,2.153136042,2.117755757,1.86479242,1.868316061,1.986546651
AT5G44680,1.883961503,2.035538213,1.98574148,1.780920792,1.74463492,1.845827059,1.95984295,1.740913429,1.838198785,1.736537328,2.128862558,1.876962254,1.964580316,1.807815796,1.710423465,1.907050873,2.085707594,1.85734723
AT5G44700,1.996455963,1.854462208,1.84155061,1.801330062,1.899223791,2.195883008,2.011741311,2.112188961,1.874974982,2.007660503,1.863680481,1.879562037,1.855029392,1.940858778,1.904856008,2.04806766,2.126315655,1.822706663
AT5G44710,4.600468443,4.873210137,5.157621799,4.781294796,4.870995605,4.574997893,4.886458712,4.999612736,4.986926096,5.005367248,4.773308997,4.7696598,5.009653794,4.952569379,5.057370598,4.592582328,4.993084646,4.585279248
AT5G44720,4.323041148,4.295571167,4.671514586,4.85424968,4.281254319,4.393497039,4.342545258,4.366302817,4.460573868,4.581722503,4.296143566,4.481856338,3.81455916,4.827940476,4.635074747,4.668514811,4.159528605,4.39436493
AT5G44730,3.908286915,4.084358817,3.739253016,3.919459016,4.037412409,3.792079301,4.077134689,4.129075072,4.098431355,4.390267394,4.34932632,3.945722996,3.492640875,4.663911088,4.036482313,4.42216413,4.168323602,4.19482099
AT5G44740,2.094501288,2.147749393,2.22695663,2.106441389,1.953703129,2.123893724,1.915245991,2.179488177,2.03322976,2.017788421,2.08258572,2.100619634,2.247229833,2.260060809,2.08258572,1.926233913,2.023148496,2.263026692
AT5G44750,3.560207554,3.387798386,3.319373262,3.645081094,3.548887196,3.331945139,3.452720458,3.703781894,3.08316048,3.226858691,3.46520995,3.3519507,3.381515365,3.329117751,3.299057783,3.521567557,3.997463254,3.48074772
AT5G44770,2.001113627,2.062712424,2.020328955,1.920112918,1.960377414,2.281613741,2.023409438,2.151022357,1.868911335,2.078035551,2.025949432,2.061088125,2.508016469,2.177373305,2.164991438,2.016900055,2.057758352,1.650935249
AT5G44780,2.294298825,2.123967484,2.200537942,2.5134182,2.153195819,2.214664822,2.498605103,2.818987053,2.401026142,2.3710434,2.562809732,2.054138531,2.464117666,1.979558174,2.364954508,2.3250511,2.220107322,2.056558939
AT5G44785,3.578002764,3.277709602,3.273168606,3.505331949,3.309345013,3.017088327,3.552044904,3.759698714,3.641329458,3.725460628,3.623493028,3.905385723,3.430252763,3.336663209,3.476297963,3.16164521,3.37630107,2.920795095
AT5G44790,6.586817516,6.25132094,5.19523085,5.779800654,5.703595691,5.554930352,5.585802424,5.830722413,5.563712026,5.495381517,5.964726515,5.538854233,4.462033936,5.372510262,5.176197591,5.395171752,5.709178214,5.990939629
AT5G44800,3.19299646,3.168735436,2.410566178,2.617628431,2.428979595,2.837552179,2.428863903,2.613946891,2.213901918,2.300195616,2.54187145,2.54154765,2.032355268,2.406835009,2.268463917,2.262589621,2.314829755,2.557509561
AT5G44820,1.748938741,1.851405304,1.763463916,1.739056034,1.796639498,1.927061333,1.827764071,1.917522089,1.865451513,1.831487924,1.805460537,1.883469706,1.877844484,1.844975867,1.923629896,1.870375438,1.766862027,1.725861103
AT5G44860,4.280364138,4.502822978,4.850472781,4.724611461,4.376858677,4.664832489,4.788153231,4.578598382,4.321501426,4.487268277,4.516503317,4.920737645,4.677522677,4.113702609,4.140961455,4.498207527,4.057249234,3.96634961
AT5G44900,2.133044776,2.338952044,2.331649171,2.244553879,2.15763695,2.06052445,2.326977485,2.111594723,2.293759752,2.095588068,2.148708915,2.546910491,2.349396238,2.281383492,2.231235828,2.019004024,2.078035551,2.221816916
AT5G44910,1.961894695,2.089186869,2.378163896,2.063045039,2.215655647,2.340208419,2.460203431,2.144072763,2.22247177,2.208415303,1.961767431,2.278056484,2.216026592,2.146390344,2.745111334,2.228338302,2.110699397,2.250519046
