Analysis.Id,0point09G_Rep1,0point09G_Rep2,0point09G_Rep3,0point18G_Rep1,0point18G_Rep2,0point18G_Rep3,0point36G_Rep1,0point36G_Rep2,0point36G_Rep3,0point57G_Rep1,0point57G_Rep2,0point57G_Rep3,0point57G_Rep4,1G_Rep1,1G_Rep2,1G_Rep3,uG_Rep1,uG_Rep2,uG_Rep3,uG_Rep4
AT1G49880,37.41066798,29.76805464,39.41900212,23.42853978,32.97981628,28.27203941,40.87481969,33.87661828,22.87213665,35.44359313,26.8234875,28.11731691,25.74185962,28.26221052,28.51918168,32.7321105,40.2207826,28.09186915,39.61454653,26.21780496
AT1G49890,291.2565318,372.7665753,309.938678,258.6667149,243.695553,266.1438016,326.2163501,292.2019694,264.3796993,409.1778169,286.5406527,320.3568002,288.3212182,257.2495411,292.2606286,311.9468848,277.9499898,345.8333125,275.1598894,249.4648504
AT1G49910,28.30247032,24.82346677,42.08553765,55.63022968,40.84087571,34.20239451,37.4894679,47.49349726,53.33499948,23.24813666,21.5798471,43.95875225,51.42272688,56.3980551,23.98139482,23.22831989,41.27359465,37.02664683,13.22276647,33.29950179
AT1G49920,9.083823202,4.988715815,8.940077996,7.199562583,1.322141337,9.020532001,10.99881298,4.092446349,15.61168727,13.10788286,5.223289406,3.533499923,15.66746196,12.77300774,2.514363723,7.240073733,8.227652037,14.79229524,2.953862478,5.260250557
AT1G49940,4.477985016,6.167067991,0.907742819,1.744539254,4.466015708,2.759867464,3.740347034,4.886899356,3.183914295,4.491473266,1.035119327,0,2.049022676,11.8898758,0,0.498080601,2.426830063,3.389331149,2.017948901,6.020103522
AT1G49950,377.1874293,400.1314701,437.8081674,404.953583,415.7534978,377.8138305,453.6628059,348.2731182,332.3436113,400.5901873,458.5296739,367.1281168,349.369587,394.7793718,414.5624219,407.7376094,412.0967641,504.0238923,452.7711475,400.0819172
AT1G49960,89.9864462,145.7212383,155.8389427,199.8951427,150.1779921,278.3964698,192.9070318,131.7393413,286.6293697,109.1367477,97.4584905,179.4568449,210.2768401,99.11277543,122.2997978,182.8631281,90.73797204,87.66520074,208.8033865,147.4145428
AT1G49970,1911.865865,2098.654268,1980.155922,1570.257365,1578.206691,1579.171418,1703.176463,1735.43464,1458.598691,2299.05058,2141.384784,1385.369801,1311.251913,1606.828174,2056.789978,2328.736306,1681.806594,1939.609065,1974.514444,1394.847709
AT1G49980,469.0544949,476.6111391,369.410163,357.4197393,357.4630251,455.1379803,381.2622788,308.9392421,363.2843904,457.1078828,304.9090091,406.8162233,362.517314,392.1525817,366.0584375,351.1487942,360.7076757,383.6029058,428.0742657,378.0338812
AT1G50000,43.65098195,32.39097597,41.20684225,40.34814287,33.5499766,45.36883567,43.2098306,33.1893069,45.65168892,42.58064046,38.41610868,74.42149139,38.67194146,60.820143,35.36293326,61.00361868,34.44938667,32.43808651,44.55983109,29.13301378
AT1G50010,3785.407073,4088.257264,4206.679751,2927.282275,4349.919842,4282.814065,4995.85969,3024.346865,4339.16561,4655.594658,3308.945505,3074.363605,5098.995095,3988.285894,3704.638152,3026.76002,4737.515176,4855.989864,3412.657253,4793.93645
AT1G50020,519.3349917,468.7269032,400.1329758,302.7880264,300.4109566,311.2633179,312.1744356,330.6652888,351.4066658,562.2179232,405.9540785,296.021089,382.9300485,308.5505334,369.1525139,538.1451812,319.9140337,478.5865218,322.810445,330.5825861
AT1G50030,1121.9062,975.7153873,818.0444952,858.6342332,891.7040572,942.0056962,775.5958445,1202.68412,733.1075698,842.3270659,882.7533879,1214.51089,870.4358197,901.2997299,1001.648327,804.2035831,731.9287106,847.698885,870.513577,1120.877718
AT1G50040,306.3502118,834.5358645,1224.296195,752.1689576,1023.588788,727.7130141,994.3243133,721.1110837,341.4990554,918.5905011,1166.20608,233.9845446,538.0896609,409.1964361,1030.197928,536.9958443,1005.255864,1491.485457,1232.133881,1051.072556
AT1G50060,98.95783184,200.6227013,263.0583185,50.44437354,329.4488743,245.2428623,253.8540554,31.11263209,214.5212544,84.98585914,271.1602804,226.3496007,252.5454545,62.85377577,356.6842514,90.11595332,368.860175,109.6858762,125.96311,313.9681886
AT1G50110,97.87949062,55.51346017,89.77876654,99.90938084,117.4894013,101.3281942,96.35620641,65.09801017,89.21276131,45.62380932,81.66504194,83.72697527,109.393184,83.66693911,62.29779278,51.52040284,94.24537378,77.19983456,70.3580579,116.4638438
AT1G50120,257.7923007,233.3254263,242.6663855,309.1266431,226.3981726,291.3081628,243.5341068,240.4964261,248.2019728,230.4307825,251.9099001,214.7991597,250.7948472,243.8501753,258.7606976,266.5164007,228.6197396,202.6501048,228.3620477,238.173795
AT1G50140,383.1950485,350.3481481,361.8342615,380.5343223,341.0571747,327.153213,296.3953616,338.11171,307.7279778,320.1105999,360.516123,350.7032051,309.3075337,362.7924987,363.1860649,348.0227922,304.508744,343.6995142,339.5933294,313.528969
AT1G50170,217.9450872,143.9381771,116.1540906,115.4653643,113.0724352,121.0369102,108.8803962,91.60212759,114.8478814,159.5794754,127.7054139,168.0976017,118.5813906,111.1390336,117.6648844,160.0682639,134.8503764,130.5836463,163.0320497,102.3744523
AT1G50200,3124.608632,2997.857963,2714.41259,2322.29051,2557.99565,2445.403677,2393.351382,2591.417817,2329.676149,2765.837098,2844.06024,2878.667092,2212.832769,2498.344193,2676.156474,2606.828756,2389.984836,2628.778559,2537.737511,2524.297176
AT1G50240,251.5357382,207.0401709,215.420245,183.6532838,210.7450962,186.5128492,204.9893306,202.6002222,222.9559264,212.8936151,182.9656679,214.9500795,245.08926,256.9255241,181.8049307,185.7077753,255.503178,263.0510157,192.5168906,283.3181405
AT1G50250,1991.259063,1781.813826,1380.388885,717.2578028,1010.349296,730.1441375,913.6285884,735.2556691,1124.803188,1737.747101,1060.459822,902.0986442,944.8490664,809.9299804,1173.463502,1625.756117,1118.873915,1640.231744,935.8304052,946.9004802
AT1G50270,75.84179218,79.50889024,72.55335193,50.49381239,57.96129932,46.21099668,57.31300893,32.60945669,63.38603157,59.61324404,58.22007558,45.75728353,54.17542721,50.0012961,51.66601034,94.31872064,62.43404976,79.0381093,60.31391004,59.70740072
