"","1: upregulation, -1: downregulation","Symbol","X1G-009G","X1G-018G","X1G-036G","X1G-057G","X1G-uG","X0point09G_Rep1","X0point09G_Rep2","X0point09G_Rep3","X0point18G_Rep1","X0point18G_Rep2","X0point18G_Rep3","X0point36G_Rep1","X0point36G_Rep2","X0point36G_Rep3","X0point57G_Rep1","X0point57G_Rep2","X0point57G_Rep3","X0point57G_Rep4","X1G_Rep1","X1G_Rep2","X1G_Rep3","uG_Rep1","uG_Rep2","uG_Rep3","uG_Rep4"
"18","AT1G61890",NA,1,0,0,0,0,9.18946686945329,9.83312181747569,10.237646397553,11.3040920270491,10.2679236084704,10.3895160851413,10.2261019057783,11.627470147677,11.0132143399331,10.2250671375016,10.7732094453954,10.661914882502,11.3291379672564,11.4217743904632,10.6731143504598,11.4323399463518,10.0969490493793,10.1032254784746,10.3389954279654,10.9411259509207
"19","AT1G66400",NA,1,0,0,0,0,6.03939108300085,6.49511560288185,7.05106234277464,7.92319499127599,6.64044746950737,6.86142699877681,7.0848172081914,8.42034773104894,8.10180322850447,7.02340396873993,7.49980578785595,7.52798312301081,7.98858830225675,8.14686724652169,7.33906760868736,7.95228832611164,6.66884479170162,6.73166562300147,7.08032483408927,7.3224156809394
"20","AT1G66500",NA,1,0,0,0,0,6.54948949899911,6.42952021132808,7.32667399439744,8.41027405287263,7.4477414483062,7.07848078248921,7.52871457341766,8.66295716311713,7.68502329069815,7.37608271808182,8.15685221084956,8.76346950043068,8.28992217171423,8.86438272888434,8.067058412169,8.97262056621755,6.9032880962096,7.43843020122903,8.04248031217354,7.96296446329211
"21","AT1G67970",NA,0,0,0,0,1,6.57985841805766,6.49511560288185,6.59574138470053,6.66505844541814,6.35417449819363,6.34874973664416,6.59729947192061,7.27029243519925,7.12781957778304,7.35859497731814,7.44322946038143,7.16880312096295,6.94241976333259,7.30093371626761,7.12992885357569,7.77209684470576,6.45587434738181,6.60364440118037,6.36099206720197,6.27713215860277
"22","AT1G72240",NA,1,0,0,0,0,3.58141374698529,4.90984992422142,5.95012627999162,7.1823668089061,5.72463782883964,4.94613874336722,6.1471749476237,7.76890984989102,7.09656958680923,5.88363963463901,6.62151868800288,6.15913966827602,7.59981693464187,7.5895965816365,6.59041820437184,8.02073236864126,5.4884578809457,5.21292497183836,6.25135366517303,6.63548749706212
"23","AT1G72360",NA,1,0,0,0,0,5.72299672506578,5.46253565375968,6.59574138470053,9.18467699979444,7.1863710358283,6.62047660021633,6.73884310162062,8.97134075523533,7.27465679860632,7.277165864528,7.55424690435384,7.73025903601439,7.69339092314607,8.37649243424226,7.32125936173675,8.56236403422176,6.81658416791081,7.38750303723383,8.01478751370535,7.71936699818341
"24","AT1G72520",NA,1,0,0,0,0,5.31713521217882,4.64672455258062,6.08336800875443,8.62176589593509,6.52016560077438,5.92209093563587,6.38972146387824,7.09222045168444,6.94105701812297,6.08846901598261,5.89926774308497,6.6755235204044,7.87642068673839,7.71138015640915,6.21944423169643,8.32134825653674,5.99650632842239,7.0698650078892,7.01473151468278,7.72615538930066
"25","AT1G72920",NA,1,0,0,0,0,4.75035143234926,4.90984992422142,5.75085911384248,7.35007113747828,5.92741952786416,5.34920244382213,5.77883225352524,7.25155789617114,7.76007251236842,5.95519640149373,6.76031603308842,6.74388988380238,7.30368530069658,7.49698944904595,6.57547213079805,7.80481405734011,6.12576935719928,5.910523305854,5.9806668444253,6.45111061270475
"26","AT1G72940",NA,1,0,0,0,0,5.87767837449402,5.64699743279651,6.14564145778884,7.05865030197664,6.20609460593268,6.46689555078334,6.26420239218178,7.52552438720409,7.76670547725303,6.60093781118774,7.11100790979546,7.20805406068028,7.40078382743117,7.21632595966689,6.90928733073959,7.79832970217273,6.51999731074445,6.55831529503068,6.60338015244771,6.81177003715193
"27","AT1G73010",NA,1,0,0,0,0,5.20470373319936,5.13230731762285,6.40524484461589,8.55083390304297,7.1863710358283,6.51471047222042,6.4403430571208,8.43287422585589,7.35608226336927,5.75587737873046,7.55424690435384,7.01129833721778,7.65811549523927,8.02502975265912,7.77163598776993,8.13835521381043,6.71066078663551,6.00364890721034,7.09097286521549,7.24889800392533
"28","AT1G73540",NA,1,1,0,0,1,6.63874321469749,6.92216457606718,7.19543977137383,7.92909507828727,7.08401647986244,6.64932403616382,7.58978770493466,8.17897102371638,8.38221583977714,7.43567255631333,7.61404925973289,7.80256276311248,8.00552814667608,8.5167470661599,7.96753325442736,9.30774110798609,6.95058979874547,7.30757418987031,7.19334185920197,7.64966619358275
"29","AT1G76040",NA,1,0,0,0,0,6.42118652176727,6.83618443047829,7.5193055400188,8.23083818744989,7.60385231590252,7.80469112883082,7.904210189621,8.03302344895539,7.54542019707112,7.35859497731814,7.61404925973289,7.28349060546451,7.91876692923209,7.99147824732645,7.69072641603281,8.26602853732728,7.54324739607823,7.79172405192603,7.61087248027748,7.95142396065837
"30","AT1G76650",NA,1,0,0,0,0,5.87767837449402,6.3430956678893,7.79014323574204,9.2187951494052,6.9852457351313,6.27662317009704,7.73203497838952,8.46168655594853,8.17842337611228,7.06712632772182,8.1314986607907,7.37255665735526,8.28992217171423,9.41283783702334,8.09876407141743,9.65681074643938,7.1256627489589,7.68329610137241,7.93429438284509,8.17627709795768
"31","AT1G77640",NA,1,0,0,0,0,5.87767837449402,7.12225701050995,8.22452564633865,9.06116716239374,8.11024257998079,7.51450866962831,8.33715780759432,9.7917017080548,8.32494176546911,8.70496236001099,9.42023884471218,7.97744298541161,9.46954444301613,9.34139284603811,9.17503923280521,9.56811400940403,8.16624994560154,8.12277698927083,8.28434057143771,9.03574192269223
"32","AT1G78780",NA,1,0,0,0,0,5.38749913850837,5.39540669259574,5.97320543138256,8.00367807001505,6.58155970535554,6.20070004582071,6.37244503768403,7.74901181420889,6.88118763908993,6.39333557155594,6.69258587653979,7.1181883435187,7.08736779482286,7.89194584987479,6.21944423169643,7.88656113952781,6.01887055385132,6.60364440118037,7.47926852141738,6.93408041843589
