"","Col0_FLT_Rep1","Col0_FLT_Rep2","Col0_FLT_Rep3","Col0_FLT_Rep4","Col0_FLT_Rep5","Col0_FLT_Rep6","Col0_FLT_Rep7","Col0_FLT_Rep8","Col0_GC_Rep1","Col0_GC_Rep2","Col0_GC_Rep3","Col0_GC_Rep4","Col0_GC_Rep5","Col0_GC_Rep6","Col0_GC_Rep7","Col0_GC_Rep8","Cvi0_FLT_Rep1","Cvi0_FLT_Rep2","Cvi0_FLT_Rep3","Cvi0_FLT_Rep4","Cvi0_FLT_Rep5","Cvi0_FLT_Rep6","Cvi0_GC_Rep1","Cvi0_GC_Rep2","Cvi0_GC_Rep3","Cvi0_GC_Rep4","Cvi0_GC_Rep5","Cvi0_GC_Rep6","Ler0_FLT_Rep1","Ler0_FLT_Rep2","Ler0_FLT_Rep3","Ler0_FLT_Rep4","Ler0_FLT_Rep5","Ler0_FLT_Rep6","Ler0_GC_Rep1","Ler0_GC_Rep2","Ler0_GC_Rep3","Ler0_GC_Rep4","Ler0_GC_Rep5","Ler0_GC_Rep6","Ws2_FLT_Rep1","Ws2_FLT_Rep2","Ws2_FLT_Rep3","Ws2_FLT_Rep4","Ws2_FLT_Rep5","Ws2_FLT_Rep6","Ws2_FLT_Rep7","Ws2_FLT_Rep8","Ws2_GC_Rep1","Ws2_GC_Rep2","Ws2_GC_Rep3","Ws2_GC_Rep4","Ws2_GC_Rep5","Ws2_GC_Rep6","Ws2_GC_Rep7","Ws2_GC_Rep8"
"AT5G09220",7.2750590816418,7.71217445612726,7.51364192599958,8.27514505351435,7.22425891102172,7.93638667745207,8.48973971735985,8.56467501282746,9.12793593160761,9.0292712666674,9.05749004520197,8.2187087569518,9.09150509337795,8.8239480613906,8.97088636200677,8.05036070373203,8.3365323992415,7.87089613922153,8.55558402695624,8.14219763781861,8.24937077327663,8.40657489924482,8.88898635217397,8.92180611376776,9.24076294918751,9.16086723355498,9.18611805286714,9.78500645842051,7.33399014576729,6.89358213931798,6.81481487315426,7.51302615140649,6.89871497951467,6.41055199341876,8.43931718242858,8.55085699131824,8.78868450473504,8.05205627400404,8.5605853025465,8.77847102924697,9.06397008660515,8.82819468508385,9.34190418501257,9.05867325003758,9.28618623315164,9.161934735037,9.98531810439358,8.37158119072794,10.1900441071429,9.87548040007541,9.77254357532149,10.4752721794621,10.5064113682482,10.573742376529,9.66649519295766,9.90020721360263
"AT4G11290",7.20928105166763,6.67107669482249,6.90133232453509,7.24271642666884,7.20502788428074,7.35737490677125,7.42417734926373,7.30777909865449,8.68722403654321,8.07774268138171,8.22451460546539,7.44941827542221,8.32442364867503,7.92776434694448,8.55016801632411,7.55735135738009,8.79269071540024,9.05799613121577,8.72632204780637,8.88610651294413,8.75918053056335,8.58811474839354,9.81978722509802,10.1216953021346,9.7730404872689,9.75159310674749,10.0898515062884,9.80749781806879,8.64681739161932,7.78089556739557,7.77601892119222,8.52462112403835,7.83089359684553,7.80398871884304,9.63314167400157,9.8581499473999,9.81578930664159,8.90419088873117,9.68556739163569,9.31021394935758,8.84515125624299,8.67514669842376,8.59174832518281,8.89077117326058,8.42016183098971,7.45572578763573,8.67119931237459,8.81467786544671,9.83219896409924,10.0698241842675,9.61218315239565,10.2663581329443,9.86250325664552,10.0107905436415,9.31764345037946,9.66178977169025
"AT3G54580",6.20981986971806,7.16430376908199,5.8657456624342,6.99662948831233,5.30885527569988,7.68960431656439,6.81811752515028,7.09294941453328,9.52434554070974,7.74659468894541,7.2247019384759,6.16024915429748,5.97112319004116,7.79849517993954,7.94799470620235,4.80307283717753,6.94518913196873,7.6055182916961,8.11266523560187,7.24932902490465,7.93798002855216,7.56208518883644,6.69397102569838,8.85567790199496,8.87655403329286,6.91461877909249,8.26486336893815,9.4035969302723,6.19516349610445,5.11709378399216,6.02679992547032,5.92067527931589,5.34992103522908,5.76608126184896,7.99528411168025,7.32487122358685,8.85799101850963,6.84951288911874,7.53397699594944,7.62003157703668,6.87014185718204,7.79957159982272,6.90364212270785,7.92662360854361,7.91873948521793,7.99323215696425,8.0008946658863,8.37593324818858,8.50643302229627,10.3792103995776,10.2467161998,10.2394576256073,9.00493005217378,9.76356317521572,8.68744924038,9.15828946821745
"AT4G11190",5.06976269549896,5.37780326130898,4.56986667182543,4.74206231170845,5.0316307807523,5.02849717871414,3.58353809094342,3.6968169525385,6.02857843580139,5.62984233719834,5.37958657885203,5.07842511928303,2,6.01390327086024,5.91933668294598,5.94952221750867,7.20810924755952,7.94760057419546,7.65783639169867,7.4003484360625,7.98359136783178,7.10372086565378,9.45274189053024,9.53099821174729,9.06614907811334,9.36064324900276,9.2554520927493,8.78345120124902,8.31599483872962,7.76784168043164,7.77601892119222,7.93191947536351,7.57668086144106,6.82958293488618,9.70155816194713,9.91248136315595,9.62111662387211,8.87394614868923,9.8038413236398,9.20729210691738,6.75571950735271,5.77401233734469,7.43582856378377,6.64843493396351,6.53325006514669,4.52737963349848,6.50320138754283,6.44380662589018,8.06899758537949,8.58370995208931,8.4276926110815,7.84262942615684,7.94795238674324,7.83464252828637,8.07295012629261,7.34366370696131
"AT4G39675",8.40642315878559,8.67759239546362,8.72686993403938,8.85542682596247,7.91052021985315,8.63312951482241,6.52151779875464,6.99492809861187,10.2499995133271,9.81613560138589,9.59332536635612,9.3561374966506,9.40497460416607,9.46067153886844,9.83177030093676,9.30564731008254,6.31962728889209,7.24308980397022,7.39629509046741,6.28676781113438,6.18828799690177,6.28890482127523,8.45893486943852,8.68615653826412,8.44637715116029,8.35857328385262,7.33300997127188,6.57122299009694,6.83090758238727,6.19643147049824,6.90074983222168,5.1603549269793,5.74705738904938,5.44445430492422,8.29689217574512,7.87971725593221,7.9562065288228,7.3837554284325,7.98136033980378,6.81099900756313,7.48719134814404,7.44346752031476,7.86104203364863,7.66949831329727,6.72197907256907,7.54367972267878,6.90224622457569,7.95508643636221,7.99248387515799,9.12329549548707,8.83645416567313,8.76588014144217,7.36012989114533,8.31734373869804,8.9048755096482,9.09177514813779
"AT2G28780",7.58766830371098,7.71896219237061,7.68957430069225,8.27974633911349,7.67923648012654,7.91883190325578,7.81168207011599,7.91371412583629,9.75472497065868,9.72123486240691,9.11014522493519,8.65519018847468,9.49927272091529,9.2902441419803,9.37803792091876,7.80887317511451,7.25539652757974,7.14627250926132,7.59308606325748,6.77713977659621,7.08679393856289,6.79224400210234,8.93908917211702,9.07760888476584,8.63695283549302,8.62735570918209,8.26021767637009,8.55186626983994,7.3602946879075,6.94087298190749,7.65405837180011,7.53635488540358,7.02522364555982,6.89095946263124,8.98111133415768,8.16972757479412,8.03993132960316,7.96864811078777,7.90588131354321,8.34374568557835,7.72201192778802,8.21134996153659,8.50406443854603,8.31187467221913,7.31590791265925,9.21647729305357,8.53052247696522,7.87740626555939,8.45032693934424,9.29207028059521,8.94759117216379,10.3583776430514,8.21290738510051,9.20240331214309,8.81296398073994,9.75070014790527
"AT1G23720",4.73780285076377,5.74003207421882,4.93841499230391,6.15569887382987,3.89624762301705,5.96033269280538,5.04251619320086,5.99509198695333,7.77787904359481,6.49322896916184,6.11601366493943,4.23984380118319,2.99671619990846,6.77266741925077,5.82154572443941,3.31893197051985,5.68080688180881,6.54655450936015,6.66528650976775,6.11238742583689,6.7597955520709,6.52416282736981,5.81329630362085,7.98236172732989,7.80545681892465,6.25098905685228,7.42720017780229,8.03027259768565,7.02974362870398,4.31092297630818,5.50646422414731,6.55953993164904,4.31516537724951,4.93985021098224,7.94406791355713,7.867544741001,9.10346706659633,6.18153511074438,7.91775361736979,7.52984621263382,5.51175014668001,6.16244120923178,4.79387031683663,6.60494567871525,6.65228165891921,6.5742814886567,6.61010148276801,2,7.62354477432663,9.86174827264658,9.5789756983476,9.85172364868755,8.01611915485886,8.87498025967176,7.72174173110496,7.61540841179887
"AT1G61590",7.71501257410787,8.2879345422096,7.63328075699178,8.17989627165732,7.83746924541027,8.2348008970575,7.45734308283253,7.39576777219419,9.70091487064349,8.90969967978798,9.10496535058033,8.52902234173146,8.92421626206215,8.6634927277633,9.03773694983943,8.66393717617873,7.96205145763422,8.64833190530798,8.27741275835662,7.71033479637013,8.19708704299738,7.75940123341348,9.49078568509476,9.55582184801616,9.17096790407647,9.32773095346016,9.1055340688338,8.92241571885549,8.2565489261824,7.89934938712382,8.06900344620357,7.63330158612307,7.78611034689892,7.23188008236066,9.40806548329927,9.46450675697777,9.52171602097793,8.40495967019229,9.26997238922726,8.65591204942117,8.17211222263316,7.9978230065587,8.85166998283765,8.63016622878913,7.78183968035017,7.29912333582319,8.40039346146851,9.034320811105,9.11860318615024,9.56302939962524,9.29073053575786,9.63909161984342,8.81707689368743,9.10129978518856,9.22320399889441,9.4615765852101
"AT5G10580",6.35593675768542,6.59931797712897,6.24960016037003,6.91616650871563,6.30812552297624,7.0909489699085,7.05320961425958,7.03931725136631,8.67680859800756,8.58110918417726,8.05222282407358,7.05614908788508,8.48133836754254,8.38769085777944,8.0540680084296,7.15501434564737,7.08786470636432,7.31612180254777,7.54824616072252,7.09112124278048,7.03357648783238,7.23266853195764,8.60484055948149,8.62971829183307,8.64407621494835,8.59083413131207,8.642256105325,8.46560186771538,7.23321647410666,6.75492239425229,7.32157887447843,7.58191027468036,7.02522364555982,6.87889127228738,8.49177797439411,8.38996364431018,8.14450375390734,7.53831118436538,8.47879933234638,8.00185735316034,7.56475925047478,7.99219894048447,7.89141007005301,7.3651044752234,7.6086612498627,6.21382412101257,7.8961425659286,8.60822575114449,8.29515885270897,8.99498226078621,8.59575430655148,9.59548278086818,8.3774339554582,9.10391567224393,8.68399414625115,9.60238452355753
"AT1G05260",5.76275263406115,6.58452776363254,6.68300736995113,6.30761786776946,5.60136899538996,7.0158757201232,5.85599134354308,6.54957623120048,8.24547352581626,8.16984700108751,7.89904662090878,6.90895610763016,8.46110492085767,7.73933987134728,8.17283970478871,6.80253668180888,7.46301374620792,8.2521070120559,8.06039964013351,7.23047616029511,8.19223866265945,7.56208518883644,9.10577309987788,9.1989470837197,9.02853898767351,9.06560464271576,9.20557987558703,9.08905275538807,7.23321647410666,5.91787473193298,6.59674268478335,6.98956699805429,6.03644979953836,5.71268746170239,7.69836007918093,8.48465649296256,8.1035797961694,7.30433281655143,8.29074749933566,7.9679135459405,6.74242710054221,6.6928201143543,6.86743523477088,7.07758218281285,6.62343174638082,5.9350549455162,6.86572446159044,7.53226661877018,7.76168259906633,8.33255754398598,8.07755523238153,8.92701984271066,7.83296837553442,7.8409284380147,8.16008469077829,8.78679099055751
