"","1: upregulation, -1: downregulation","Symbol","Microgravity-Terrestrial","Col0_FLT_Rep1","Col0_FLT_Rep2","Col0_FLT_Rep3","Col0_FLT_Rep4","Col0_FLT_Rep5","Col0_FLT_Rep6","Col0_FLT_Rep7","Col0_FLT_Rep8","Col0_GC_Rep1","Col0_GC_Rep2","Col0_GC_Rep3","Col0_GC_Rep4","Col0_GC_Rep5","Col0_GC_Rep6","Col0_GC_Rep7","Col0_GC_Rep8","Cvi0_FLT_Rep1","Cvi0_FLT_Rep2","Cvi0_FLT_Rep3","Cvi0_FLT_Rep4","Cvi0_FLT_Rep5","Cvi0_FLT_Rep6","Cvi0_GC_Rep1","Cvi0_GC_Rep2","Cvi0_GC_Rep3","Cvi0_GC_Rep4","Cvi0_GC_Rep5","Cvi0_GC_Rep6","Ler0_FLT_Rep1","Ler0_FLT_Rep2","Ler0_FLT_Rep3","Ler0_FLT_Rep4","Ler0_FLT_Rep5","Ler0_FLT_Rep6","Ler0_GC_Rep1","Ler0_GC_Rep2","Ler0_GC_Rep3","Ler0_GC_Rep4","Ler0_GC_Rep5","Ler0_GC_Rep6","Ws2_FLT_Rep1","Ws2_FLT_Rep2","Ws2_FLT_Rep3","Ws2_FLT_Rep4","Ws2_FLT_Rep5","Ws2_FLT_Rep6","Ws2_FLT_Rep7","Ws2_FLT_Rep8","Ws2_GC_Rep1","Ws2_GC_Rep2","Ws2_GC_Rep3","Ws2_GC_Rep4","Ws2_GC_Rep5","Ws2_GC_Rep6","Ws2_GC_Rep7","Ws2_GC_Rep8"
"137","AT1G61560",NA,-1,5.68191737641016,6.05100196088807,5.81603599941746,6.25250580357211,6.1760919792605,5.96033269280538,6.0203622785424,4.63945938872774,6.65624750233596,6.36053863384493,6.21549547662546,5.94461257004297,5.69437146799339,5.96883305371323,5.96585376975623,5.66782088689839,5.76163702425547,5.22617439371582,6.00165850215029,5.68390061959332,5.8120879716812,5.3078295085773,6.78702989053513,6.87750375396187,6.53403630546881,6.65641451585152,6.68494707223526,5.54147497041704,5.76735330353859,5.47931282794855,5.409281300313,5.92067527931589,5.34992103522908,4.68650431995706,5.89178034771726,6.42829328689522,6.34272950874189,5.07972609036129,6.00998257773573,5.5148741533529,5.87058233419317,6.65060095587992,5.62937773542949,6.18020316231221,5.27986188057004,2,5.12502815751361,6.71511577640788,6.13715309476886,6.84217604112284,6.25216296019373,6.8178186822605,6.22281136814803,5.90255807996421,6.48858062207815,6.81915472770786
"138","AT1G61590",NA,-1,7.71501257410787,8.2879345422096,7.63328075699178,8.17989627165732,7.83746924541027,8.2348008970575,7.45734308283253,7.39576777219419,9.70091487064349,8.90969967978798,9.10496535058033,8.52902234173146,8.92421626206215,8.6634927277633,9.03773694983943,8.66393717617873,7.96205145763422,8.64833190530798,8.27741275835662,7.71033479637013,8.19708704299738,7.75940123341348,9.49078568509476,9.55582184801616,9.17096790407647,9.32773095346016,9.1055340688338,8.92241571885549,8.2565489261824,7.89934938712382,8.06900344620357,7.63330158612307,7.78611034689892,7.23188008236066,9.40806548329927,9.46450675697777,9.52171602097793,8.40495967019229,9.26997238922726,8.65591204942117,8.17211222263316,7.9978230065587,8.85166998283765,8.63016622878913,7.78183968035017,7.29912333582319,8.40039346146851,9.034320811105,9.11860318615024,9.56302939962524,9.29073053575786,9.63909161984342,8.81707689368743,9.10129978518856,9.22320399889441,9.4615765852101
"139","AT1G61930",NA,-1,2.57830127630913,2.57963215138541,3.31107504457131,2.3189271888549,2.80114454154744,2,2.99893182453429,2.58321934172165,2.99160356227326,2.80084366235052,2.3191235644027,2.58155490098695,2,2.80349554192647,2,2.32093007796266,3.30919718331457,2.79697627859929,2.79793437305328,3.31119927300613,2,2.99218446764231,3.79232690054879,4.30760995317353,3.79204987212552,4.44580842586958,3.16099399923647,3.45032276000269,3.68999532706478,3.31368213616168,4.15537308837589,2.80274870360138,3.90069265013976,2.80031355690974,4.57147879854543,4.57217387192868,4.23563621228183,4.24100711396366,4.23751564165198,3.99286743263587,2.31934900511697,2,2.57973345391657,3.31582804198393,2.32069523206662,2,2,2,2.99334074241162,3.16085204371504,2.80076261459783,2.99220996682569,3.16640261068862,4.75093374079289,2.57829237746146,2
"140","AT1G62980",NA,-1,2.57830127630913,2.99199707246015,3.57289850062889,4.23604534587147,2.80114454154744,2.99097667904315,4.08582884078024,3.90305286181371,3.44873673679898,3.6899068736259,3.45048912266431,2.58155490098695,2.99671619990846,4.31471554702368,4.57479960538619,2.32093007796266,3.15814098265144,4.15103413140507,4.62533367046439,3.31119927300613,5.06773013144955,4.63070180773542,3.44605064546939,4.23379869388749,4.78896928131781,3.9875169996192,4.30904986845807,5.6872079996544,3.79657772153162,2.58038723242133,3.44753644880485,3.79966970057901,3.45405476548542,3.16079068880083,3.16094988352587,3.68982330340956,4.15781655993819,3.99342641003841,4.89545662969374,3.99286743263587,2.99354361002036,2.80396372591952,3.79612652187813,3.57818306928825,4.38732075249598,4.8619647304108,4.75079554449916,2,4.44851859136631,5.07302607357215,4.74175457149099,5.11545465697944,5.38657654791846,6.3706210287791,5.47354786638256,5.41335786661408
"141","AT1G62990",NA,-1,6.1103611537494,5.74003207421882,5.73810456678118,5.19602253144711,6.27161836317123,5.98303471075968,6.08545150078604,5.16527188881628,6.91445063543451,6.03008337960599,5.91758718089598,6.07782058667885,6.56355796775698,5.92230929876419,6.19791159870376,6.16520606425886,5.44009825168443,4.93302533359425,5.02501053235136,4.89136767746584,5.37208003358054,5.15600131440356,5.78778779801971,6.02756654761429,5.70807941857643,5.65707150903518,5.81791101582775,5.98656056996837,5.3786526531513,5.51099497496151,5.50646422414731,5.34783555251354,5.12179383864053,5.73963135915925,6.17452108326716,6.00795776692882,5.84347462168092,5.34963864867323,5.96492058139159,5.31336477272628,5.51175014668001,5.41907859780134,5.60025721269539,5.57563254665725,4.99459842978676,6.09181159239239,6.42168379970144,2,6.11669978036061,6.4438072424662,6.2707683131074,6.07276414311352,5.6665776090559,6.18543684906972,6.19044363444466,5.6873026673944
"142","AT1G63580",NA,-1,2.3179350521251,2,2.57894311072688,2,2.99275195196356,3.15989559665114,2,2.58321934172165,3.16059260254219,3.16147882244927,2.801338523866,2.58155490098695,2,2,2.99391085777624,2,2.31769692794148,2,2.57764072955141,2.31836067875718,2,2.31880696080725,3.15825009462509,3.31120283264315,3.79204987212552,3.79546880587201,3.16099399923647,2.58019836713873,2.99246442134915,2.31918467543959,2.57874393085562,3.99192944069385,2.99577701784297,2,3.89503160738781,4.23581480409994,4.15781655993819,3.45385595450436,4.23751564165198,2.995248875333,2,2,2.57973345391657,2,2,3.32470193797316,2,2,2.99334074241162,2.8003608194602,3.89559203041057,3.988299119481,2,2,3.30989957995157,3.57548664630892
"143","AT1G63600",NA,-1,2,2.31873224916247,2,2.3189271888549,2.31903324387715,2,3.32064618939009,2.99738447103925,2.80016097143939,2,2.801338523866,2.31988450103577,2,2,2.80213723236219,2.32093007796266,2,2.57689668344666,2.98900336151053,2.31836067875718,2.57753960719869,2.80065848986321,2.31773600409605,2.99106782766947,3.79204987212552,2.31860984152461,3.44919694350995,2.58019836713873,2.31891858501658,2,2.99066206457208,2,2.32024038508996,2,2.31870348087592,3.31273172404295,2.99222767736215,2,3.31402193385121,2,2.31934900511697,3.57968385661554,2,2.31989760839997,2.80471178188667,2,4.16618932727875,2,3.79783226034172,4.37907774655701,3.89559203041057,4.68723183816253,2.58285009844162,3.99651954168351,3.98494862072502,4.74276838273585
"144","AT1G63820",NA,-1,2.3179350521251,2,2.79961108331772,2.3189271888549,2.58013451694511,2,2.58425047162681,2.80511333053174,3.16059260254219,2.31889316370515,2.58028524984117,2.80297224224611,2,3.16492011573409,2.58090592949536,3.31893197051985,2.9893987238991,2.79697627859929,3.44542129238824,2.79969962797939,2,2.5797568529988,2.31773600409605,2.79970216516716,3.57068285434718,2.31860984152461,3.68930180962712,2,3.57490629032661,3.57579740824231,2.7993546835427,2.31978035630796,2.99577701784297,2.99178172551456,3.16094988352587,3.44967600341002,3.44953228432274,3.16505855372885,4.38164014160087,2.58179682341655,2.58066145275382,3.57968385661554,3.31250212170343,2.99491841540653,2.32069523206662,2,2.80529768600169,2,3.69121100059033,3.16085204371504,3.57469474205819,3.79621338350669,3.45539616295104,3.16734769073131,2.79877337133188,3.89646372359913
"145","AT1G64370",NA,-1,5.26739761071329,6.35976656175768,5.96030405026461,5.76739349884777,5.74143633875282,6.37508122822305,5.75290877522459,6.59489331950968,7.36726797249941,7.5625107170646,7.20547074835183,7.25680657973035,8.66944639065128,7.49102453130473,7.97667358581478,7.79599268188164,6.08848571852081,6.60601380171736,6.73363350897006,6.19250209806017,6.92086369005665,7.20391788647341,8.41795331454675,8.12188710798066,8.06099549484891,8.92891173387335,8.48788848170091,9.10210796404839,5.60083859822888,5.15769189373174,4.89066622205215,6.85996347328047,5.54685228412963,4.93985021098224,6.61381889434453,6.99634598527323,6.09384590446238,7.32236399026264,7.28175747821976,7.14049814440163,6.8943820610057,6.48428102804887,7.27927967486308,7.50574201520106,7.06009902165102,7.28990405238855,8.09855302232272,6.64472472575047,8.23000162423693,7.7783398869773,7.62873722358551,7.74621837974414,8.43667009453972,8.67839735854671,7.99701730319712,8.0734360094573
"146","AT1G64590",NA,-1,3.8921950899664,4.63038580254647,3.98642088193075,4.63121022110664,4.07636279832946,4.30746356709972,4.52179671808701,4.69601065660323,4.74055302923745,4.68755576169913,3.79731360754899,3.89938322346242,4.24273914403072,4.57744864610416,4.31217309289292,3.58163308923348,4.153400291679,4.37265021771221,3.98347344936633,4.44478154013499,3.3085392651312,3.79617687124011,6.35497925613034,4.89137283627526,5.83799936046675,6.2879612294286,5.11501813755396,6.27180121472905,3.79657772153162,4.74316618362223,3.15954577688483,4.07923358350702,4.16335056576095,3.57399436500562,4.7934841133931,5.65827596217021,4.15781655993819,4.89929174982572,5.41429676459793,3.31622486481247,3.69149238726604,3.16552747368891,3.68955811346786,4.16201256103037,2,4.09099719942892,2,2,3.45095085246154,3.57406808423283,4.15793882248689,4.57195564497915,3.90223922105751,3.69722728569095,3.89217540309807,4.38080290532058
"147","AT1G64780",NA,-1,2.98999659416756,2.57963215138541,3.57289850062889,3.79660861517739,2.80114454154744,3.57291882099135,2.58425047162681,3.45610193986758,6.71171755674202,5.81872577243082,5.34485399004881,4.63525357448176,4.69487813152877,5.34941328912366,5.44834126386876,3.31893197051985,2.9893987238991,3.15645681078908,2.79793437305328,2.99106486499043,2.79780416800971,3.16123845729055,4.68262009326242,5.30581015247593,4.78896928131781,5.02975666519853,4.74117059555903,4.15878411800874,2.57994315752485,2.31918467543959,2.7993546835427,2,2.99577701784297,2.31864640077528,2.80043618779305,4.30965319375451,2.57978560755795,2.80360225336234,4.38164014160087,2.58179682341655,2.58066145275382,3.57968385661554,3.57448538547199,3.45296103528765,2.80471178188667,4.09099719942892,2.80529768600169,2,3.98999955124453,4.93994674659052,4.98650852240344,5.19552808979972,4.45424109929436,4.63995751165227,4.072114761523,4.63190638444037
"148","AT1G64910",NA,-1,2,2,2.31831947550803,2.57995751721749,2,2.57895322846376,2,2.80511333053174,2,2,2.3191235644027,2,2,2.58196165328451,2,2,2,2,2.57764072955141,2,3.4452273372885,2.5797568529988,2,2.31836185942852,2.31765902189715,2.57942783079003,2.80047017155796,2.58019836713873,2.57994315752485,2.31918467543959,2.31820017042116,3.16395114839523,2.32024038508996,3.16079068880083,2.31870348087592,3.44967600341002,2.57978560755795,3.31667162128867,4.31137688925606,2,2,2,2.8006283741554,3.57818306928825,2.99691586528909,2,2,2,3.1625239253562,3.98773797869763,3.16137361866504,3.57456641428237,3.16640261068862,3.45647904251251,4.44300411351099,3.79719983333773
"149","AT1G64920",NA,-1,2.3179350521251,2.57963215138541,2.31831947550803,2,2.31903324387715,2.79962410738179,2.99893182453429,2,2.31857538155315,2.31889316370515,2.3191235644027,2,2.99671619990846,2.32012833555107,2.80213723236219,2,2.31769692794148,2.98788430043196,2.98900336151053,2.5790118969995,2.79780416800971,2.5797568529988,2.57796890012222,2.57901386803779,3.57068285434718,2.57942783079003,2.31871929950945,3.45032276000269,2.31891858501658,2.99313164488181,2.99066206457208,2.31978035630796,3.45405476548542,2,2.57958413292929,3.16141185724221,2.80069549812705,3.45385595450436,3.57617519686998,2,2.31934900511697,2,2,2.99491841540653,2.32069523206662,2,2.80529768600169,2,3.57607664235239,3.98773797869763,3.31269040677328,3.79621338350669,4.57967568431706,4.85397974651021,4.376064736568,4.38080290532058
"150","AT1G65490",NA,-1,2,2,2,2,2,2,2,2,2.31857538155315,2,2,2,2,2,2,2,2,2.31709401785646,2,2,2,2,2,2,2,2,2.31871929950945,2,2,2,2,2.80274870360138,2,2,2.57958413292929,2.31886914684084,2.80069549812705,2,2.31929751903063,2.58179682341655,2,2,2,2,3.45550521075292,2,2,2,2.31926807928667,4.07495934328763,4.23576032901599,2,2,2.99768062765014,4.9824247197778,2
"151","AT1G65520",NA,-1,6.74884938424021,6.56958435199094,6.07040184017055,6.67202126972633,6.00873367835783,5.81606443515125,6.22679560898194,5.58016373622665,7.3055095220628,6.3430602061108,6.67297230607612,6.71806141905791,6.94783378683382,6.54595255652663,6.41463058834084,6.81535914029242,5.91086144349629,6.22488452638433,6.16896534639662,5.81622931499376,5.73417330915168,5.62944273133429,6.48764454574643,6.9134084300755,6.56439078805257,6.3240095370617,5.86762552916996,5.30902865268229,6.41186037532387,6.34445718309653,5.88941060310452,5.96719537055499,5.48414860015092,5.93878184031525,7.26034901920867,6.79254630460147,7.00726318018409,5.7467676123548,6.39681377216648,5.63510199305569,4.74387034376469,4.51701816083425,4.44656269207473,3.45296103528765,3.58084885422281,2,4.16618932727875,2,4.31125847833522,4.93994674659052,4.74175457149099,4.89336101857808,4.08261214252053,4.51972793819455,4.376064736568,3.79719983333773
"152","AT1G66140",NA,-1,6.51995143947248,6.52380234580677,6.17269008726602,6.39503618376739,6.62990762301306,6.82802013023458,6.26476049667468,6.62433272831554,7.53810721884018,7.41138207603331,6.96365145440586,7.21884585097814,8.33780192284601,7.33992888013012,7.31901724566823,7.11408811050968,6.92193050242876,7.11591335707103,7.04467540242032,6.8406769000368,6.92086369005665,6.73979741927797,7.60139964901416,7.52162654729977,7.28285550210208,7.80380753500554,7.49203495021157,8.02479829773687,6.80560584177697,6.63063993763327,6.85227261917751,6.73110027390358,6.63573711619447,6.39368724147644,7.62075632645475,7.55482065330723,7.52390904331479,7.20091967506309,7.55693366622653,7.69110540143148,7.21622351247925,7.59956809404661,7.22307968694968,7.26620691804859,6.9598074139101,8.24296375569168,7.57272482737473,5.32274236268065,7.7747958824336,8.10798473105954,8.13453640916383,8.43576825389181,7.98810669725721,8.44662177373826,7.1403338962341,8.11525017437507
"153","AT1G66280",NA,-1,8.21859583115521,8.67410378692912,8.32638644471688,8.48494589643559,8.16059513544589,8.72353379974213,8.22189314323738,8.29403881574769,8.88718127753034,8.7297377650508,8.56727082621816,8.41613728493581,8.65526809200436,8.3834038190359,9.10682514798191,8.97518222294874,8.5411882415861,8.69014520807391,9.1826442263563,8.49006689038453,8.62169751175497,9.07983862366365,9.27367267998233,9.46800990950319,9.81624967877181,9.38431051411007,9.42276943122557,9.77525892047615,9.31590049931358,8.62661406571653,8.83940685751468,8.86276550547733,8.42626793413817,8.62030759309972,9.76031168365194,9.9889205947878,9.64626874006321,9.66192797013548,9.96269953648667,9.87316556482399,9.18927030281448,9.77510906376483,9.56930060501031,10.0559461823438,8.61227360750606,9.28767884985326,9.11676329047965,9.65195190515009,10.132630097263,10.6230093702932,10.5372812348196,10.5824706762431,9.99508650707901,10.3866149593417,10.6138507653143,11.1131379006852
"154","AT1G66400",NA,-1,6.32077136990747,6.11415451768587,6.35778456619058,6.4285723660284,6.07378907605699,6.17271899899145,4.52179671808701,4.58060064772524,5.96151309531129,5.76723453541674,5.37958657885203,6.19976208379627,6.56355796775698,5.07950577411995,5.94278270062478,5.92606853769103,3.7921862857562,3.98178808059098,4.3744710963087,4.73963134105273,3.79140169082724,2.99218446764231,5.22907803993076,4.79200859775325,4.93551219856692,4.68634849333414,5.11501813755396,4.8944709729666,4.98678679419229,4.6887971202833,4.84184317571307,3.5777909029638,3.90069265013976,4.30875629013719,5.07318204188183,4.94082744654788,4.89339183907289,4.85042256730897,5.0327995935256,4.69239016353565,5.31028570834982,6.08000501156196,4.63064251553413,5.74546299765027,4.5184628712321,3.32470193797316,3.58176108688801,4.00067858840559,5.63157930301819,5.98465611956597,6.25216296019373,4.9863397130493,5.31621749503716,5.16579909136481,5.62537122323632,5.15727664736449
